index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-4.219973,7.6617975
1,0.025641026,0.012861521,0.021784117,-0.023813266,-4.219973,7.6617975
2,0.051282052,0.052964,0.15464869,-0.09143713,-4.219973,7.6617975
3,0.07692308,0.0090463385,0.13688461,-0.111774854,-4.219973,7.6617975
4,0.102564104,0.0016695736,0.16518523,-0.19438961,-4.219973,7.6617975
5,0.12820514,-0.10689811,0.22448641,-0.22839217,-4.219973,7.6617975
6,0.15384616,-0.15009993,0.21522844,-0.11324771,-4.219973,7.6617975
7,0.17948718,-0.11055344,0.39941642,-0.12487022,-4.219973,7.6617975
8,0.20512821,-0.14664672,0.3859529,0.10746061,-4.219973,7.6617975
9,0.23076923,-0.2987576,0.44461745,0.28766963,-4.219973,7.6617975
10,0.25641027,-0.30691326,0.12876368,0.01612112,-4.219973,7.6617975
11,0.2820513,-0.4978653,-0.29619518,-0.08617879,-4.219973,7.6617975
12,0.30769232,-0.37328428,-0.19130766,-0.4616319,-4.219973,7.6617975
13,0.33333334,-0.34374717,0.40353876,-0.53122747,-4.219973,7.6617975
14,0.35897437,-0.27030832,-0.2068299,-0.35601395,-4.219973,7.6617975
15,0.3846154,-0.23856816,-0.2399314,-1.0186799,-4.219973,7.6617975
16,0.41025642,-0.36631447,-0.919238,-0.3119756,-4.219973,7.6617975
17,0.43589744,-0.12410067,-0.35351402,0.2773065,-4.219973,7.6617975
18,0.46153846,-0.8327057,-0.07560229,-0.9126939,-4.219973,7.6617975
19,0.4871795,-0.84501296,-0.10117436,-0.06257421,-4.219973,7.6617975
20,0.5128205,-0.44643208,-1.7347463,0.18819532,-4.219973,7.6617975
21,0.5384615,-1.9130441,-0.041897178,1.3174211,-4.219973,7.6617975
22,0.56410253,-0.8339211,-0.23577885,0.9312331,-4.219973,7.6617975
23,0.5897436,-1.3890753,-0.7897403,0.4836147,-4.219973,7.6617975
24,0.61538464,-0.266456,-1.8935626,-0.010322154,-4.219973,7.6617975
25,0.64102566,-1.6103741,-0.2878368,1.8253012,-4.219973,7.6617975
26,0.6666667,-1.533837,2.595079,3.814264,-4.219973,7.6617975
27,0.6923077,-2.728064,4.1270256,3.0776057,-4.219973,7.6617975
28,0.71794873,-0.0013432503,2.2366447,8.668246,-4.219973,7.6617975
29,0.74358976,4.154883,0.057749033,10.716823,-4.219973,7.6617975
30,0.7692308,0.28521943,7.584962,11.39113,-4.219973,7.6617975
31,0.7948718,9.546879,15.199816,13.276184,-4.219973,7.6617975
32,0.82051283,4.4710574,18.50156,8.994542,-4.219973,7.6617975
33,0.84615386,6.1315475,7.528615,15.614732,-4.219973,7.6617975
34,0.8717949,1.9778452,2.7610025,14.742681,-4.219973,7.6617975
35,0.8974359,-1.2674072,-1.4352942,3.175023,-4.219973,7.6617975
36,0.9230769,-0.83451855,5.356499,-7.041808,-4.219973,7.6617975
37,0.94871795,9.17314,3.720193,1.1049662,-4.219973,7.6617975
38,0.974359,4.8103833,-8.135625,-0.89989567,-4.219973,7.6617975
39,1.0,-2.7910933,6.2460356,5.970051,-4.219973,7.6617975
