index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-1.106621,5.3955216
1,0.025641026,-0.046600785,-0.014190145,0.020044975,-1.106621,5.3955216
2,0.051282052,-0.047920376,-0.085726924,-0.019769266,-1.106621,5.3955216
3,0.07692308,-0.0064938143,-0.1077304,-0.04103014,-1.106621,5.3955216
4,0.102564104,-0.005523944,-0.17508936,0.010748688,-1.106621,5.3955216
5,0.12820514,-0.076463886,-0.1834121,0.016583439,-1.106621,5.3955216
6,0.15384616,-0.20357323,-0.2127296,-0.024772253,-1.106621,5.3955216
7,0.17948718,-0.32371223,-0.24008518,-0.098852366,-1.106621,5.3955216
8,0.20512821,-0.18906409,-0.12511162,-0.33208263,-1.106621,5.3955216
9,0.23076923,-0.24251473,-0.10088053,-0.3776317,-1.106621,5.3955216
10,0.25641027,-0.11691125,-0.163375,-0.71842927,-1.106621,5.3955216
11,0.2820513,0.49445915,-0.2048137,-0.4640373,-1.106621,5.3955216
12,0.30769232,0.0673008,-0.40025097,-0.71985954,-1.106621,5.3955216
13,0.33333334,0.21588221,-0.260637,-0.33998805,-1.106621,5.3955216
14,0.35897437,-0.030328482,-0.19320115,0.16121638,-1.106621,5.3955216
15,0.3846154,0.13054775,-0.9390433,0.3676297,-1.106621,5.3955216
16,0.41025642,0.25986904,-1.5953491,0.5764213,-1.106621,5.3955216
17,0.43589744,0.6543101,-1.9033412,0.25512126,-1.106621,5.3955216
18,0.46153846,0.54384625,-1.848247,0.18683961,-1.106621,5.3955216
19,0.4871795,1.6328859,-1.8546808,-0.2832194,-1.106621,5.3955216
20,0.5128205,-0.038092136,-1.7800694,-0.2358783,-1.106621,5.3955216
21,0.5384615,0.72375906,-1.7855704,0.13120814,-1.106621,5.3955216
22,0.56410253,0.23352057,-2.3047779,-0.5991054,-1.106621,5.3955216
23,0.5897436,-0.0080064535,-1.4242053,-0.74316263,-1.106621,5.3955216
24,0.61538464,1.8130975,-0.17727435,-0.101686954,-1.106621,5.3955216
25,0.64102566,5.498447,1.5844499,-0.29915875,-1.106621,5.3955216
26,0.6666667,3.7824736,1.9521217,-2.2069983,-1.106621,5.3955216
27,0.6923077,4.1522536,1.496152,-2.894716,-1.106621,5.3955216
28,0.71794873,4.61047,0.28337848,-3.9525323,-1.106621,5.3955216
29,0.74358976,3.7072303,0.4878903,-4.0135813,-1.106621,5.3955216
30,0.7692308,6.365741,-1.0446603,-8.214839,-1.106621,5.3955216
31,0.7948718,12.220575,-5.4519386,-6.9265366,-1.106621,5.3955216
32,0.82051283,11.88345,-6.2933335,-4.403146,-1.106621,5.3955216
33,0.84615386,10.2578,8.166319,5.4720793,-1.106621,5.3955216
34,0.8717949,-1.1571302,14.868011,-6.2564583,-1.106621,5.3955216
35,0.8974359,13.374714,15.426482,-2.3528397,-1.106621,5.3955216
36,0.9230769,12.112089,23.534693,2.4395826,-1.106621,5.3955216
37,0.94871795,12.464747,20.468582,6.1574526,-1.106621,5.3955216
38,0.974359,7.3504124,6.2801437,-0.038993835,-1.106621,5.3955216
39,1.0,-21.428175,22.62039,12.455904,-1.106621,5.3955216
