index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-1.9378856,4.339056
1,0.025641026,0.033529393,0.011777014,0.006189127,-1.9378856,4.339056
2,0.051282052,0.12549749,0.032780036,0.12942527,-1.9378856,4.339056
3,0.07692308,0.13384405,-0.054544836,0.035410717,-1.9378856,4.339056
4,0.102564104,0.013261966,-0.091291614,-0.012580808,-1.9378856,4.339056
5,0.12820514,-0.07365891,0.089705266,0.08570637,-1.9378856,4.339056
6,0.15384616,-0.10090649,-0.020212762,0.15534174,-1.9378856,4.339056
7,0.17948718,-0.18195722,0.16265461,0.01166372,-1.9378856,4.339056
8,0.20512821,-0.012242809,0.084723204,0.1312969,-1.9378856,4.339056
9,0.23076923,-0.11190047,-0.2712874,0.16530342,-1.9378856,4.339056
10,0.25641027,-0.1359553,-0.20619395,0.22384918,-1.9378856,4.339056
11,0.2820513,0.37444785,-0.13022324,0.044626907,-1.9378856,4.339056
12,0.30769232,0.5591205,-0.3120945,0.16414653,-1.9378856,4.339056
13,0.33333334,0.5751303,-0.6991379,0.07503261,-1.9378856,4.339056
14,0.35897437,0.064943016,-1.084639,-0.26080108,-1.9378856,4.339056
15,0.3846154,0.094614945,-1.1956165,0.09228936,-1.9378856,4.339056
16,0.41025642,-0.4369144,-1.3330901,0.09452638,-1.9378856,4.339056
17,0.43589744,-0.61807036,-0.65122896,1.4317342,-1.9378856,4.339056
18,0.46153846,-1.1903701,-1.2083951,0.7791288,-1.9378856,4.339056
19,0.4871795,-1.0694644,-1.5646594,0.57297206,-1.9378856,4.339056
20,0.5128205,-3.385219,-2.890275,-0.32931495,-1.9378856,4.339056
21,0.5384615,-2.7989936,-3.2125468,0.9985249,-1.9378856,4.339056
22,0.56410253,-1.177984,-1.6356881,1.0076705,-1.9378856,4.339056
23,0.5897436,-1.6933501,-1.523042,4.2765136,-1.9378856,4.339056
24,0.61538464,0.20785546,0.03370893,4.4728994,-1.9378856,4.339056
25,0.64102566,-2.061432,0.8092417,6.2769036,-1.9378856,4.339056
26,0.6666667,-2.7233565,4.040526,4.3607244,-1.9378856,4.339056
27,0.6923077,-3.1768467,3.958959,2.6533177,-1.9378856,4.339056
28,0.71794873,-6.50879,3.4056575,-1.9511058,-1.9378856,4.339056
29,0.74358976,-3.5321326,3.7827191,-4.1307664,-1.9378856,4.339056
30,0.7692308,2.7528353,5.66947,-5.6845584,-1.9378856,4.339056
31,0.7948718,4.499916,10.648852,-10.806301,-1.9378856,4.339056
32,0.82051283,13.8513,8.717066,-12.205402,-1.9378856,4.339056
33,0.84615386,10.32192,15.352369,-8.328198,-1.9378856,4.339056
34,0.8717949,-2.6257992,11.407312,-19.034061,-1.9378856,4.339056
35,0.8974359,0.3879292,-2.4867258,-18.864637,-1.9378856,4.339056
36,0.9230769,-3.898299,3.0283456,-20.954947,-1.9378856,4.339056
37,0.94871795,-5.192522,9.642464,-29.918583,-1.9378856,4.339056
38,0.974359,-13.016415,9.739573,-6.619707,-1.9378856,4.339056
39,1.0,-21.900284,-5.8722706,-2.2323132,-1.9378856,4.339056
