index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-7.3661194,1.9765246
1,0.025641026,-0.074783355,0.022098519,-0.031974867,-7.3661194,1.9765246
2,0.051282052,-0.061953858,-0.0013836063,-0.012518955,-7.3661194,1.9765246
3,0.07692308,-0.12177724,0.05302537,-0.039053485,-7.3661194,1.9765246
4,0.102564104,-0.107661895,0.005862158,-0.06643788,-7.3661194,1.9765246
5,0.12820514,-0.16837004,-0.01731328,-0.04309002,-7.3661194,1.9765246
6,0.15384616,-0.24510808,-0.21836492,-0.10308318,-7.3661194,1.9765246
7,0.17948718,-0.51314324,-0.047868624,-0.1034739,-7.3661194,1.9765246
8,0.20512821,-0.56178343,-0.264511,-0.104025155,-7.3661194,1.9765246
9,0.23076923,-0.23045018,-0.41942027,0.15072599,-7.3661194,1.9765246
10,0.25641027,-0.14773056,-0.5422571,0.01000154,-7.3661194,1.9765246
11,0.2820513,-0.0183599,-0.49850804,0.17575635,-7.3661194,1.9765246
12,0.30769232,0.08820172,-1.1429228,0.36788243,-7.3661194,1.9765246
13,0.33333334,0.87886816,-1.0979078,0.30124864,-7.3661194,1.9765246
14,0.35897437,1.3520087,-1.030491,0.61529267,-7.3661194,1.9765246
15,0.3846154,1.9255406,-0.92978036,0.618237,-7.3661194,1.9765246
16,0.41025642,2.3490434,-0.43145022,0.8600173,-7.3661194,1.9765246
17,0.43589744,2.448462,0.16478631,0.56342256,-7.3661194,1.9765246
18,0.46153846,1.2937609,-0.40608755,0.49899277,-7.3661194,1.9765246
19,0.4871795,-0.29878712,-0.6163872,0.81330264,-7.3661194,1.9765246
20,0.5128205,0.10519704,-0.59701747,0.4276672,-7.3661194,1.9765246
21,0.5384615,0.88764215,-0.83320606,-1.5275435,-7.3661194,1.9765246
22,0.56410253,1.6628327,-1.4336796,-1.1747477,-7.3661194,1.9765246
23,0.5897436,0.49010384,-2.1183789,0.60179853,-7.3661194,1.9765246
24,0.61538464,-1.6157843,-0.9378754,-0.86766505,-7.3661194,1.9765246
25,0.64102566,-1.6442646,-1.5480288,-1.7646441,-7.3661194,1.9765246
26,0.6666667,-2.6488214,1.8839792,-2.0426884,-7.3661194,1.9765246
27,0.6923077,-1.8436663,11.127819,-3.5332522,-7.3661194,1.9765246
28,0.71794873,1.275522,11.929158,-1.6749898,-7.3661194,1.9765246
29,0.74358976,7.080961,6.2687483,-6.4712887,-7.3661194,1.9765246
30,0.7692308,9.030006,-0.69016933,-12.909038,-7.3661194,1.9765246
31,0.7948718,6.2378063,-6.4787955,-14.455659,-7.3661194,1.9765246
32,0.82051283,11.273962,-11.170048,-12.795673,-7.3661194,1.9765246
33,0.84615386,6.398036,-12.355944,-16.39621,-7.3661194,1.9765246
34,0.8717949,4.422002,-4.437395,-19.936806,-7.3661194,1.9765246
35,0.8974359,17.791683,-13.595532,7.9618626,-7.3661194,1.9765246
36,0.9230769,3.176732,-33.446796,12.310593,-7.3661194,1.9765246
37,0.94871795,-12.085513,-44.173073,-3.595621,-7.3661194,1.9765246
38,0.974359,-10.419574,-44.99966,-6.8042126,-7.3661194,1.9765246
39,1.0,-10.291264,-24.713604,-21.361912,-7.3661194,1.9765246
