index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-9.73892,0.9553598
1,0.025641026,0.07130009,0.03299957,0.023053799,-9.73892,0.9553598
2,0.051282052,0.057122577,0.012904838,0.12040122,-9.73892,0.9553598
3,0.07692308,0.0057023577,-0.059254557,0.15255217,-9.73892,0.9553598
4,0.102564104,0.14709784,-0.031322952,0.22295895,-9.73892,0.9553598
5,0.12820514,0.05012331,-0.041791152,0.18195486,-9.73892,0.9553598
6,0.15384616,0.13804606,-0.061987363,0.27269953,-9.73892,0.9553598
7,0.17948718,0.034729026,0.011088453,-0.024912655,-9.73892,0.9553598
8,0.20512821,-0.1735385,-0.35725677,-0.14575273,-9.73892,0.9553598
9,0.23076923,-0.55860364,-0.16817692,-0.14028336,-9.73892,0.9553598
10,0.25641027,-0.6038261,-0.04817733,-0.34004876,-9.73892,0.9553598
11,0.2820513,-0.688398,0.024705216,-0.8700812,-9.73892,0.9553598
12,0.30769232,0.031597495,-0.06496328,-0.789842,-9.73892,0.9553598
13,0.33333334,0.44991046,-0.18807966,-1.2584906,-9.73892,0.9553598
14,0.35897437,-0.065145195,-0.19075988,-1.585617,-9.73892,0.9553598
15,0.3846154,0.0059384927,0.0095770955,-1.6547223,-9.73892,0.9553598
16,0.41025642,-0.057648614,0.30697685,-1.8298821,-9.73892,0.9553598
17,0.43589744,-1.0709404,0.9025899,-1.7629834,-9.73892,0.9553598
18,0.46153846,-0.26482308,0.3713361,-1.8774145,-9.73892,0.9553598
19,0.4871795,-0.9592274,0.18345937,-1.276221,-9.73892,0.9553598
20,0.5128205,-0.5628712,-0.24345765,-0.55953085,-9.73892,0.9553598
21,0.5384615,0.64086795,-0.15474184,-1.2439405,-9.73892,0.9553598
22,0.56410253,-0.31935018,-2.8964942,-2.457777,-9.73892,0.9553598
23,0.5897436,-0.28840768,-2.6990366,-0.32677245,-9.73892,0.9553598
24,0.61538464,-1.497107,-3.4856257,-1.6008183,-9.73892,0.9553598
25,0.64102566,-3.8323421,-5.9545445,2.1785603,-9.73892,0.9553598
26,0.6666667,-1.9332463,-2.2840111,2.839189,-9.73892,0.9553598
27,0.6923077,2.268602,0.7123523,1.737892,-9.73892,0.9553598
28,0.71794873,1.8242031,2.33384,-1.7445282,-9.73892,0.9553598
29,0.74358976,2.31669,-6.1037145,1.6037635,-9.73892,0.9553598
30,0.7692308,0.39334273,-5.7615824,6.15487,-9.73892,0.9553598
31,0.7948718,-1.9058044,-5.6070137,2.3117764,-9.73892,0.9553598
32,0.82051283,-6.1417,-17.107132,6.781826,-9.73892,0.9553598
33,0.84615386,-10.99806,-16.404995,4.527502,-9.73892,0.9553598
34,0.8717949,-2.5625153,-4.62082,-13.22937,-9.73892,0.9553598
35,0.8974359,12.926399,-0.32129574,-10.041536,-9.73892,0.9553598
36,0.9230769,-4.9308624,6.627498,-11.043156,-9.73892,0.9553598
37,0.94871795,6.041257,13.168264,-6.748538,-9.73892,0.9553598
38,0.974359,8.564979,10.576029,0.23890543,-9.73892,0.9553598
39,1.0,-2.5655985,5.0477343,5.2843843,-9.73892,0.9553598
