index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,7.3916717,14.147968
1,0.025641026,-0.09757035,0.12762335,0.065447174,7.3916717,14.147968
2,0.051282052,-0.099987745,0.23198012,0.11570118,7.3916717,14.147968
3,0.07692308,-0.16231476,0.23810722,0.119423665,7.3916717,14.147968
4,0.102564104,-0.17270017,0.23895696,-0.08577313,7.3916717,14.147968
5,0.12820514,-0.117992,0.29594475,-0.033282373,7.3916717,14.147968
6,0.15384616,-0.3033961,0.15971796,-0.100010574,7.3916717,14.147968
7,0.17948718,-0.29460803,0.011803776,-0.08408348,7.3916717,14.147968
8,0.20512821,-0.31871915,0.037105523,0.07979572,7.3916717,14.147968
9,0.23076923,-0.32564452,0.067333445,0.13504952,7.3916717,14.147968
10,0.25641027,-0.30362275,-0.25787687,0.02830875,7.3916717,14.147968
11,0.2820513,-0.23270714,-0.57844603,0.32805902,7.3916717,14.147968
12,0.30769232,-0.32517537,-0.9893044,0.0426822,7.3916717,14.147968
13,0.33333334,-0.5353163,-0.82465094,0.41150558,7.3916717,14.147968
14,0.35897437,-0.24487922,-0.9832562,0.5800858,7.3916717,14.147968
15,0.3846154,0.16291669,-0.65829235,1.2464896,7.3916717,14.147968
16,0.41025642,1.0669901,-1.591229,0.55778015,7.3916717,14.147968
17,0.43589744,1.6252816,-3.0889688,0.4000296,7.3916717,14.147968
18,0.46153846,2.1268134,-3.765812,-0.47744536,7.3916717,14.147968
19,0.4871795,3.4850016,-3.9901953,-1.0653508,7.3916717,14.147968
20,0.5128205,2.9705033,-2.5373998,0.6833612,7.3916717,14.147968
21,0.5384615,2.3280857,-1.2781476,-0.31532365,7.3916717,14.147968
22,0.56410253,2.0439425,-0.44060445,1.2736273,7.3916717,14.147968
23,0.5897436,2.3654828,-1.2605706,0.70540005,7.3916717,14.147968
24,0.61538464,-2.3748102,-2.932849,1.3032436,7.3916717,14.147968
25,0.64102566,-0.31299353,-1.1432618,4.0113297,7.3916717,14.147968
26,0.6666667,4.2392406,-0.6500609,5.3288245,7.3916717,14.147968
27,0.6923077,4.9928613,-3.4667635,-0.91924906,7.3916717,14.147968
28,0.71794873,6.998492,-0.5674894,-3.435776,7.3916717,14.147968
29,0.74358976,4.8744297,0.201285,-4.642907,7.3916717,14.147968
30,0.7692308,0.5652003,5.826112,-5.8821063,7.3916717,14.147968
31,0.7948718,-0.07309997,0.4872222,-4.35798,7.3916717,14.147968
32,0.82051283,-5.9828134,0.5248369,-1.8666563,7.3916717,14.147968
33,0.84615386,-3.832531,5.4599423,6.390133,7.3916717,14.147968
34,0.8717949,0.79896975,17.389088,12.281818,7.3916717,14.147968
35,0.8974359,-8.666151,-7.9468403,24.097343,7.3916717,14.147968
36,0.9230769,-22.652294,-6.763281,36.657352,7.3916717,14.147968
37,0.94871795,-24.744013,3.43474,19.431686,7.3916717,14.147968
38,0.974359,-0.45017815,8.801978,0.47049332,7.3916717,14.147968
39,1.0,17.730968,-6.502838,-4.352754,7.3916717,14.147968
