index,timestep,sample
0,0.0,-29.894651
1,0.01010101,-29.592686
2,0.02020202,-29.29072
3,0.030303031,-28.988754
4,0.04040404,-28.686789
5,0.05050505,-28.384823
6,0.060606062,-28.082857
7,0.07070707,-27.780891
8,0.08080808,-27.478926
9,0.09090909,-27.17696
10,0.1010101,-26.874994
11,0.11111111,-26.573029
12,0.121212125,-26.271063
13,0.13131313,-25.969097
14,0.14141414,-25.667131
15,0.15151516,-25.365166
16,0.16161616,-25.0632
17,0.17171717,-24.761234
18,0.18181819,-24.459269
19,0.1919192,-24.157303
20,0.2020202,-23.855337
21,0.21212122,-23.553371
22,0.22222222,-23.251406
23,0.23232323,-22.94944
24,0.24242425,-22.647474
25,0.25252524,-22.345509
26,0.26262626,-22.043543
27,0.27272728,-21.741577
28,0.28282827,-21.439611
29,0.2929293,-21.137646
30,0.3030303,-20.83568
31,0.3131313,-20.533714
32,0.32323232,-20.231749
33,0.33333334,-19.929783
34,0.34343433,-19.627817
35,0.35353535,-19.325851
36,0.36363637,-19.023886
37,0.37373737,-18.72192
38,0.3838384,-18.419954
39,0.3939394,-18.117989
40,0.4040404,-17.816023
41,0.41414142,-17.514057
42,0.42424244,-17.212091
43,0.43434343,-16.910126
44,0.44444445,-16.60816
45,0.45454547,-16.306194
46,0.46464646,-16.004229
47,0.47474748,-15.702262
48,0.4848485,-15.400295
49,0.4949495,-15.09833
50,0.5050505,-14.796364
51,0.5151515,-14.494397
52,0.5252525,-14.1924305
53,0.53535354,-13.890464
54,0.54545456,-13.588497
55,0.5555556,-13.2865305
56,0.56565654,-12.984566
57,0.57575756,-12.682599
58,0.5858586,-12.380632
59,0.5959596,-12.078666
60,0.6060606,-11.776699
61,0.61616164,-11.474732
62,0.6262626,-11.172768
63,0.6363636,-10.870801
64,0.64646465,-10.568834
65,0.65656567,-10.266868
66,0.6666667,-9.964901
67,0.6767677,-9.662934
68,0.68686867,-9.36097
69,0.6969697,-9.059003
70,0.7070707,-8.757036
71,0.7171717,-8.45507
72,0.72727275,-8.153103
73,0.7373737,-7.851138
74,0.74747473,-7.5491714
75,0.75757575,-7.247205
76,0.7676768,-6.945238
77,0.7777778,-6.6432714
78,0.7878788,-6.341305
79,0.7979798,-6.03934
80,0.8080808,-5.7373734
81,0.8181818,-5.4354067
82,0.82828283,-5.13344
83,0.83838385,-4.8314734
84,0.8484849,-4.5295067
85,0.85858583,-4.227542
86,0.86868685,-3.9255755
87,0.8787879,-3.623609
88,0.8888889,-3.3216426
89,0.8989899,-3.0196762
90,0.90909094,-2.7177098
91,0.9191919,-2.415745
92,0.9292929,-2.1137786
93,0.93939394,-1.8118122
94,0.94949496,-1.5098457
95,0.959596,-1.2078793
96,0.969697,-0.9059128
97,0.97979796,-0.6039481
98,0.989899,-0.30198163
99,1.0,-1.513958e-05
