id,prior_position,prior_time,prior:smax_gaussian,prior:convolved_data,prior:estimated_data,integrand:TotalIntegrand,integrand:FlowIntegrand
0_r0,-43.869205474853516,1.0,-5.36381196975708,-5.355385780334473,-5.363720893859863,1.3271991,1.4707714
1_r0,12.218883514404297,1.0,-5.182668685913086,-5.191564083099365,-5.182523250579834,1.41674,1.2056117
2_r0,17.540145874023438,1.0,-5.198827266693115,-5.208681106567383,-5.1986870765686035,0.771907,1.1887743
3_r0,-17.663185119628906,1.0,-5.1992692947387695,-5.1998209953308105,-5.199129104614258,-0.032799397,0.23663507
4_r0,-123.97567749023438,1.0,-6.735797882080078,-6.730055332183838,-6.736117839813232,1.9739814,1.2521995
5_r0,86.75340270996094,1.0,-5.935408592224121,-5.936862468719482,-5.935488700866699,1.4504507,1.2403355
6_r0,7.4082350730896,1.0,-5.173033714294434,-5.180898189544678,-5.172885894775391,0.88061863,-0.18232945
7_r0,19.558307647705078,1.0,-5.206467151641846,-5.2166314125061035,-5.206329345703125,-0.28331065,0.53984535
8_r0,-4.691112518310547,1.0,-5.169679164886475,-5.174354076385498,-5.169530391693115,1.2002023,1.7373775
9_r0,28.5871639251709,1.0,-5.250823974609375,-5.261993408203125,-5.250699520111084,0.76703477,1.6895719
10_r0,16.271041870117188,1.0,-5.194448947906494,-5.204092502593994,-5.19430685043335,0.5781873,1.0309067
11_r0,-21.960426330566406,1.0,-5.216643810272217,-5.215730667114258,-5.216508865356445,1.0897212,1.8898412
12_r0,-99.20858764648438,1.0,-6.171754360198975,-6.156374454498291,-6.171905517578125,1.9761876,1.4418148
13_r0,-8.717217445373535,1.0,-5.175187587738037,-5.178645133972168,-5.175040245056152,0.8354928,0.78210175
14_r0,-95.06620788574219,1.0,-6.089636325836182,-6.073622226715088,-6.0897626876831055,2.0564888,1.7139297
15_r0,-85.2588882446289,1.0,-5.909176349639893,-5.892606735229492,-5.9092488288879395,1.7529994,1.4946862
16_r0,105.17365264892578,1.0,-6.2961578369140625,-6.28975248336792,-6.296346187591553,1.5268468,0.28731257
17_r0,-148.09341430664062,1.0,-7.40535831451416,-7.420520782470703,-7.405879020690918,3.4741728,1.9460183
18_r0,50.5540885925293,1.0,-5.428221225738525,-5.438997268676758,-5.428149223327637,1.675823,1.0590963
19_r0,-0.1924346685409546,1.0,-5.167437553405762,-5.1733880043029785,-5.167287826538086,0.6386107,1.033743
20_r0,-83.56954956054688,1.0,-5.880073547363281,-5.863532066345215,-5.8801374435424805,-0.035506807,1.5260553
21_r0,-46.479942321777344,1.0,-5.387881278991699,-5.378617763519287,-5.3877973556518555,0.77775115,1.3030783
22_r0,-3.068037748336792,1.0,-5.168394088745117,-5.1735405921936035,-5.1682448387146,0.32358697,0.9588465
23_r0,-48.057552337646484,1.0,-5.40310001373291,-5.393343448638916,-5.403020858764648,1.403047,0.9308673
24_r0,-67.32843017578125,1.0,-5.6299967765808105,-5.615292072296143,-5.629985809326172,1.4771951,1.0273123
25_r0,33.40242004394531,1.0,-5.281282901763916,-5.292718887329102,-5.281167030334473,0.46800092,0.06256008
26_r0,70.85774230957031,1.0,-5.679762363433838,-5.6865234375,-5.6797661781311035,1.911293,0.95484394
27_r0,-87.68553161621094,1.0,-5.952000141143799,-5.935451507568359,-5.952085494995117,2.1928172,1.3126346
28_r0,-28.955947875976562,1.0,-5.252989768981934,-5.249646186828613,-5.252865314483643,1.0810413,1.7020041
29_r0,-14.254325866699219,1.0,-5.188167095184326,-5.189853191375732,-5.188023567199707,-1.1165006,1.4588393
30_r0,-61.13831329345703,1.0,-5.548851490020752,-5.53547477722168,-5.548815727233887,0.27556145,1.3477672
