id,prior_position,prior_time,prior:smax_gaussian,prior:receptor_smax_gaussian,integrand:TotalIntegrand,integrand:FlowIntegrand
1AVX_p0,"[-88.66600799560547, 39.65534210205078, 46.47236633300781]",1.0,-19.401456832885742,-16.973751068115234,14.422779,-0.0012513468
1AVX_p1,"[1.6246919631958008, 9.963300704956055, 9.951703071594238]",1.0,-13.072043418884277,-13.773491859436035,8.105892,11.426013
1AVX_p2,"[-12.793861389160156, 5.095837116241455, -12.9456205368042]",1.0,-13.15887451171875,-13.654865264892578,2.8234725,1.7573818
1AVX_p3,"[21.156536102294922, -25.794876098632812, 7.939901828765869]",1.0,-13.613750457763672,-13.26486587524414,10.228493,14.999134
1AVX_p4,"[-14.684128761291504, -0.4049644470214844, -7.931343078613281]",1.0,-13.115238189697266,-13.856748580932617,4.2704144,10.832135
1AVX_p5,"[-8.613279342651367, 19.449495315551758, 26.182594299316406]",1.0,-13.592630386352539,-13.380677223205566,17.83304,23.576859
1AVX_p6,"[48.40172576904297, 5.614964485168457, -16.78492546081543]",1.0,-14.435956954956055,-13.807324409484863,10.272466,8.927262
1AVX_p7,"[19.86591911315918, 22.09198760986328, -11.11425495147705]",1.0,-13.519429206848145,-14.186880111694336,7.5768137,9.950929
1AVX_p8,"[23.3601016998291, 16.783071517944336, 25.19866180419922]",1.0,-13.772818565368652,-14.546242713928223,6.0497646,11.99764
1AVX_p9,"[2.34700608253479, 0.4914243221282959, 40.385406494140625]",1.0,-13.86970329284668,-14.940505981445312,7.265959,9.699802
1AVX_p10,"[22.146930694580078, 4.597761631011963, 2.5124361515045166]",1.0,-13.248151779174805,-13.384963989257812,4.523856,11.796963
1AVX_p11,"[-69.42657470703125, 53.00997543334961, 43.72453689575195]",1.0,-18.261486053466797,-14.380735397338867,16.399881,-0.0018662447
1AVX_p12,"[-87.11359405517578, 1.6387617588043213, 64.4502944946289]",1.0,-19.485576629638672,-15.0628662109375,14.797855,-0.0013673697
1AVX_p13,"[12.347766876220703, -1.0543198585510254, -35.54716491699219]",1.0,-13.747730255126953,-13.606188774108887,1.5928187,5.184706
1AVX_p14,"[21.152042388916016, 17.82276153564453, -27.72342872619629]",1.0,-13.812435150146484,-14.314469337463379,11.820506,10.636366
1AVX_p15,"[1.0092382431030273, -11.740766525268555, -31.027423858642578]",1.0,-13.572388648986816,-13.644371032714844,6.8906016,13.497749
1AVX_p16,"[-4.837098598480225, 27.224916458129883, 24.549968719482422]",1.0,-13.720016479492188,-15.060510635375977,7.9981947,10.812379
1AVX_p17,"[6.570598602294922, 13.515569686889648, -6.370186805725098]",1.0,-13.108420372009277,-14.121460914611816,7.8053117,1.8078505
1AVX_p18,"[19.983095169067383, -4.772989273071289, 24.728858947753906]",1.0,-13.534642219543457,-14.50375747680664,15.443736,2.1096022
1AVX_p19,"[32.96689987182617, -15.007917404174805, 27.043508529663086]",1.0,-14.095633506774902,-13.090479850769043,10.180542,13.211512
1AVX_p20,"[-76.05742645263672, 36.771114349365234, 47.6630859375]",1.0,-18.18741798400879,-15.920955657958984,14.658827,-0.0013361714
1AVX_p21,"[-57.15349197387695, 42.22865295410156, 41.8276481628418]",1.0,-16.737815856933594,-16.307687759399414,13.009995,-0.002535913
1AVX_p22,"[-80.86888885498047, 33.65552520751953, 30.806488037109375]",1.0,-17.750137329101562,-14.8932523727417,14.829049,-0.0019453836
1AVX_p23,"[17.35814666748047, 26.285242080688477, -5.343634128570557]",1.0,-13.527504920959473,-13.98779582977295,10.360861,13.076878
1AVX_p24,"[12.848865509033203, 27.924957275390625, -2.856761932373047]",1.0,-13.489884376525879,-13.095527648925781,11.534729,3.9849024
1AVX_p25,"[-13.818546295166016, 10.244064331054688, 13.556291580200195]",1.0,-13.226889610290527,-13.257542610168457,2.475558,9.083919
1AVX_p26,"[-17.79580307006836, 33.994224548339844, 33.37221908569336]",1.0,-14.397076606750488,-14.985373497009277,17.993673,4.2886
1AVX_p27,"[-10.312931060791016, 0.5584297180175781, 17.043476104736328]",1.0,-13.181046485900879,-13.352508544921875,13.13481,21.820337
1AVX_p28,"[41.50169372558594, 16.737865447998047, 1.144709587097168]",1.0,-14.073661804199219,-13.34360122680664,6.629834,6.732571
1AVX_p29,"[12.659037590026855, 9.307168006896973, 36.858551025390625]",1.0,-13.852312088012695,-13.493865966796875,20.672127,23.858982
1AVX_p30,"[9.341825485229492, -8.290122985839844, 44.22658920288086]",1.0,-14.133734703063965,-14.197834014892578,0.98151755,-0.93035394
1AVX_p31,"[-75.65011596679688, 44.112430572509766, 43.78498458862305]",1.0,-18.285947799682617,-15.151288032531738,13.8512,-0.00021100267
1AVX_p32,"[10.365999221801758, -1.173325538635254, 23.824037551879883]",1.0,-13.33619499206543,-13.54992389678955,12.092376,6.4609365
1AVX_p33,"[-26.748523712158203, 16.055694580078125, -22.03812026977539]",1.0,-13.77093505859375,-14.988099098205566,5.9203634,11.583349
1AVX_p34,"[25.784488677978516, 29.574026107788086, -21.574949264526367]",1.0,-14.074264526367188,-13.998937606811523,3.6189914,9.916884
1AVX_p35,"[-45.00882339477539, -1.8915870189666748, 19.06236457824707]",1.0,-14.289711952209473,-15.304030418395996,12.074505,16.994644
1AVX_p36,"[34.63370895385742, 17.07145881652832, -4.242023468017578]",1.0,-13.798698425292969,-13.830754280090332,6.9707394,13.551445
1AVX_p37,"[-7.217901229858398, 9.943872451782227, -10.545300483703613]",1.0,-13.106064796447754,-13.349852561950684,6.206244,10.142952
1AVX_p38,"[25.363229751586914, 6.213860034942627, 35.321754455566406]",1.0,-14.032370567321777,-14.45004940032959,11.64709,13.963594
1AVX_p39,"[-20.275915145874023, 22.610416412353516, 15.451616287231445]",1.0,-13.605461120605469,-14.023500442504883,8.927292,9.668698
1AVX_p40,"[-78.9087905883789, 12.78183650970459, 60.099159240722656]",1.0,-18.517009735107422,-15.115817070007324,16.4062,-0.0010801683
1AVX_p41,"[-58.11795425415039, 42.3309440612793, 37.14154815673828]",1.0,-16.598796844482422,-18.306758880615234,14.271287,-0.00048818366
1AVX_p42,"[11.721837043762207, 0.9723424911499023, -21.07384490966797]",1.0,-13.2839937210083,-14.126091003417969,4.3862805,13.16379
1AVX_p43,"[10.918785095214844, -1.064976692199707, -21.120697021484375]",1.0,-13.27509593963623,-14.227516174316406,11.838989,11.878809
1AVX_p44,"[-25.468236923217773, 24.892669677734375, -26.692712783813477]",1.0,-14.060839653015137,-15.205592155456543,2.8086843,4.8746996
