index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.001,-0.025156967,-0.030261649,-0.016098838,0.46634325,0.0028089788
2,0.026615383,-0.09777904,-0.037622,-0.045372125,1.1172602,0.0875171
3,0.052230768,-0.16061045,-0.07268595,-0.07207559,1.7945013,0.16997218
4,0.077846155,-0.17929071,-0.0978315,-0.024883762,1.8083572,0.23635983
5,0.10346154,-0.24969767,0.053563923,-0.041360505,1.83389,0.29759315
6,0.12907693,-0.34762204,0.029540595,-0.1415349,2.107712,0.41795737
7,0.1546923,-0.40431392,0.0973779,-0.074831404,2.4568706,0.5564663
8,0.18030769,-0.47313955,-0.0037267208,-0.26073262,2.608902,0.7113112
9,0.20592308,-0.6051512,-0.024575578,-0.078383744,3.1468184,0.86402804
10,0.23153846,-0.5982674,0.026203534,-0.06469189,3.0705388,1.0721998
11,0.25715384,-0.625779,-0.09280228,-0.36238372,2.9550061,1.2822924
12,0.28276923,-0.9234884,0.0038954616,-0.33643606,3.319733,1.4893029
13,0.30838463,-0.8683372,0.11712784,-0.7861513,4.0333157,1.7637849
14,0.334,-0.7892151,-0.15798846,-0.27830815,2.9610803,2.0454
15,0.3596154,-0.93099993,-0.29163375,-0.51576173,3.4624755,2.3445942
16,0.38523078,-1.0884302,-0.6007849,-0.40716863,3.8194838,2.5344005
17,0.41084614,-0.6855116,-0.22848845,-0.7986047,3.4420555,2.7855892
18,0.43646154,-0.6841163,0.39011618,0.018680215,2.9434388,3.19393
19,0.46207693,-0.78793013,-0.21699992,-0.2434302,3.3333607,3.9547563
20,0.4876923,-1.1395639,0.024924502,0.5266861,3.8790362,4.417968
21,0.5133077,-0.57886046,0.6418955,-0.38421506,3.7614667,4.98802
22,0.5389231,-0.2616918,0.96893024,-0.24613379,3.9142025,5.2163873
23,0.5645385,1.2734185,1.8791685,0.09336628,4.385211,5.3186173
24,0.5901538,0.5072501,-0.45129085,0.0413953,3.3397205,5.5978346
25,0.6157692,1.3365,-0.05314544,0.5943663,4.2440867,6.5287914
26,0.6413846,0.20223844,-0.7162325,-1.1053313,5.5699143,8.2502575
27,0.667,1.6886336,1.1331568,-2.171064,6.2314663,8.499629
28,0.6926154,-0.16691267,0.41406405,-2.4758022,5.9445114,8.72824
29,0.7182308,0.1344186,1.7395989,-0.9733721,6.1076016,9.115359
30,0.7438462,-4.6628146,0.893971,-2.4881334,7.2326956,10.181853
31,0.7694615,-6.1968074,3.7998314,-3.6856806,7.9983206,10.6775055
32,0.7950769,-6.603779,2.5520933,-3.7883549,7.8365307,10.970427
33,0.8206923,-9.712859,-2.4666512,-7.1075354,8.417783,11.457666
34,0.8463077,-13.472412,-2.6174185,-0.20466232,8.936001,11.773359
35,0.8719231,-12.4366455,-6.0586967,8.194192,10.3571825,12.595563
36,0.8975385,-13.70781,4.888466,4.758099,9.05492,12.15746
37,0.9231538,-14.186721,7.032802,9.771542,12.881028,15.93718
38,0.9487692,1.4703083,-4.8279366,11.756804,12.887,16.44123
39,0.9743846,22.277514,-3.8316863,11.793611,13.820144,17.894821
40,1.0,28.229038,-10.253198,17.388502,12.991817,17.111797
