index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.001,-0.027825665,-0.020914342,-0.024097916,0.6002377,0.009014005
2,0.026615383,0.026776727,-0.026204858,0.02950452,-0.015326738,0.223039
3,0.052230768,0.021256868,0.055489283,-0.006929688,0.834538,0.81399953
4,0.077846155,0.0071620736,-0.034602426,-0.0037218044,0.84131026,1.1096561
5,0.10346154,-0.044241592,-0.030782886,0.086210944,1.2366357,1.4399807
6,0.12907693,-0.13139448,0.014532097,0.050021414,1.256791,1.9144127
7,0.1546923,0.02591741,0.05282872,0.15146172,2.187567,2.779542
8,0.18030769,0.11877674,-0.002743177,0.18113765,2.8255115,3.5527298
9,0.20592308,-0.0830948,0.17847699,0.041981608,3.7947116,4.114965
10,0.23153846,-0.05905199,0.15577066,-0.07033339,3.8328307,4.401233
11,0.25715384,0.115688086,-0.058357865,0.050256833,3.1967678,4.9857845
12,0.28276923,0.2940642,-0.055278286,-0.010724857,3.8729138,5.6102257
13,0.30838463,0.07158713,0.15763603,-0.0496269,4.5205617,6.472537
14,0.334,0.14068198,-0.16154744,0.1494005,5.292661,7.633822
15,0.3596154,0.061293535,-0.49625996,-0.026507676,6.079653,8.254964
16,0.38523078,0.4108104,-0.57921106,0.63096935,6.2737246,8.560907
17,0.41084614,0.5568899,-0.3825596,1.035006,6.8314366,8.842694
18,0.43646154,0.50711614,-0.33793575,0.7745442,6.4757767,9.1271515
19,0.46207693,-0.17838234,-0.34702137,1.1535107,6.7043076,9.466772
20,0.4876923,0.09737614,-0.86675835,0.50764227,6.8633018,10.031369
21,0.5133077,-0.6093945,-1.2656972,0.2650979,7.4032493,10.238625
22,0.5389231,1.2776024,-0.5599847,0.4539143,6.9050407,10.658001
23,0.5645385,1.5930002,0.12798476,-0.08322945,7.429052,11.214109
24,0.5901538,1.2816421,0.72329974,1.3004373,7.955661,11.635534
25,0.6157692,1.4376299,-0.11926913,2.864523,8.19177,11.758223
26,0.6413846,0.4839419,-1.0839206,1.660795,7.3938823,11.899682
27,0.667,0.98978585,0.75878894,-0.47834253,8.01709,12.848723
28,0.6926154,-1.2267246,-3.1291807,0.07054737,9.240659,13.707614
29,0.7182308,1.7656425,1.1607921,0.0987431,9.641419,14.509657
30,0.7438462,3.0462666,-3.379578,-1.0019481,10.081754,14.89476
31,0.7694615,4.3984623,-5.4654737,-2.0379448,10.184735,14.841062
32,0.7950769,2.7291255,-1.7097921,1.9994373,9.370601,14.95777
33,0.8206923,1.2085749,1.9653367,2.0278351,9.575597,15.249107
34,0.8463077,2.2784219,10.117758,-2.1306455,10.243204,15.370171
35,0.8719231,7.565209,8.144409,-3.7632873,10.301718,15.587716
36,0.8975385,13.099279,9.068685,-8.658459,10.724457,15.757723
37,0.9231538,14.329915,12.447846,-10.677086,10.8854475,15.9262495
38,0.9487692,19.685299,13.277697,-5.9423895,10.806006,15.98015
39,0.9743846,22.343777,20.394115,5.5321403,10.982289,16.212605
40,1.0,16.998606,4.956444,17.0751,10.195913,16.112772
