index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.001,-0.028554425,0.02677231,0.01757434,0.6116551,0.00085636694
2,0.026615383,-0.052722793,0.057059348,-0.008643497,0.6460714,0.023785926
3,0.052230768,-0.07397029,0.12671278,0.028267387,1.2332015,0.046520807
4,0.077846155,-0.09251485,0.23840594,0.16881195,2.2847075,0.07817134
5,0.10346154,-0.18938604,0.2429802,0.2460496,2.9903116,0.1289841
6,0.12907693,-0.37088117,0.21871291,0.29962382,3.8827991,0.16047142
7,0.1546923,-0.3415743,0.31862375,0.31245548,3.7596073,0.18942952
8,0.18030769,-0.24340594,0.34684157,0.49732676,3.4054756,0.24995059
9,0.20592308,-0.18088123,0.45842576,0.3153565,2.911233,0.32383895
10,0.23153846,-0.22597031,0.38587132,0.59366345,3.0613163,0.41758028
11,0.25715384,-0.1899703,0.4774554,0.5073367,2.7335465,0.5434617
12,0.28276923,-0.44503963,0.430802,1.1178318,4.0861244,0.7227597
13,0.30838463,-0.90461385,0.5851385,1.2003169,5.2828856,0.9174474
14,0.334,-1.2093762,0.6401881,1.3172773,5.821464,1.030839
15,0.3596154,-1.1596831,0.33625752,2.0494754,6.1807604,1.1581061
16,0.38523078,-1.2009802,0.22033659,2.271574,6.3153863,1.2131866
17,0.41084614,-1.6428812,0.34737626,2.8365445,7.059924,1.2511219
18,0.43646154,-1.4468218,0.22417812,3.0192773,6.823565,1.2725949
19,0.46207693,-1.183297,-0.06366338,3.8431487,7.4112186,1.3339813
20,0.4876923,-1.8555545,0.2705248,4.4558125,7.8144913,1.4254984
21,0.5133077,-1.7791086,0.12803966,5.0520306,8.0833025,1.5341341
22,0.5389231,-2.0055842,0.62442577,5.9307523,8.515487,1.6325701
23,0.5645385,-2.449327,0.43767333,6.660278,8.776789,1.6964377
24,0.5901538,-2.7219505,0.6983961,7.1858807,8.807953,1.7602228
25,0.6157692,-4.014138,1.2544652,7.9115744,8.943603,1.8052323
26,0.6413846,-4.797029,0.24121773,8.646426,9.176578,1.865608
27,0.667,-4.384881,1.7469704,12.975554,10.1406765,1.920461
28,0.6926154,-3.3936834,3.1903958,15.31888,10.218852,1.8388591
29,0.7182308,-5.1642976,1.7303565,17.762217,10.591422,1.8464799
30,0.7438462,-4.3717628,-1.0738813,16.661634,10.283922,1.726617
31,0.7694615,-4.6892376,-2.5507226,16.645662,10.276535,1.9072475
32,0.7950769,-8.991881,-4.2878613,16.052517,10.73824,2.5133471
33,0.8206923,-11.290782,-0.954,18.935902,11.649344,3.4862711
34,0.8463077,-6.719387,-0.23944563,19.752901,11.665938,3.9792533
35,0.8719231,-10.7643175,3.6353168,23.963987,12.008251,4.036878
36,0.8975385,-16.325832,-4.9274464,34.23905,12.976543,4.137795
37,0.9231538,-23.09208,4.8867726,39.150566,13.039928,4.7470627
38,0.9487692,-22.968672,8.426555,28.937572,12.362484,4.3355417
39,0.9743846,-38.18553,17.766552,24.442354,12.929245,4.3637123
40,1.0,-41.7097,36.416794,13.680315,13.259233,4.3172607
