index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.001,-0.024924103,0.03318609,-0.011151662,0.61245966,-4.2903686e-08
2,0.026615383,-0.02506895,0.0848068,-0.05816552,1.0079421,-1.4428828e-06
3,0.052230768,-0.103137925,0.09215851,-0.10557931,1.4427156,-1.3753216e-06
4,0.077846155,-0.1479517,0.19240664,-0.1405724,2.3103926,-2.0691018e-06
5,0.10346154,-0.29957235,0.25555855,-0.19266893,3.3674285,-1.8148685e-06
6,0.12907693,-0.42458615,0.40602055,-0.10373786,4.3558583,-3.192e-07
7,0.1546923,-0.45985514,0.456041,-0.18308963,4.5528855,-3.2111752e-06
8,0.18030769,-0.416,0.4807999,-0.2861104,4.323362,-3.8414e-06
9,0.20592308,-0.51967585,0.49473783,-0.24548963,4.28681,-7.714516e-07
10,0.23153846,-0.518731,0.44073775,-0.17600688,3.6781492,1.1625161e-07
11,0.25715384,-0.668462,0.67373097,0.005869001,4.1711254,-3.4482962e-06
12,0.28276923,-0.7997586,0.8883032,0.041593183,4.593419,-1.5645114e-06
13,0.30838463,-0.96785533,1.2557034,0.33846894,5.116494,2.1441442e-06
14,0.334,-1.4293864,1.5613239,0.2386621,6.076715,3.4172435e-06
15,0.3596154,-1.5848482,1.9679723,0.15108965,6.638027,6.7088877e-06
16,0.38523078,-1.8582067,2.4324415,0.20711716,7.212325,-3.778444e-06
17,0.41084614,-2.235855,2.7308207,-0.043834522,7.681279,-4.891444e-06
18,0.43646154,-2.3359587,2.9428551,-0.12753099,7.679067,1.08188215e-05
19,0.46207693,-2.3626685,3.6564896,-0.74586207,8.192372,-2.1225278e-06
20,0.4876923,-3.4289727,4.3038273,-1.2395792,9.114066,8.0670925e-06
21,0.5133077,-4.3263035,4.53691,-2.5843515,9.694974,6.002724e-06
22,0.5389231,-4.8523583,5.614924,-2.1836,10.139772,-3.4897994e-06
23,0.5645385,-5.7797303,6.935061,-2.1675932,10.816683,-3.677321e-05
24,0.5901538,-6.2257304,7.0919375,-3.8360069,10.941497,-3.5003664e-05
25,0.6157692,-6.573109,8.674835,-2.9843035,11.193929,-2.9609328e-06
26,0.6413846,-7.601847,11.045703,-4.6927447,12.040874,-1.5586824e-05
27,0.667,-6.792924,13.277504,-4.1145034,12.121341,-2.7608072e-05
28,0.6926154,-8.439946,15.458634,-1.2846551,12.387478,-6.2497766e-06
29,0.7182308,-10.301552,16.799158,-2.6779654,12.722053,-0.00010009992
30,0.7438462,-12.612283,15.719198,-5.0865173,12.681011,-5.430678e-05
31,0.7694615,-12.825677,17.074255,-4.5785728,12.591425,8.835065e-05
32,0.7950769,-16.2342,17.9832,-3.3333516,12.686949,9.8289325e-05
33,0.8206923,-11.243193,23.521303,-2.8960135,12.579974,0.00010090357
34,0.8463077,-13.960117,23.204268,-5.973999,12.55147,0.00019883888
35,0.8719231,-10.0735855,22.21773,-6.234862,11.953228,0.00023074473
36,0.8975385,-13.41571,25.303738,-4.600221,12.013949,0.00016731312
37,0.9231538,-9.231235,26.405138,-6.477765,11.627206,7.077143e-05
38,0.9487692,-18.24511,27.386803,-5.3336134,11.722046,0.00017852825
39,0.9743846,-16.122917,28.97789,-19.451029,11.653461,-0.0003429831
40,1.0,-15.6572485,37.859272,-29.572441,11.831468,-0.0007086848
