index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.001,0.0011618297,-0.035495203,-0.022485774,0.47448072,0.01558361
2,0.026615383,-0.030028695,-0.043381013,-0.022066684,0.52151734,0.30558702
3,0.052230768,0.00305699,-0.05653332,-0.0023524296,0.43938482,0.87152016
4,0.077846155,-0.061104942,-0.057400025,0.03163806,0.59172875,1.3270769
5,0.10346154,-0.021914471,-0.1380856,-0.09176193,0.77660036,1.6516502
6,0.12907693,-0.08594298,-0.20763811,-0.20172392,1.6032909,1.7475462
7,0.1546923,-0.053257234,-0.12990485,0.010333225,0.23652637,1.9318339
8,0.18030769,-0.036885858,-0.23432384,0.15655234,0.9531857,2.2660708
9,0.20592308,0.13058075,-0.37514284,0.013399959,1.7151337,2.5271962
10,0.23153846,0.06433317,-0.08883807,0.090666644,1.6519867,2.9219532
11,0.25715384,0.06733319,0.26392376,-0.24186672,2.1441717,3.3045936
12,0.28276923,-0.17593342,0.48309526,-0.12261908,2.2224405,3.5083468
13,0.30838463,-0.36556202,0.4346953,0.021542825,2.520707,3.7831068
14,0.334,-0.42364785,0.45275238,-0.0033429153,2.6218061,4.075236
15,0.3596154,-0.28428587,0.407162,-0.26261908,2.462302,4.2676535
16,0.38523078,-0.120990634,0.50000954,-0.36633337,2.3058898,4.466502
17,0.41084614,0.15147597,0.9932286,-0.22271436,2.5214143,4.751396
18,0.43646154,0.28807613,1.3584952,0.28325713,2.611676,4.9882407
19,0.46207693,-0.25195256,0.7490191,1.3849618,2.854237,5.202161
20,0.4876923,-0.048638314,-0.039476097,1.8282762,3.21084,5.3135033
21,0.5133077,-0.45326683,0.18661916,1.987276,3.1191995,5.424298
22,0.5389231,0.09240934,-0.73490477,0.06868565,2.2024627,5.6738105
23,0.5645385,1.8791046,-1.788305,0.20383805,3.0885634,6.558694
24,0.5901538,0.98499036,-2.689971,0.42963803,3.969281,7.5896597
25,0.6157692,2.2035332,-2.9099524,-0.29937148,4.296084,7.958281
26,0.6413846,1.0542095,0.85006666,0.19521904,4.933458,8.810187
27,0.667,0.8585808,0.27453333,2.1657143,5.260996,9.018792
28,0.6926154,-2.2009528,2.452133,0.85827625,5.7865334,9.618315
29,0.7182308,-1.8652762,4.7475243,2.2970667,6.854993,10.529264
30,0.7438462,-5.1012855,2.6297333,4.5795336,7.8955956,11.319472
31,0.7694615,-5.9627423,3.6107147,-1.3228378,8.63611,12.019914
32,0.7950769,-13.222943,6.9692965,0.25345695,9.53298,12.390701
33,0.8206923,-16.36323,2.1346188,-1.4945048,10.628697,13.202911
34,0.8463077,-12.781382,0.10022855,-4.466191,10.980027,13.935148
35,0.8719231,-13.035335,-5.583514,-6.210666,11.707733,14.633926
36,0.8975385,-17.712608,3.2258863,-9.195304,12.268743,15.234458
37,0.9231538,-19.84605,-2.294714,-14.752132,13.071782,15.804464
38,0.9487692,-17.642792,-12.658324,-23.981407,14.346157,16.682934
39,0.9743846,-16.710188,-2.2769995,-28.5275,14.843668,17.418339
40,1.0,-22.95678,-8.7376175,-38.299526,13.051392,15.691457
