index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.001,0.030009925,-0.027064957,-0.01425007,0.60881007,-0.00036088418
2,0.026615383,0.07076002,-0.038134813,-0.08813493,1.0996833,-0.011809375
3,0.052230768,0.078694984,-0.11275981,-0.104155004,1.4592189,-0.025569439
4,0.077846155,0.1090451,-0.1165549,-0.18382497,1.5558466,-0.04227952
5,0.10346154,0.22352491,-0.17242996,-0.15012999,2.2045622,-0.06080842
6,0.12907693,0.25642002,-0.2983,-0.08280997,2.6070259,-0.080284595
7,0.1546923,0.33602992,-0.42073995,-0.052075032,3.2278953,-0.09845727
8,0.18030769,0.3805301,-0.47919995,-0.0059499554,3.2759,-0.11761345
9,0.20592308,0.436765,-0.73202485,-0.0022649625,4.0904818,-0.14012638
10,0.23153846,0.433995,-0.8851098,0.22919,4.245785,-0.1704942
11,0.25715384,0.59866995,-1.14617,0.19140007,5.0369196,-0.20999618
12,0.28276923,0.75675005,-1.29371,0.11408499,5.3807154,-0.24444506
13,0.30838463,1.461575,-1.54118,0.17180504,6.9289293,-0.25783876
14,0.334,1.8991951,-1.3437698,0.038315043,7.29245,-0.24822585
15,0.3596154,2.1804352,-1.1832249,0.3863001,6.9790154,-0.22425516
16,0.38523078,2.238135,-1.24291,0.5599401,6.64361,-0.18924555
17,0.41084614,2.265255,-0.90182996,0.7601001,6.0567384,-0.13565342
18,0.43646154,2.64493,-1.1158749,0.66449,6.373902,-0.070629396
19,0.46207693,2.484725,-1.2683598,0.86123,5.9461365,0.00090903044
20,0.4876923,2.9051147,-2.0898452,1.5515001,6.4694796,0.10419858
21,0.5133077,3.695125,-3.42518,0.725665,7.419108,0.27491027
22,0.5389231,4.359465,-3.20711,-0.50877005,7.570365,0.45679516
23,0.5645385,4.6778107,-4.039815,-1.1000751,7.748551,0.6040889
24,0.5901538,4.2874904,-5.37625,-1.5518351,7.601802,0.82710636
25,0.6157692,6.5140796,-4.042065,-0.35721993,8.404885,1.0387113
26,0.6413846,8.34968,-5.039995,-0.11887002,9.150248,1.345736
27,0.667,8.032359,-4.637525,-0.091154985,9.162033,1.7618289
28,0.6926154,8.858356,-3.2084048,2.3149,9.5067625,2.1966527
29,0.7182308,7.3752446,-3.786395,4.954931,9.83217,2.7044764
30,0.7438462,6.7190404,-3.561135,5.661135,10.006189,3.160341
31,0.7694615,5.0098953,-9.082135,6.200936,10.748515,3.4672241
32,0.7950769,1.8280401,-16.279139,10.193925,12.099439,3.8495696
33,0.8206923,3.5724897,-15.655831,16.61183,12.629854,4.1657605
34,0.8463077,5.7042456,-22.214106,15.367435,13.260648,4.452211
35,0.8719231,7.030404,-29.742083,12.185474,13.54023,4.3230247
36,0.8975385,7.04221,-36.85957,10.720415,13.797074,4.251024
37,0.9231538,12.664564,-50.6797,14.764609,13.162235,3.499229
38,0.9487692,14.381209,-56.350986,22.734137,13.615583,3.8009949
39,0.9743846,18.450905,-69.24749,24.387444,13.664569,3.8349576
40,1.0,11.55893,-70.85302,27.81462,13.719482,3.7948709
