index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.001,-0.02815498,0.030775148,0.009186036,0.55371475,0.0017672266
2,0.026615383,-0.019155147,0.074961275,0.053015485,0.9147775,0.038864274
3,0.052230768,0.016410591,0.1058915,0.07819378,0.8591094,0.090381995
4,0.077846155,0.026046649,0.11068995,0.10262015,0.69097006,0.16044834
5,0.10346154,0.10610837,0.04053496,0.135217,0.39318538,0.22336508
6,0.12907693,0.19186829,0.00407755,0.14951159,0.7069004,0.22755298
7,0.1546923,0.07804632,-0.020612376,0.1785271,-0.25945908,0.2902801
8,0.18030769,0.021286748,0.012240412,0.19009303,-0.09919001,0.47076845
9,0.20592308,0.2888138,-0.043821685,0.2327597,0.5708586,0.47893998
10,0.23153846,0.24237217,-0.10816283,0.08713184,0.27654845,0.45002428
11,0.25715384,-0.15302317,-0.14019379,0.14893796,0.7747781,1.8923217
12,0.28276923,-0.2267367,-0.21475968,0.1768062,0.70298684,1.9997842
13,0.30838463,-0.000604555,-0.3195737,-0.030434132,0.51711255,2.2437232
14,0.334,-0.25786033,-0.17744192,-0.15648837,1.037498,2.8849986
15,0.3596154,0.03989938,-0.1668217,-0.13624032,1.2842076,3.4975321
16,0.38523078,-0.32671314,-0.0058681816,0.1388372,1.8206156,3.8410902
17,0.41084614,0.023333073,0.20568995,-0.06647287,1.6371042,4.071016
18,0.43646154,-0.11393036,0.55582166,0.4856977,1.7635485,4.291362
19,0.46207693,0.033666797,0.721938,0.050759703,1.9651232,4.5796275
20,0.4876923,-0.35514712,1.0359071,0.6791861,2.0339835,4.806117
21,0.5133077,-0.21479857,1.3765117,0.60198444,2.0887299,5.0145483
22,0.5389231,0.044263422,2.5711317,0.12556589,2.6864555,5.016895
23,0.5645385,1.5934104,2.8302948,0.5736279,3.1764238,4.9423323
24,0.5901538,2.2680466,2.4173102,0.79468995,2.9787788,4.6729918
25,0.6157692,0.6645427,2.8181705,2.3308372,2.2332678,4.5367436
26,0.6413846,0.47752723,1.9327753,1.8489376,1.6695759,4.185778
27,0.667,-0.52577543,2.3819923,-1.387977,1.8273302,4.1479983
28,0.6926154,-4.6016364,2.0361006,-1.1956433,2.7044156,4.2743335
29,0.7182308,0.95907736,1.6424572,-4.6335273,1.7559183,4.3886786
30,0.7438462,4.2891397,2.6890078,-6.764426,2.367299,4.4400473
31,0.7694615,2.666093,-2.1541781,-4.0948687,1.892222,4.7252545
32,0.7950769,1.5480776,-3.4061706,-13.925799,2.4265294,4.7348747
33,0.8206923,-1.196496,-7.649598,-15.967489,2.6318958,4.582437
34,0.8463077,4.90655,-6.9570856,-22.92717,2.3412404,4.22763
35,0.8719231,8.89262,-10.4111,-31.044857,2.9191222,4.1788507
36,0.8975385,17.039202,-13.286956,-33.506474,3.1792111,4.3770556
37,0.9231538,21.667028,-22.667004,-38.6672,3.4168591,4.38047
38,0.9487692,29.241507,-29.213228,-41.119442,3.4256349,4.483912
39,0.9743846,29.306288,-23.383993,-52.097862,3.8741136,4.568408
40,1.0,29.941612,-32.399914,-58.690422,3.8128638,4.5768514
