index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.001,0.0007226193,0.042578544,-0.0056897514,0.6122847,-4.2278643e-05
2,0.026615383,0.014812041,0.10664953,-0.055010904,1.2637892,-0.0011877051
3,0.052230768,-0.032151487,0.1308357,-0.056510918,1.1907065,-0.0027416546
4,0.077846155,-0.036479983,0.18264239,-0.054591205,1.3824993,-0.004639671
5,0.10346154,-0.017368585,0.26965868,-0.042122252,1.8182695,-0.006591949
6,0.12907693,-0.073669694,0.42085946,-0.038240895,2.680924,-0.009026321
7,0.1546923,-0.049368627,0.536228,-0.10876277,3.1627936,-0.011822306
8,0.18030769,-0.029760966,0.624407,-0.103023686,3.321898,-0.014684787
9,0.20592308,-0.025731752,0.85379,-0.08027005,4.116024,-0.016280053
10,0.23153846,-0.032854002,0.8301057,-0.18318972,3.7414439,-0.01738514
11,0.25715384,0.17781933,0.7920658,-0.2632463,3.2588787,-0.017694147
12,0.28276923,0.14740326,1.1151041,-0.45480835,4.092473,-0.017608972
13,0.30838463,0.074669674,1.2995929,-0.66802555,4.399698,-0.01403732
14,0.334,0.13099998,1.7820001,-0.71411854,5.2423453,-0.0066178036
15,0.3596154,0.17058031,2.0124726,-0.8305711,5.4283457,0.0016190927
16,0.38523078,0.66767526,1.9541477,-0.74596894,4.929827,0.0070035895
17,0.41084614,0.83596534,2.9076385,-0.822562,6.0611916,0.001488552
18,0.43646154,1.3127153,3.7568831,-0.9840438,6.843575,0.00043539947
19,0.46207693,0.7580219,4.0776243,-1.1178632,6.96983,0.0032876562
20,0.4876923,0.69741607,5.065279,-1.3622864,7.6669607,0.011010362
21,0.5133077,0.7672774,5.310828,-1.6545912,7.593682,0.018673088
22,0.5389231,0.64537585,6.7640753,-3.2038817,8.595766,0.027648704
23,0.5645385,0.68925,8.184848,-2.0495856,8.969065,0.061209098
24,0.5901538,1.0276424,9.47682,-1.1279489,9.323767,0.12318474
25,0.6157692,0.09044528,12.779818,-1.3611989,10.69068,0.20184998
26,0.6413846,-0.14609489,14.131829,-1.2921789,11.021714,0.29072762
27,0.667,0.123704374,13.95256,0.6866534,10.729001,0.38880408
28,0.6926154,2.5246153,15.963949,0.5456971,11.277563,0.65034807
29,0.7182308,0.94103646,18.052332,-0.24477005,11.789348,0.94670963
30,0.7438462,4.4788685,21.649817,1.9740033,12.7423115,1.3226533
31,0.7694615,2.5449104,26.075535,5.074724,13.748388,1.8458108
32,0.7950769,-5.2005625,31.5837,9.292772,15.341842,2.6906803
33,0.8206923,-8.7588625,35.081787,7.809689,16.434431,3.55938
34,0.8463077,-4.519166,35.080463,9.73034,17.178392,4.6574373
35,0.8719231,-5.481266,32.223167,14.746062,18.067013,5.834437
36,0.8975385,-10.037163,31.811865,12.512841,18.98001,7.0563154
37,0.9231538,-9.5356245,22.921768,4.9348006,19.448545,8.661519
38,0.9487692,-4.8933296,37.099953,-3.2381253,22.468752,11.047074
39,0.9743846,-1.1433101,37.240677,-3.233641,25.224459,14.014942
40,1.0,-3.6243649,31.857628,-15.692957,27.70298,16.674316
