index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.001,0.02731852,0.028967129,-0.015901115,0.60954475,0.0004313466
2,0.026615383,0.06025268,0.08118692,0.011076905,0.91593266,0.0072112274
3,0.052230768,0.04197802,0.15373638,0.009043933,1.0527687,0.039311536
4,0.077846155,0.026922923,0.20375824,-0.012318696,1.1527914,0.08461106
5,0.10346154,0.142,0.27090114,-0.09168134,2.2009099,0.1335144
6,0.12907693,0.18973634,0.27289012,-0.17365938,2.42138,0.18492648
7,0.1546923,0.20805477,0.47179124,-0.20687914,3.1689677,0.22313717
8,0.18030769,0.24465947,0.65734076,-0.11142859,3.789081,0.2487904
9,0.20592308,0.4765274,0.6618461,0.033945054,4.183959,0.29716572
10,0.23153846,0.50368124,0.82784617,0.12040656,4.4709063,0.3589381
11,0.25715384,0.64151645,0.73352754,0.1821978,4.1504765,0.4124691
12,0.28276923,0.7596593,1.0543627,0.32595608,4.876797,0.48979455
13,0.30838463,1.1137582,0.813121,0.2956813,4.9303274,0.5895696
14,0.334,1.3043185,1.3123407,0.32692304,5.631085,0.6876317
15,0.3596154,1.1062968,1.7578903,0.41492304,5.951808,0.8997072
16,0.38523078,1.6543187,2.126813,0.5261978,6.9655294,1.0914726
17,0.41084614,1.9890989,2.369879,0.63202196,7.382998,1.1928117
18,0.43646154,2.1914506,3.1848357,0.4730109,8.111598,1.3450133
19,0.46207693,1.6898242,3.3281207,0.5364066,7.705359,1.5120234
20,0.4876923,1.1796263,4.033769,0.6282088,8.117506,1.6803911
21,0.5133077,1.1790109,5.102868,1.0160218,8.842683,1.7587578
22,0.5389231,1.4369779,5.528198,1.2121648,8.907897,1.8353294
23,0.5645385,2.535121,4.926891,3.1029124,8.669553,1.9385197
24,0.5901538,2.700395,4.8151097,1.598945,8.309639,2.1794364
25,0.6157692,3.9243512,4.6921105,0.9981539,8.445729,2.2973936
26,0.6413846,6.4349003,4.3462195,1.7492968,8.864822,2.3766286
27,0.667,7.002483,0.87365913,1.5934176,8.736341,2.5249364
28,0.6926154,7.618957,-0.20685709,1.9090551,8.826425,2.687283
29,0.7182308,7.284737,-2.2377362,-0.4669782,9.048766,2.890773
30,0.7438462,7.6717353,-4.2161207,0.20592305,9.324817,3.2320075
31,0.7694615,5.893812,-0.61845064,-3.1065931,9.267788,3.6212988
32,0.7950769,1.6891208,2.0875492,-5.214681,9.321017,4.0162206
33,0.8206923,6.3185935,4.922682,-5.666901,9.789985,4.236145
34,0.8463077,7.0167356,8.05767,-3.657363,9.8576,4.44174
35,0.8719231,13.132287,9.32444,-7.2927475,10.261894,4.506583
36,0.8975385,15.88179,0.53564835,-6.5970554,11.808375,6.16422
37,0.9231538,17.84911,-1.0664946,-14.340098,12.296337,6.9853525
38,0.9487692,13.877748,4.4071107,-26.460121,12.19115,7.352268
39,0.9743846,16.879824,-1.5296922,-22.968098,13.732399,9.250515
40,1.0,5.510374,-1.4124504,-36.9808,14.29906,9.440703
