index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.001,-0.02747361,-0.030378703,-0.012726151,0.6106257,2.0327289e-07
2,0.026615383,0.00016836822,-0.02462082,-0.033800066,0.044008195,3.174046e-06
3,0.052230768,-0.022273656,-0.0033470765,-0.03366314,-0.3399142,3.7984973e-06
4,0.077846155,-0.07530518,-0.07158926,-0.0149475075,0.13411614,1.4002994e-05
5,0.10346154,-0.055736743,-0.22532606,-0.041789327,0.7538979,1.9885527e-05
6,0.12907693,-0.1642634,-0.30511564,-0.054999985,1.4498686,3.1008476e-05
7,0.1546923,-0.15298936,-0.38318938,-0.15925285,1.641767,3.703254e-05
8,0.18030769,-0.2302842,-0.4269786,-0.11491587,1.6934302,3.8899427e-05
9,0.20592308,-0.25467378,-0.5206947,-0.17876828,1.8644545,4.9672868e-05
10,0.23153846,-0.49421036,-0.37768394,-0.18542111,1.761354,5.882623e-05
11,0.25715384,-0.3267367,-0.62570524,-0.22380002,1.7206572,9.0415735e-05
12,0.28276923,-0.4708421,-0.842263,-0.25708416,2.2188227,0.00011328771
13,0.30838463,-0.66270536,-0.6291154,-0.26905268,1.8005667,0.00012485926
14,0.334,-0.93798935,-0.88426286,-0.39166325,2.4246888,0.00015336744
15,0.3596154,-1.0268104,-1.0527261,-0.28438962,2.391335,0.00018257066
16,0.38523078,-1.4444209,-1.5537051,-0.1397371,3.1036806,0.0002312105
17,0.41084614,-1.7827579,-1.6447052,-0.3362949,3.301789,0.00026318769
18,0.43646154,-2.217242,-2.179979,-0.3427997,3.856154,0.00030969316
19,0.46207693,-3.177969,-2.6903892,-0.586358,4.742547,0.00033552945
20,0.4876923,-3.3998845,-2.9652524,-0.36197913,4.6822753,0.00034685424
21,0.5133077,-3.2833052,-3.0882208,0.10519987,4.236485,0.00043498474
22,0.5389231,-2.4958422,-3.425947,-0.40302128,3.8121266,0.00048709204
23,0.5645385,-3.6549895,-4.5247893,-1.0130842,4.5854697,0.0006074075
24,0.5901538,-5.033232,-4.7350526,-0.4297263,4.736963,0.00065487006
25,0.6157692,-5.7128844,-4.197589,-0.5680949,4.466877,0.0007024329
26,0.6413846,-6.5908113,-4.5247684,-1.2837684,4.565616,0.00069168047
27,0.667,-5.7838945,-5.763947,0.23387372,4.2377543,0.00079895486
28,0.6926154,-5.9768324,-7.844022,-1.6290948,4.575119,0.0008646097
29,0.7182308,-10.242379,-8.36281,-0.31912637,4.9701014,0.0010515006
30,0.7438462,-12.968274,-9.8327055,2.2198002,5.125463,0.0012173562
31,0.7694615,-12.676062,-12.963644,3.1417792,5.1695104,0.0012717352
32,0.7950769,-15.465843,-14.570053,-1.7540109,5.590255,0.0017213989
33,0.8206923,-18.333044,-15.324328,-0.90568423,5.6019535,0.0018257491
34,0.8463077,-19.500273,-18.33525,-0.6855684,5.656731,0.0023135284
35,0.8719231,-26.213045,-29.540852,-4.0916843,6.75538,0.0025048559
36,0.8975385,-37.40999,-27.941936,-4.231,7.017588,0.002687702
37,0.9231538,-41.573112,-34.43481,-5.9844637,7.3394566,0.0039142934
38,0.9487692,-39.57832,-44.317364,-15.428096,7.626847,0.0046386058
39,0.9743846,-47.38178,-53.965122,-27.634098,8.234429,0.005352118
40,1.0,-66.05306,-64.30925,-36.908546,9.047499,0.0070132785
