index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.001,0.0033333944,0.0383797,-0.005899221,0.48282003,0.046033017
2,0.026615383,-0.028837137,0.0006511137,0.030317806,1.9537082,1.5112028
3,0.052230768,0.01688373,-0.06348847,0.04093799,2.3724437,1.9780602
4,0.077846155,-0.037240222,-0.07041875,0.0043177865,2.3736498,2.2163796
5,0.10346154,-0.070899196,-0.0661319,0.012449611,2.5363626,2.573328
6,0.12907693,-0.0050232187,0.0063798428,-0.15653493,2.813485,2.7532573
7,0.1546923,-0.1313565,0.070643455,-0.16135663,2.819232,3.0363731
8,0.18030769,-0.038565822,0.13993023,-0.109124035,3.1676722,3.4063148
9,0.20592308,-0.10311618,-0.008015543,-0.06023258,3.4793322,4.461599
10,0.23153846,-0.13496119,0.029023238,-0.30327907,4.4341955,4.926561
11,0.25715384,-0.16489917,0.10293013,-0.27165896,4.099446,5.049158
12,0.28276923,-0.18986036,0.07802324,0.002852708,4.1556644,5.798179
13,0.30838463,-0.53150386,-0.110953465,-0.19937211,5.026336,6.4798865
14,0.334,-0.34185266,-0.43284506,-0.03265892,5.2731133,6.73467
15,0.3596154,-0.41349608,-0.034992248,0.4177674,5.1877675,6.9519687
16,0.38523078,-0.37047282,-0.040356576,0.82789934,5.844297,7.2203236
17,0.41084614,-0.8292016,-0.019674368,-0.04880619,5.178383,7.3789406
18,0.43646154,-0.2070232,-0.13242635,0.14576744,5.8102646,8.596764
19,0.46207693,-0.02563563,0.35432562,0.6815426,6.55437,9.02015
20,0.4876923,-0.119201496,-0.1162402,1.1520312,6.5635877,9.235188
21,0.5133077,-0.23220922,0.51845723,1.262938,6.81817,9.404696
22,0.5389231,1.0869999,0.7200542,0.16082942,6.4249735,9.606071
23,0.5645385,0.06810081,0.7126123,-0.94806206,6.9817886,10.211618
24,0.5901538,-0.92089915,0.973566,-2.3116593,7.6538315,10.376765
25,0.6157692,-0.9440155,-1.8314338,-0.3916899,7.43121,10.614183
26,0.6413846,-3.8774877,0.10193014,0.05510077,7.548313,10.894746
27,0.667,-3.775016,-0.24446525,-1.4506745,7.493286,10.9795265
28,0.6926154,-2.8651314,0.3331085,-1.923992,7.2092004,10.969923
29,0.7182308,-3.0344417,-2.3676822,-3.474674,7.6915236,11.164589
30,0.7438462,-5.1461153,-0.6495738,0.608341,7.3736343,11.670134
31,0.7694615,-5.3708763,-3.8998919,0.06076747,7.83315,12.017549
32,0.7950769,-8.529922,-7.127155,-3.8615732,8.14323,12.08242
33,0.8206923,-1.3125658,-1.2301474,-8.436767,7.370438,12.0962
34,0.8463077,3.8358603,2.7089996,-10.410064,7.407919,12.207912
35,0.8719231,3.5988832,6.7029476,-0.6947832,6.9152136,12.700876
36,0.8975385,-6.030604,1.8229299,-9.99851,7.9212813,13.440671
37,0.9231538,4.4770465,-5.7076116,-3.9299536,7.7114134,13.568305
38,0.9487692,-0.6206589,1.9181242,-6.0516906,7.1799307,13.622095
39,0.9743846,11.341604,16.12045,3.100472,8.325369,14.331541
40,1.0,2.4810467,16.813929,11.890147,9.140139,15.159806
