index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.001,0.03408001,-0.02468799,0.008416016,0.61148965,3.217779e-05
2,0.026615383,0.07905603,-0.13535199,-0.013087958,1.5567081,0.00078977767
3,0.052230768,0.17911203,-0.20112796,-0.070256054,2.5323205,0.0015429419
4,0.077846155,0.22716004,-0.21008797,-0.0132559575,2.7979953,0.0025370403
5,0.10346154,0.34221607,-0.27150398,-0.028624017,3.6169972,0.0039516813
6,0.12907693,0.34121606,-0.30579203,-0.075847894,3.3048165,0.0062611024
7,0.1546923,0.44056803,-0.31384796,0.024855822,3.6839547,0.008370872
8,0.18030769,0.544816,-0.41408804,-0.08808811,4.0845704,0.009456525
9,0.20592308,0.578024,-0.29839197,-0.07644784,3.5139723,0.012267313
10,0.23153846,0.678856,-0.27290395,-0.045592222,3.4713557,0.016097456
11,0.25715384,0.9941679,-0.12856802,0.007544037,3.787892,0.02057358
12,0.28276923,1.0993121,-0.19972797,0.23091185,3.9977593,0.02302814
13,0.30838463,1.288968,-0.12928802,0.28338382,4.006738,0.026397083
14,0.334,1.2762161,-0.29613605,-0.13412032,3.7256057,0.03258102
15,0.3596154,1.686856,-0.507096,-0.072728254,4.370944,0.043088973
16,0.38523078,1.94908,-0.80958396,0.038687736,4.7601295,0.052972406
17,0.41084614,2.1786642,-0.87055993,0.2182558,4.8150573,0.060591053
18,0.43646154,1.893472,-1.0831519,0.19227171,4.3510084,0.06746516
19,0.46207693,2.1301682,-1.1532881,0.13702367,4.2812266,0.0764715
20,0.4876923,2.7215602,-0.71813595,-0.33762413,3.962247,0.08025823
21,0.5133077,3.6658163,-1.1170081,-0.6044398,4.3694315,0.07035594
22,0.5389231,4.4194555,-2.399592,0.49649566,5.336449,0.02241721
23,0.5645385,5.169344,-2.2248478,1.0657198,5.245718,-0.036444876
24,0.5901538,5.5389686,-2.4456797,1.8017998,5.378521,-0.022701778
25,0.6157692,6.0236173,-4.1167526,2.666416,5.909882,0.010053281
26,0.6413846,5.33256,-2.6075041,3.3083756,5.4467144,0.12275964
27,0.667,6.644215,-4.0217037,3.3527036,5.72282,0.22874379
28,0.6926154,7.3867207,-6.8981924,5.220168,6.329265,0.36435086
29,0.7182308,9.639855,-10.498615,2.990408,6.503269,0.33024883
30,0.7438462,10.291616,-12.57417,4.392416,6.614089,0.33832464
31,0.7694615,15.400062,-14.8495035,3.0276318,7.272614,0.3268934
32,0.7950769,20.113426,-18.380848,0.91048,7.9762545,0.34364527
33,0.8206923,24.694965,-17.833847,-1.2492561,8.221881,0.38659498
34,0.8463077,29.707699,-19.893593,-2.6651523,8.537771,0.35239106
35,0.8719231,24.822277,-29.31738,2.2554162,8.638593,0.28941083
36,0.8975385,24.314335,-31.930984,4.0308475,8.42355,0.20350365
37,0.9231538,27.68165,-32.069927,11.421359,8.08632,0.10947026
38,0.9487692,37.280746,-18.297136,14.203743,7.1220245,-0.021995008
39,0.9743846,39.33358,-30.707523,11.429855,7.468125,-0.06023477
40,1.0,33.372032,-39.597984,14.294744,7.4016805,-0.023169711
