index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.001,-0.0057636993,0.011639871,0.04075802,0.6083969,6.925794e-08
2,0.026615383,-0.016490605,0.024515554,0.037584104,0.29113394,2.2891268e-07
3,0.052230768,-0.042881984,0.039993916,0.09197548,0.6796496,7.47538e-06
4,0.077846155,-0.037720367,0.11249702,0.16668938,1.3009611,9.920483e-06
5,0.10346154,0.02387593,0.097677045,0.25354022,1.5985858,1.4008838e-05
6,0.12907693,0.013018684,0.1731926,0.32129177,1.9390554,1.8741219e-05
7,0.1546923,0.04903746,0.24375783,0.3915464,2.1471248,1.2888487e-05
8,0.18030769,0.09357777,0.1998573,0.62827945,3.0335631,1.2077164e-05
9,0.20592308,0.050087307,0.21058393,0.7471183,3.3127663,3.1381736e-05
10,0.23153846,0.09941027,0.11744726,0.9555594,3.702945,4.6320474e-05
11,0.25715384,0.018130384,0.26324224,1.0021054,3.7218416,5.57375e-05
12,0.28276923,-0.025894118,0.3904783,1.2309197,4.2297792,7.208574e-05
13,0.30838463,-0.103459425,0.62051564,1.4094661,4.577885,6.52508e-05
14,0.334,-0.20952173,0.6748572,1.602764,4.7584376,7.0708054e-05
15,0.3596154,0.012714341,0.61300004,2.3734658,5.8656673,8.1830935e-05
16,0.38523078,0.10473299,0.6711244,2.6458201,6.008159,0.00010371637
17,0.41084614,0.20734166,1.4921554,3.2487953,6.892826,0.0001350398
18,0.43646154,-0.040838286,1.4289814,3.1614661,6.4774175,0.00012255042
19,0.46207693,0.4757704,1.9090126,3.7092547,6.8221493,0.00012540302
20,0.4876923,0.2540248,2.5456707,3.6917148,6.678303,0.00022297565
21,0.5133077,0.18554038,2.6511803,4.161615,6.767028,0.00023477126
22,0.5389231,0.6162546,3.4751306,5.3884163,7.438403,0.0003119654
23,0.5645385,0.036646307,4.010882,6.036733,7.6525083,0.00030311506
24,0.5901538,-0.7404967,3.7927265,7.231348,7.9846087,0.0004138655
25,0.6157692,-1.852534,4.685528,9.253757,8.764693,0.0005771819
26,0.6413846,-4.6551924,5.6170874,11.643045,9.626882,0.0006026642
27,0.667,-5.260074,6.424205,14.890386,10.490759,0.0007247889
28,0.6926154,-4.877218,6.4466453,15.358074,10.315273,0.0007919765
29,0.7182308,-4.5150933,5.5338817,20.171377,11.106034,0.00093031203
30,0.7438462,-5.8798137,7.4490128,23.073963,11.571038,0.0008742399
31,0.7694615,-5.1049995,7.5580306,26.42372,11.867396,0.0007716168
32,0.7950769,-6.394018,7.4889684,31.69027,12.41561,0.0007518533
33,0.8206923,-11.3117,7.9161057,36.461853,12.873361,0.00083771884
34,0.8463077,-17.692379,11.559795,43.126724,13.577057,0.0015132743
35,0.8719231,-17.6675,15.83421,51.143696,14.209475,0.0018101665
36,0.8975385,-20.898174,15.27511,51.946125,14.010823,0.0022373945
37,0.9231538,-18.83465,18.65655,59.302933,14.320906,0.0027934057
38,0.9487692,-12.131808,32.29671,73.1371,15.113466,0.0030701272
39,0.9743846,-20.597094,45.400406,80.66029,15.516388,0.0030865893
40,1.0,-13.254235,54.252403,98.654724,16.155277,0.0034784188
