index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.001,0.013999998,0.040058523,0.0062658247,0.610933,-1.085694e-08
2,0.026615383,0.045294657,0.11067701,0.0039661885,1.343147,1.1175457e-06
3,0.052230768,0.07381645,0.17065725,0.024898566,1.8435457,2.3386553e-07
4,0.077846155,0.126087,0.23057033,0.07383574,2.3540838,-1.0513405e-06
5,0.10346154,0.10081641,0.31444466,0.02829948,2.587493,-3.2115572e-06
6,0.12907693,0.14459905,0.4280587,0.0378985,3.2166085,-3.6791944e-06
7,0.1546923,0.13508697,0.4744158,0.012227165,3.1115146,-1.2075802e-06
8,0.18030769,0.15316425,0.5195416,-0.111217335,2.940985,1.3178396e-06
9,0.20592308,0.15711112,0.7033728,-0.069207706,3.511356,3.0605702e-07
10,0.23153846,0.14605796,0.93452233,-0.17466167,4.0363894,4.13382e-07
11,0.25715384,0.33667147,1.0295079,-0.23861834,4.2323265,-2.8678717e-06
12,0.28276923,0.3436956,1.0619186,-0.32302907,3.9526963,-1.35293785e-05
13,0.30838463,0.20831399,1.0360055,-0.34414983,3.3989625,-2.6300078e-05
14,0.334,0.12448311,1.4102663,-0.27287444,3.873115,-3.3111843e-05
15,0.3596154,0.20377779,1.9422271,-0.62024146,4.5305004,-5.0210343e-05
16,0.38523078,0.43453142,2.319904,-0.0793913,5.110836,-6.7851084e-05
17,0.41084614,0.4653671,3.019658,0.010212541,5.830832,-7.810512e-05
18,0.43646154,-0.049903363,3.2057784,-0.19448793,5.4713283,-0.00010166768
19,0.46207693,-0.12235746,3.2809234,-0.25930426,5.1851687,-0.000100004196
20,0.4876923,-0.086405784,4.027841,-0.4227247,5.5426407,-0.00012487585
21,0.5133077,-0.028845392,4.4864793,-0.8417342,5.5445166,-0.00012068812
22,0.5389231,0.48280194,5.2386527,-1.2207344,5.823642,-0.00014731038
23,0.5645385,0.80277777,6.00186,-1.3117874,6.0126715,-0.00016593798
24,0.5901538,2.6422415,6.6331363,-0.28287923,6.4300566,-0.00016000432
25,0.6157692,3.1836712,5.649924,0.05248308,5.786387,-0.0002268028
26,0.6413846,3.925681,6.9434843,-0.8311161,6.0119867,-0.00021335317
27,0.667,6.753241,7.579899,-0.5777438,6.246036,-0.0003080687
28,0.6926154,5.754111,11.164261,0.17781645,6.8724613,-0.00025692457
29,0.7182308,6.939358,15.531585,-2.9352465,7.5957456,-0.00027054083
30,0.7438462,4.7574835,17.89517,-2.71229,7.6410074,-0.000285086
31,0.7694615,4.8297734,20.849606,-3.1046715,7.8653708,-0.00033405743
32,0.7950769,5.4740963,23.488464,0.89062786,8.105018,-0.00051099196
33,0.8206923,4.5394015,30.20778,7.3227916,8.780833,-0.00055414636
34,0.8463077,9.967218,28.118504,10.4767685,8.529163,-0.0006346536
35,0.8719231,11.436691,37.615505,15.9376955,9.302302,-0.00094705645
36,0.8975385,17.596798,40.08299,2.5876074,9.224559,-0.0012007228
37,0.9231538,22.079638,39.650814,6.7267876,9.056569,-0.0015587726
38,0.9487692,27.05557,46.191463,-3.1316185,9.193661,-0.0016664756
39,0.9743846,34.177692,65.368744,-5.259247,10.057484,-0.0016069905
40,1.0,16.79181,77.25329,13.839897,10.185097,-0.0016798397
