index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.001,-0.024719909,0.015000029,-0.031706657,0.60709107,0.00037416653
2,0.026615383,-0.070399955,0.04076001,0.030613426,0.38957888,0.034859493
3,0.052230768,-0.11554659,0.027106632,-0.008600036,0.6027073,0.15478429
4,0.077846155,-0.16937335,0.0054933894,-0.0792667,1.2129958,0.22597729
5,0.10346154,-0.13133337,0.11261344,-0.07115998,0.8509159,0.24237776
6,0.12907693,-0.18562664,0.010746688,0.07165321,0.63807,0.37719858
7,0.1546923,-0.3451066,-0.0681867,0.1150666,1.6541595,0.5443977
8,0.18030769,-0.39754665,-0.15877333,0.2736134,2.1539667,0.6336801
9,0.20592308,-0.53962666,-0.14935994,0.13450676,2.131838,0.7010392
10,0.23153846,-0.61728,-0.09409329,0.103946686,1.9616826,0.7870473
11,0.25715384,-0.7136267,0.016946644,0.0010666847,2.1586583,1.0392786
12,0.28276923,-0.78527987,0.1473467,0.3912668,1.8780603,1.2501025
13,0.30838463,-0.6767733,0.47332,0.23706666,1.0063238,1.501986
14,0.334,-0.69662666,0.48077342,0.041546643,1.3837695,1.7788564
15,0.3596154,-0.4255066,0.45677343,-0.27389336,1.6454804,1.8376259
16,0.38523078,-0.4668133,0.19581333,-0.42777333,1.3108231,1.8560363
17,0.41084614,-0.07627991,0.30534667,0.5270667,0.9480117,2.4471207
18,0.43646154,-0.05079999,0.46299997,-0.29399997,0.9053215,2.7254355
19,0.46207693,-1.0437733,-0.18627998,0.21138671,1.3081433,3.1148853
20,0.4876923,-0.87170655,1.4774667,0.93834674,2.6782255,5.631113
21,0.5133077,-1.26932,1.46916,1.7618002,3.38663,6.152031
22,0.5389231,-1.1476133,1.2883201,0.5266534,3.5950348,7.295494
23,0.5645385,-1.0605466,0.3285867,0.8120667,4.658806,8.373567
24,0.5901538,-1.1097066,1.8462936,1.1487201,5.8314238,9.675531
25,0.6157692,-1.63404,0.7542933,0.4541601,7.432892,11.641812
26,0.6413846,-2.3585467,-1.1186533,0.09280005,8.11862,11.96916
27,0.667,-0.283,1.7515998,1.07836,9.429883,13.653597
28,0.6926154,-0.2745466,2.0098135,0.47153342,9.828286,14.221012
29,0.7182308,-0.8591467,3.2928128,-1.5803865,9.954661,14.19635
30,0.7438462,-0.44766665,-1.6166,-0.82328,9.089445,14.230923
31,0.7694615,0.8834536,2.1952531,0.34345347,10.072604,15.467542
32,0.7950769,-4.615546,0.6728134,-2.1098137,10.429209,15.885413
33,0.8206923,0.40546608,5.4061856,-2.8573601,10.499925,15.867277
34,0.8463077,0.24406666,8.152586,-3.2973735,10.9672985,16.466738
35,0.8719231,1.9997202,9.037587,-11.526493,12.211906,17.4235
36,0.8975385,9.99124,6.9230003,-17.612495,13.067664,18.04078
37,0.9231538,11.667373,-7.684786,-22.091375,14.0928545,18.78272
38,0.9487692,23.006214,1.4597464,-27.350977,13.974974,18.83565
39,0.9743846,21.202974,4.4301205,-32.33161,13.814004,18.736845
40,1.0,35.600723,11.192905,-20.364374,11.659841,17.276186
