index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.001,0.03895337,-0.017971994,0.0014766711,0.6131955,0.0020688083
2,0.026615383,0.090037405,-0.0029999986,0.017280396,0.93016016,0.07093711
3,0.052230768,0.12470091,-0.0063738376,-0.008906547,0.96986806,0.15653186
4,0.077846155,0.23714948,-0.054046743,-0.06243929,2.0136933,0.23921159
5,0.10346154,0.22883181,-0.02992525,0.038616795,1.5392554,0.33496314
6,0.12907693,0.306757,-0.05307477,-0.012934543,1.8820482,0.45359948
7,0.1546923,0.43984118,-0.019990653,0.09174768,2.6248713,0.5505522
8,0.18030769,0.5474955,-0.10110283,0.15168215,3.0955324,0.6046104
9,0.20592308,0.43537387,-0.2919907,0.11154207,2.8635056,0.74914193
10,0.23153846,0.38949534,-0.49916825,0.29671964,3.528792,0.9780425
11,0.25715384,0.4964768,-0.5165047,0.3255513,3.776975,1.222902
12,0.28276923,0.8546076,-0.78278506,0.28516823,4.7926908,1.4551351
13,0.30838463,0.58357954,-1.1110187,0.6160281,5.810073,1.680159
14,0.334,0.72221494,-1.1705047,0.9641962,6.302871,1.7794962
15,0.3596154,0.8351683,-1.3651216,1.0449533,6.4280405,1.9298975
16,0.38523078,0.8982151,-1.7491215,0.8366915,6.209375,1.9705634
17,0.41084614,1.3703084,-2.0641868,0.92400926,6.6863647,2.3102825
18,0.43646154,1.8128691,-1.9525886,1.6926823,7.6527853,2.603918
19,0.46207693,2.5075326,-2.7324207,1.1195701,7.646823,2.8875322
20,0.4876923,2.0536356,-3.4345515,1.2711308,7.874678,2.837933
21,0.5133077,2.8653176,-4.189878,0.22373831,8.646231,2.8052166
22,0.5389231,3.0004392,-4.2918224,0.3773925,8.430745,2.8631933
23,0.5645385,0.5872524,-2.636963,1.2157851,6.86121,2.9498153
24,0.5901538,1.5640466,-3.1458223,2.5898037,7.33182,3.0702245
25,0.6157692,1.9879347,-6.177926,1.5283833,7.258717,3.2108538
26,0.6413846,3.2590003,-6.122954,0.9908038,7.4991965,3.3995657
27,0.667,0.97875714,-7.1272616,2.0154765,7.6886177,3.778736
28,0.6926154,2.075,-6.456673,1.2564952,7.652984,4.3519034
29,0.7182308,2.0541122,-7.0177007,2.7876263,8.193151,4.9291196
30,0.7438462,0.987056,-9.444767,0.7435422,8.426988,5.112578
31,0.7694615,-1.0570092,-8.707375,2.2899535,8.401863,5.230501
32,0.7950769,1.3831215,-12.15458,8.322159,9.208707,5.3894477
33,0.8206923,2.1882803,-8.438365,0.114551544,8.275465,5.6012645
34,0.8463077,2.1704955,-7.615074,-0.06667289,8.011599,5.6434884
35,0.8719231,4.4778037,1.0322056,-4.3248224,8.611117,6.262751
36,0.8975385,-7.61142,3.387047,-2.6507292,8.671536,6.501631
37,0.9231538,-18.48542,9.60141,-10.899448,10.051912,7.058713
38,0.9487692,-13.756561,17.02204,-17.831457,10.684517,7.4571605
39,0.9743846,-19.53613,23.29918,-19.717806,11.049946,7.67406
40,1.0,-38.24797,24.067078,-28.776253,11.896727,8.008768
