index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.001,0.028781235,-0.003343746,0.031484358,0.49120182,0.01327467
2,0.026615383,-0.033921868,0.006937444,-0.057765625,0.5551204,0.34737334
3,0.052230768,-0.095890716,-0.02665636,-0.03064061,0.8444991,0.5250863
4,0.077846155,-0.08192194,-0.025500111,0.12309375,0.8190273,0.84676826
5,0.10346154,0.0036875233,0.009359233,0.09500002,0.635031,1.1019877
6,0.12907693,0.06243749,-0.013187595,-0.010484375,0.19854757,1.3802061
7,0.1546923,0.07807805,0.077703126,-0.15585938,0.586002,2.107171
8,0.18030769,0.20443751,0.023812495,-0.18190624,1.1696042,2.5541468
9,0.20592308,0.08524993,-0.0038281977,-0.19093749,0.9884074,3.080618
10,0.23153846,0.23609379,0.06178113,-0.150875,1.592353,3.537435
11,0.25715384,0.19020307,0.13901559,-0.20670313,1.3784168,3.859257
12,0.28276923,0.22640623,-0.043093756,-0.029,1.8206146,4.2978106
13,0.30838463,0.348,0.36182797,0.28653127,2.748421,4.490957
14,0.334,-0.020296872,0.20901555,0.3019063,1.9293185,4.6592145
15,0.3596154,-0.14700001,-0.051906258,-0.14854687,2.1028178,5.514498
16,0.38523078,0.2629531,0.40660933,-0.2165469,2.6320212,6.036955
17,0.41084614,0.7656875,0.26829684,-0.3473438,3.3344223,6.5679073
18,0.43646154,0.6070782,-0.07190639,-0.07275,3.245342,7.0433683
19,0.46207693,1.2569531,0.0064219534,0.1725,3.9301658,7.2945232
20,0.4876923,1.211953,-0.37464073,-0.50996876,3.7983363,7.731059
21,0.5133077,1.227625,0.09378132,0.14090621,4.113866,8.238034
22,0.5389231,-0.30720317,0.7634376,-0.7335,4.1516657,9.007229
23,0.5645385,-0.49832815,-0.3122188,-0.7733281,4.674942,9.624719
24,0.5901538,-0.44200003,0.50392175,0.32339066,4.9764013,10.589325
25,0.6157692,0.14120305,-0.36712515,-0.18743753,8.48538,14.616537
26,0.6413846,1.5414375,0.73660934,0.651,9.467654,15.400858
27,0.667,2.6450782,0.25370312,2.8880315,9.869595,15.303096
28,0.6926154,6.833172,-0.28839052,-0.09787512,9.303556,15.335926
29,0.7182308,8.669531,-2.8356872,3.0364685,9.983458,15.373047
30,0.7438462,8.422406,-1.0066407,4.6796875,9.7889805,15.2239485
31,0.7694615,10.275703,-1.2483438,9.417984,10.332831,15.1161585
32,0.7950769,10.831312,-5.2239056,12.855313,10.550445,15.013688
33,0.8206923,11.677812,-2.4801717,16.992235,10.667978,14.977985
34,0.8463077,9.653984,-5.0040464,24.286173,11.020059,14.991579
35,0.8719231,2.3194065,-10.361391,25.446903,10.847252,15.09774
36,0.8975385,3.9872808,-12.213077,33.70458,11.447203,15.287621
37,0.9231538,-6.6910477,-8.657295,29.811035,11.206116,15.408172
38,0.9487692,-11.840797,-8.071047,39.784107,11.738563,15.474628
39,0.9743846,-18.004204,-17.380905,44.31955,11.84562,15.354692
40,1.0,-22.287388,-5.3238745,51.145622,11.728871,15.206043
