index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.001,-0.023740694,0.035314843,0.004166616,0.48998237,0.010624249
2,0.026615383,0.047981516,0.015796378,-0.0076480303,0.85299814,0.29925856
3,0.052230768,-0.008648116,-0.030370235,-0.058259364,1.6783357,0.72716045
4,0.077846155,0.028240781,0.02851864,-0.03270354,1.1678356,1.1726761
5,0.10346154,-0.01953697,0.11118526,0.0069630295,1.8998913,1.773143
6,0.12907693,0.032240793,0.014889032,-0.061796203,1.837858,2.358559
7,0.1546923,0.0675371,0.13416675,-0.019110985,2.2981036,2.9474325
8,0.18030769,0.049222264,-0.03211111,-0.037574127,2.4162617,3.348481
9,0.20592308,0.07542599,0.10696294,-0.17757402,2.7231057,3.8093712
10,0.23153846,-0.05624067,-0.018111125,-0.244111,2.9096594,4.3633723
11,0.25715384,-0.1109074,0.15566655,-0.18140729,3.4484766,4.7342205
12,0.28276923,-0.24324071,0.0974816,-0.13822211,3.9184241,5.3413944
13,0.30838463,-0.34061107,0.33162972,-0.16848151,5.734329,6.9700146
14,0.334,-0.023833305,0.18581492,-0.67448145,6.043968,7.3710494
15,0.3596154,0.5186112,-0.0128887445,-0.3228889,6.7727346,8.103674
16,0.38523078,0.99396294,-0.00025918707,-0.6837963,7.3105373,9.289317
17,0.41084614,0.9469075,-0.3083332,-0.49240735,8.424194,10.557957
18,0.43646154,0.79838896,0.25677785,-0.41788885,10.0048065,12.218407
19,0.46207693,0.76879627,-0.22790724,0.18248156,11.009833,13.169343
20,0.4876923,0.5408149,-0.10294427,-0.7864075,11.307107,14.25251
21,0.5133077,-0.29490745,-0.74611115,0.18520355,11.833413,15.048364
22,0.5389231,-0.3556666,0.2033149,0.6930556,13.031301,16.425041
23,0.5645385,-0.9814999,-0.6421112,1.3515184,14.094195,17.148846
24,0.5901538,0.061351895,-0.4221851,0.85590756,13.82518,17.728941
25,0.6157692,1.648352,0.44188902,-0.23553693,14.709703,19.081745
26,0.6413846,0.29761112,0.67148155,-1.3857778,15.148307,19.657373
27,0.667,0.3942778,-1.8749814,-1.7300926,16.36335,20.898094
28,0.6926154,-0.31566656,0.5106667,-0.17325914,17.512886,22.890553
29,0.7182308,-1.481463,-1.3193334,1.1407593,19.984737,25.186693
30,0.7438462,0.01542604,-1.4733332,0.03325939,20.802956,26.426847
31,0.7694615,1.216537,1.4487406,-1.0310926,22.899372,28.834124
32,0.7950769,-1.5259075,-3.1774807,-0.3984815,25.212738,31.239159
33,0.8206923,-0.12890732,-0.98468494,-5.6819816,26.63884,33.050713
34,0.8463077,-3.3100002,-7.8395176,-5.340852,29.231613,35.463436
35,0.8719231,-7.253592,-1.3346853,-2.0875735,30.834322,37.479183
36,0.8975385,-4.972462,-5.507556,7.133518,31.45352,37.85826
37,0.9231538,-7.8404994,6.3118887,-1.7075744,31.875402,38.439533
38,0.9487692,-11.385668,-4.877982,-2.285,32.782536,39.644413
39,0.9743846,-13.295537,-9.627888,-2.0444815,33.847954,40.737766
40,1.0,-6.90561,5.7148895,-15.637537,35.14001,42.114567
