index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.001,-0.036907062,-0.015489429,0.015517892,0.6114241,-7.7155455e-08
2,0.026615383,-0.031779673,-0.041602816,0.03483697,0.43193227,-3.555641e-06
3,0.052230768,-0.07567369,-0.07939699,0.024226982,0.6633899,-4.8066004e-06
4,0.077846155,-0.20158848,-0.08907061,0.00015609153,1.4318556,-1.7345983e-06
5,0.10346154,-0.263553,-0.14008518,0.081539005,2.019332,-6.9790785e-06
6,0.12907693,-0.36941805,-0.16938995,0.15908512,2.7134376,-1.6927279e-05
7,0.1546923,-0.47365937,-0.35643262,0.15835458,3.441236,-2.0198811e-05
8,0.18030769,-0.6073472,-0.46034047,0.18307811,4.05058,-2.102722e-05
9,0.20592308,-0.806277,-0.33097157,0.23761722,4.4527917,-3.401162e-05
10,0.23153846,-0.8859288,-0.4000495,0.15412773,4.387244,-4.8793852e-05
11,0.25715384,-1.08734,-0.40909904,0.3511844,4.9896016,-5.5397857e-05
12,0.28276923,-1.4264251,-0.41061005,0.32282272,5.579533,-8.077782e-05
13,0.30838463,-1.6559788,-0.5306381,0.2667802,5.8617797,-9.456131e-05
14,0.334,-1.7806809,-0.72850335,0.3400426,6.0179415,-0.00011602498
15,0.3596154,-2.1487017,-0.5919079,0.17573768,6.123956,-0.00013353818
16,0.38523078,-2.2867866,-0.5404042,0.16575174,5.969083,-0.00014276206
17,0.41084614,-2.6769357,-0.942865,0.81978023,6.7473807,-0.00016590506
18,0.43646154,-2.9170067,-1.1802268,0.97429806,6.88313,-0.00019517698
19,0.46207693,-3.4051063,-1.9646381,1.3416172,7.514989,-0.0002058501
20,0.4876923,-3.9994252,-1.6471419,1.6443686,7.696811,-0.00025032257
21,0.5133077,-5.0393047,-1.3944181,1.687993,8.082213,-0.0002459812
22,0.5389231,-4.895305,-1.7230002,2.68744,8.010699,-0.0002628867
23,0.5645385,-5.1482835,-1.4803545,2.8064256,7.7908626,-0.00031902385
24,0.5901538,-5.895347,-1.6058156,4.5604186,8.199376,-0.00036993923
25,0.6157692,-8.288908,-1.158638,5.39334,8.928362,-0.00042552938
26,0.6413846,-11.6959,0.72682977,7.6813755,9.869892,-0.0004828339
27,0.667,-12.960303,-1.2423973,8.293311,10.258228,-0.0006734396
28,0.6926154,-13.911695,-0.89946073,10.615609,10.416891,-0.00070011336
29,0.7182308,-16.67579,-3.3678722,12.204347,11.092333,-0.0008393519
30,0.7438462,-19.680815,-6.9959006,14.566689,11.8277445,-0.0009826352
31,0.7694615,-19.435612,-6.0870852,14.208163,11.422398,-0.0010038
32,0.7950769,-26.953415,-3.7652907,17.786842,12.260005,-0.0010411054
33,0.8206923,-30.554785,3.5722194,22.416306,12.28322,-0.0011981721
34,0.8463077,-38.606346,3.3828866,25.507793,12.97797,-0.0014471355
35,0.8719231,-43.82774,4.7999225,29.47088,13.259127,-0.001792767
36,0.8975385,-54.29013,5.7047167,36.947758,14.009474,-0.0022837417
37,0.9231538,-59.18282,14.461014,35.447033,13.758195,-0.0028149402
38,0.9487692,-52.4066,16.135952,36.642258,13.058158,-0.0035906888
39,0.9743846,-63.81392,14.398611,45.524662,13.56224,-0.0048337365
40,1.0,-71.973465,2.8076458,46.711,13.855882,-0.0046593193
