index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.001,-0.0097915735,0.036466666,-0.019766646,0.6070912,0.00426561
2,0.026615383,0.021341827,0.095758334,-0.041674986,1.1647394,0.12878723
3,0.052230768,0.03037514,0.10524169,-0.09220001,1.239716,0.27598685
4,0.077846155,0.05041686,0.14304174,0.007641688,1.2478901,0.46669242
5,0.10346154,0.038358435,0.20041662,-0.004783333,1.6551179,0.7077386
6,0.12907693,0.12162512,0.27865833,0.021958336,2.310507,0.92532897
7,0.1546923,0.019358344,0.3306417,-0.013216643,2.2590005,1.1760597
8,0.18030769,0.07665011,0.43013337,-0.01819998,2.699224,1.371923
9,0.20592308,-0.06889987,0.5348334,-0.08788332,3.080084,1.5421453
10,0.23153846,-0.23074165,0.5399249,-0.06818331,3.2589068,1.6222277
11,0.25715384,0.05880834,0.52805007,0.26196665,2.7250443,1.8456182
12,0.28276923,0.27643335,0.7434501,0.29092503,3.3527656,1.9207006
13,0.30838463,0.05535838,1.0698,0.11123335,3.3227243,2.218268
14,0.334,0.15267502,1.2486666,-0.19249162,3.8876185,2.7286189
15,0.3596154,0.5599501,1.1538751,-0.020524949,4.358701,3.045825
16,0.38523078,-0.11720812,1.2443832,-0.294775,4.099739,3.4119282
17,0.41084614,-0.04674156,1.5983332,-0.40529168,4.47278,3.658843
18,0.43646154,0.51359993,1.003875,0.023158371,4.2282305,4.2060766
19,0.46207693,-0.0369249,2.3790503,0.4516917,5.3372107,4.6366653
20,0.4876923,0.41003338,2.8888834,0.6043584,6.073232,5.1873693
21,0.5133077,0.028725177,2.6049666,0.018708348,6.018826,5.7698836
22,0.5389231,1.2386835,2.1265166,0.6594167,6.439906,6.0596313
23,0.5645385,-0.8274499,2.5834582,0.45080006,6.3038225,6.3685703
24,0.5901538,-1.3423666,2.675058,1.16195,5.893137,6.0978017
25,0.6157692,0.07682502,4.0136666,3.9662247,6.761979,6.291988
26,0.6413846,1.3491585,6.5379014,5.2690835,7.549687,6.32518
27,0.667,-0.36573315,6.4941344,6.6514,7.235322,6.3590775
28,0.6926154,-1.8036582,9.870817,7.7260156,7.364897,6.404106
29,0.7182308,-0.07445812,4.9219418,8.0522175,6.936739,6.45041
30,0.7438462,-2.0327332,7.4457746,8.812993,6.769897,6.5172153
31,0.7694615,-6.212741,4.3029337,9.7217,6.828071,6.819869
32,0.7950769,-1.1194496,8.389109,8.85856,7.2871833,7.3269086
33,0.8206923,4.009434,11.422901,8.888493,7.682443,7.38196
34,0.8463077,-3.0886416,1.1868763,5.375292,6.3798695,7.368141
35,0.8719231,-10.834801,-4.238958,7.483226,6.942917,7.2519827
36,0.8975385,-1.486867,6.534207,10.072233,6.305278,7.761338
37,0.9231538,-7.744468,3.114183,6.688217,6.932518,8.699975
38,0.9487692,-16.554583,-6.171333,3.8633914,8.5677395,9.976008
39,0.9743846,-18.367094,-7.331018,6.889175,10.970243,12.550556
40,1.0,-14.544094,-6.3549585,-3.011292,12.555538,14.459173
