index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.001,0.0006782465,0.024478216,-0.034852237,0.6086292,0.016250672
2,0.026615383,0.010182597,0.0242956,-0.0996173,1.284323,0.20156567
3,0.052230768,-0.02033041,0.01725209,0.04910429,0.47488874,0.7578265
4,0.077846155,-0.042165242,-0.07193918,-0.043660816,1.3272245,1.9051783
5,0.10346154,-0.02758258,-0.01538261,-0.061600063,1.4860522,2.227288
6,0.12907693,-0.097,-0.0047043366,0.010339092,2.0263057,3.0449762
7,0.1546923,-0.01709564,0.06705216,0.07855663,2.5627635,3.727954
8,0.18030769,0.049973935,-0.13393041,0.24155658,3.6939397,4.395912
9,0.20592308,0.12765214,-0.0642174,0.2321305,3.7720752,4.9014683
10,0.23153846,0.051339105,-0.13476525,0.15633911,4.0439205,5.75165
11,0.25715384,0.2522695,-0.08152175,0.11523486,5.650043,7.1917043
12,0.28276923,0.5337652,0.08822608,0.08204357,7.0987854,7.9885054
13,0.30838463,0.27358258,-0.38655645,0.23735645,7.5994954,8.919131
14,0.334,0.27963474,-0.23406094,-0.08179131,8.451712,10.224056
15,0.3596154,0.52813035,0.16113912,0.5638434,10.007278,11.204706
16,0.38523078,0.83764344,-0.033739194,0.43885207,10.158882,11.689435
17,0.41084614,0.47414783,-0.043156575,0.028486907,9.877857,12.452953
18,0.43646154,0.39946958,0.098356485,0.37844342,10.9724,13.856406
19,0.46207693,0.5700348,-0.016043484,0.35127828,11.653806,14.810292
20,0.4876923,0.42706087,-0.39588696,-0.42322615,12.578062,15.90946
21,0.5133077,-0.113260835,-1.3596871,-0.53706944,13.277841,16.341148
22,0.5389231,0.409626,0.34378242,0.061721742,13.260427,17.49398
23,0.5645385,0.6034087,-0.5765566,0.121808805,15.457155,19.888971
24,0.5901538,3.0471659,-0.8612609,0.3661566,16.95243,20.50196
25,0.6157692,1.1046,-2.1142175,1.2564262,16.649954,20.876842
26,0.6413846,2.5775826,-1.7159305,0.5117219,17.050705,21.408598
27,0.667,1.1727653,-1.4156436,-0.66752166,16.857897,21.484444
28,0.6926154,1.8574868,-4.7714434,-0.5149303,17.398438,21.655428
29,0.7182308,-2.5530348,-4.4814606,-2.5478,17.587004,21.670801
30,0.7438462,-1.4787217,-4.3774347,-6.185661,17.955542,21.797699
31,0.7694615,3.2369738,-3.351409,-7.5001564,18.22728,22.132574
32,0.7950769,4.2317653,-1.5203393,-3.4179735,17.75263,22.513597
33,0.8206923,3.7986264,-2.3465567,-7.168956,18.403923,23.030855
34,0.8463077,1.0430956,-11.431521,-8.090121,19.504402,23.920515
35,0.8719231,-1.2103826,-10.16753,-16.552956,21.062939,25.089499
36,0.8975385,-3.6370702,-17.721697,-13.035644,21.741827,26.171686
37,0.9231538,-7.0039563,-17.741907,-12.436608,22.390892,27.146902
38,0.9487692,-0.028974056,-8.469688,-14.700233,23.43039,28.58188
39,0.9743846,6.775287,1.6514788,-31.314768,25.5476,29.937794
40,1.0,29.29874,20.034634,-61.14889,28.166327,31.257639
