index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.001,-0.016699186,-0.029605713,-0.024516284,0.58516157,0.0073016295
2,0.026615383,-0.015382047,-0.017174734,-0.058813017,0.7063889,0.20100255
3,0.052230768,-0.037337378,0.04538618,-0.08267481,0.96936625,0.37208235
4,0.077846155,-0.12869512,0.021337423,-0.05681297,0.73320717,0.56204337
5,0.10346154,-0.10593898,0.07054877,-0.040865887,0.3673231,0.7478156
6,0.12907693,-0.096451215,0.025211394,0.06797154,0.7760898,1.5545893
7,0.1546923,-0.05716662,0.14839445,0.12391866,1.3013029,2.0689745
8,0.18030769,0.052272398,0.112459384,0.22378859,2.21267,2.525048
9,0.20592308,0.06700004,0.2193293,0.36781707,3.076673,3.026904
10,0.23153846,-0.18935362,0.11321545,0.5049634,3.776478,3.3970277
11,0.25715384,-0.23785363,-0.07299593,0.6092846,4.3153405,3.5282838
12,0.28276923,-0.19554467,-0.18793094,0.64364225,4.3338857,3.6444936
13,0.30838463,0.19633748,0.28167886,0.64917886,3.6205792,3.9251301
14,0.334,0.3889228,0.06467895,0.4500976,3.9472663,4.496797
15,0.3596154,0.20632523,-0.038426712,-0.10165444,4.821134,5.0582523
16,0.38523078,0.5345813,0.6450163,0.20724797,5.2924547,5.531925
17,0.41084614,0.30514637,-0.123601675,0.25866666,5.143498,6.304148
18,0.43646154,0.42101222,0.26727644,0.030378044,5.914741,7.1206055
19,0.46207693,0.15836996,0.012280524,0.5372765,6.4780526,8.422821
20,0.4876923,-0.42243493,0.47715443,0.21467888,7.6502085,9.99224
21,0.5133077,-1.185,-0.63223165,-0.13333338,8.764989,10.634255
22,0.5389231,-1.7933902,-1.2198536,-0.36094314,9.191769,10.747472
23,0.5645385,-0.7341342,-0.89305687,-0.90462196,8.573205,10.816718
24,0.5901538,0.09000814,0.6242318,1.6958739,8.293496,11.179223
25,0.6157692,-1.5009267,-0.40123576,-0.94256926,9.040943,12.030263
26,0.6413846,-4.1702995,0.5034228,-0.9096829,9.523954,12.203153
27,0.667,-5.514272,0.09873986,-1.4688252,9.87945,12.351703
28,0.6926154,-6.4977775,-1.5343617,-0.84973174,9.896511,12.375054
29,0.7182308,-4.7594314,-2.6832721,-2.66637,9.673836,12.320188
30,0.7438462,-0.98797154,1.8475487,0.19755268,8.59917,12.548579
31,0.7694615,-0.89107716,3.3959427,5.203691,9.0632305,12.597343
32,0.7950769,-4.4609137,4.636106,3.3887117,8.4705515,12.37346
33,0.8206923,-5.593098,-0.6470895,8.609147,8.199877,12.2975025
34,0.8463077,-3.8726428,-7.9564557,12.498118,8.76684,12.20772
35,0.8719231,-3.2314754,-6.773496,13.230076,8.739043,12.532027
36,0.8975385,-5.45311,-7.587191,12.980447,8.908328,12.971554
37,0.9231538,-10.48552,-8.266678,8.56994,9.0671215,13.241924
38,0.9487692,-8.703619,-12.133944,17.804176,9.386454,13.719618
39,0.9743846,-3.9838858,-26.839424,27.574917,10.643432,14.236463
40,1.0,-8.862529,-22.813576,30.510397,10.547888,14.575244
