index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.001,0.036142267,0.021303577,0.005040352,0.58956283,-3.0068506e-06
2,0.026615383,0.09754352,0.050827995,0.0051082927,1.1975136,-3.8775124e-05
3,0.052230768,0.15701485,0.074484125,0.014709121,1.6468438,-0.0012724728
4,0.077846155,0.19398725,0.106740996,-0.002770735,1.7297816,-0.0061872452
5,0.10346154,0.26264122,0.1776115,0.02820593,2.171547,-0.011634801
6,0.12907693,0.36740553,0.20016348,-0.017658163,2.6744218,-0.012337604
7,0.1546923,0.44717413,0.28253722,-0.0013226923,3.013548,-0.01766543
8,0.18030769,0.5938599,0.311465,0.061303634,3.4751246,-0.022733664
9,0.20592308,0.78471965,0.3998408,0.15879832,4.1042566,-0.02416043
10,0.23153846,0.9885605,0.5056306,0.19056052,4.704855,-0.018456291
11,0.25715384,1.2869321,0.5420064,0.1619108,5.5085926,-0.013788726
12,0.28276923,1.2265371,0.7281805,0.002488315,5.2948666,-0.006027538
13,0.30838463,1.2002314,0.70936507,0.21277495,4.713306,-0.0016800347
14,0.334,1.5248979,0.9675541,0.20420383,5.324344,0.010827113
15,0.3596154,1.7241211,0.9721486,0.44073886,5.333651,0.034694087
16,0.38523078,1.9840915,1.2278832,1.0517771,5.8828497,0.04948117
17,0.41084614,1.8830274,1.446641,1.7113612,6.099305,0.008934859
18,0.43646154,2.4034479,1.0774225,1.3980637,5.961655,-0.023275185
19,0.46207693,2.9075267,1.0717113,1.4435732,6.1688027,-0.015836162
20,0.4876923,3.0569258,2.4671953,0.115859985,6.715053,-0.0038485192
21,0.5133077,3.5795546,3.648879,0.77159023,7.3149166,0.01103228
22,0.5389231,3.2625606,3.8813927,2.4458406,7.106187,-0.0006220676
23,0.5645385,2.507537,4.344669,5.006467,7.765313,-0.10054897
24,0.5901538,1.8871996,3.6227732,5.2317686,7.176339,-0.15282221
25,0.6157692,1.9792846,4.1309323,6.8889766,7.6565113,-0.15310185
26,0.6413846,1.7658238,2.0838683,8.541079,7.603408,-0.18615194
27,0.667,0.27386832,0.83310616,9.326332,7.588355,-0.08770477
28,0.6926154,1.2042251,1.0242782,8.315178,7.166612,0.051609345
29,0.7182308,1.3703502,2.9336772,9.7943125,7.344363,0.08394817
30,0.7438462,-2.1554713,7.605084,10.467729,7.9471817,0.12506445
31,0.7694615,-0.8451762,5.83325,12.292127,7.693756,0.20588094
32,0.7950769,-4.201603,9.536437,10.597228,7.8795834,0.2691491
33,0.8206923,-4.0790405,13.070252,10.557197,8.099399,0.42280638
34,0.8463077,-1.6266837,17.397652,13.142563,8.286314,0.51411015
35,0.8719231,-1.9286349,17.738228,12.059446,8.054259,0.56133074
36,0.8975385,-2.3077364,13.520174,14.468979,7.698085,0.73060894
37,0.9231538,-6.4231987,18.414452,23.840649,8.303845,0.8524565
38,0.9487692,-1.8178596,16.902113,25.35694,7.7319355,0.83341604
39,0.9743846,-2.9393754,15.934039,28.862976,7.4659433,0.76241964
40,1.0,-16.761269,10.491904,45.50678,8.113611,0.9463395
