index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.001,0.04209228,-0.008169497,0.0006771968,0.6098438,5.2275443e-08
2,0.026615383,0.13700001,-0.035538543,0.025077173,1.6684391,-5.817122e-07
3,0.052230768,0.21518464,-0.06684623,-0.009430284,2.3425927,2.5974834e-06
4,0.077846155,0.31136915,-0.10292312,0.006031271,3.089533,1.0090305e-05
5,0.10346154,0.3325385,-0.10601578,0.017923268,2.9256346,1.3873332e-05
6,0.12907693,0.47636905,-0.12686181,0.002769881,3.7423267,2.0291345e-05
7,0.1546923,0.49212307,-0.10375407,0.033154357,3.4647157,3.815879e-05
8,0.18030769,0.5221844,-0.07915397,0.25152352,3.2906096,2.4539328e-05
9,0.20592308,0.6316307,-0.15761548,0.37458473,3.5849876,7.094748e-06
10,0.23153846,0.8284615,-0.12346156,0.35056973,4.061427,2.9857838e-05
11,0.25715384,0.88590765,-0.0664924,0.46650818,3.9011598,2.3563318e-05
12,0.28276923,1.1520922,0.0063692555,0.42277,4.3687716,3.8332262e-05
13,0.30838463,1.4393691,-0.07461547,0.49256995,4.876105,1.1653803e-05
14,0.334,1.6479999,0.054107547,0.34560013,4.9670973,2.9094545e-05
15,0.3596154,2.099523,0.012338139,0.30775434,5.5767922,2.3178945e-06
16,0.38523078,2.2649999,-0.36041546,0.4713231,5.673311,-1.5296624e-05
17,0.41084614,2.3785384,-0.3826616,0.2447542,5.5179715,3.4252094e-05
18,0.43646154,2.625877,-1.2576153,0.49660015,5.7459254,7.596512e-05
19,0.46207693,2.5719228,-1.0435387,0.69815415,5.314369,9.6621785e-05
20,0.4876923,3.7911847,-1.0657388,0.8569233,6.1923037,8.014981e-05
21,0.5133077,4.6626773,-1.1801538,1.1031237,6.6272473,0.00012040021
22,0.5389231,5.387585,-1.4388771,0.86336994,6.8617177,0.00010285723
23,0.5645385,6.8615847,-1.5011387,1.1615542,7.480478,0.00019496205
24,0.5901538,8.5183525,-1.182554,1.2280774,8.024369,0.00016805987
25,0.6157692,9.615122,-2.3283696,2.2523391,8.330717,0.00015429138
26,0.6413846,11.1626005,-0.8758924,2.7963083,8.528312,6.894584e-05
27,0.667,14.936324,-3.1418464,4.0596466,9.654433,9.6493e-05
28,0.6926154,15.211462,-4.316185,5.2954926,9.514889,0.00037943822
29,0.7182308,19.203585,-4.5124464,5.8612924,10.225078,0.0005489766
30,0.7438462,23.022648,-5.807431,9.618677,10.82021,0.00026883118
31,0.7694615,24.432526,-9.812786,9.496616,10.936866,0.0002836196
32,0.7950769,28.192873,-10.218184,10.9325075,11.264393,0.00023146105
33,0.8206923,34.48401,-10.485923,11.693953,11.847993,0.00011567837
34,0.8463077,40.205097,-7.1359234,15.255924,12.171627,0.00042780407
35,0.8719231,49.38468,-11.4144,14.882155,12.910049,-0.000117759686
36,0.8975385,45.863445,-10.241046,15.670601,12.279426,6.425785e-05
37,0.9231538,60.60633,-11.022217,13.814924,13.139683,-0.00057124114
38,0.9487692,58.656624,-9.118771,8.951785,12.688203,-0.00038433872
39,0.9743846,55.8077,-18.082476,4.484308,12.343775,-0.0005875622
40,1.0,71.368935,-23.895767,-0.9342761,12.871236,0.0009121187
