index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.001,0.016960738,0.03298414,0.02033855,0.19787529,0.011074112
2,0.026615383,0.011212604,0.086803004,-0.0036771297,0.49958786,0.20393056
3,0.052230768,-0.0025354214,0.12566933,-0.020417342,0.58163446,0.35285378
4,0.077846155,-0.043803107,0.17402367,-0.0027874,0.6354304,0.49509698
5,0.10346154,-0.10146446,0.27440146,-0.03636217,1.133321,0.5897552
6,0.12907693,-0.27051967,0.36081102,-0.11366145,2.229609,1.0058341
7,0.1546923,-0.26190543,0.35961407,0.030732267,2.585034,1.4269159
8,0.18030769,-0.1095905,0.39385024,0.12071653,3.1084833,1.976686
9,0.20592308,-0.08051965,0.3178582,0.10702362,3.07705,2.4802797
10,0.23153846,-0.051708683,0.20462193,0.26282677,3.4962065,2.8650353
11,0.25715384,0.055598408,-0.116055235,0.15600002,3.6155488,3.164269
12,0.28276923,0.035590548,0.02425187,0.062338606,3.4170885,3.7729414
13,0.30838463,0.2355434,0.121992,-0.12468506,4.3821163,4.529373
14,0.334,0.2926142,-0.21721281,-0.42095277,4.964224,4.863698
15,0.3596154,0.23845679,0.17093693,-0.72499216,5.4568734,5.1340275
16,0.38523078,0.38433862,-0.041023582,-0.7826142,5.380044,5.3512177
17,0.41084614,0.41756696,0.3044015,-0.5424646,5.228759,5.611878
18,0.43646154,-0.2104724,0.10313375,0.4067638,5.0727553,6.348898
19,0.46207693,-0.22423619,-0.18748821,0.21740945,5.326154,6.969627
20,0.4876923,-0.05314952,0.17398433,0.1292126,5.823642,7.995293
21,0.5133077,-0.036519613,1.6903071,-0.46778744,7.296039,8.470116
22,0.5389231,-1.3614646,1.5296456,-0.8734173,7.3332796,8.546444
23,0.5645385,-1.0630629,0.22951972,0.4806612,6.694667,8.869471
24,0.5901538,-0.51653534,0.25061414,-1.2145903,7.2387547,9.571021
25,0.6157692,-0.15722829,-0.27562997,0.32729924,7.8888884,10.958553
26,0.6413846,1.014567,-1.5608821,0.40352753,8.489671,11.485576
27,0.667,2.8488188,1.0488033,-0.19802365,9.369697,12.640446
28,0.6926154,3.6665275,-1.8629212,-0.821693,10.889794,13.998178
29,0.7182308,5.2015667,-4.5922523,0.2302677,11.517622,14.147294
30,0.7438462,4.973354,-6.389063,1.6864884,11.627572,14.230201
31,0.7694615,3.6835506,-5.0050006,4.6958027,11.124606,14.31002
32,0.7950769,1.0398583,-1.7572441,9.755568,10.605426,14.38928
33,0.8206923,-1.2350392,-3.520756,8.036409,10.747521,14.973319
34,0.8463077,4.566252,-4.585961,7.0319986,11.405311,15.5169735
35,0.8719231,-1.7654567,-2.9867558,7.4559298,10.939797,15.751376
36,0.8975385,-6.4407096,-6.815512,7.4654884,10.756962,15.412177
37,0.9231538,-7.478354,-6.5803785,5.3381886,9.938307,14.898493
38,0.9487692,-2.7767482,4.1783,6.397827,8.747803,14.615247
39,0.9743846,-5.2316933,12.429832,-2.0042753,9.459781,15.712015
40,1.0,-0.4183855,-8.23923,15.947215,14.180094,20.11586
