index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,-0.018822089,0.00870066,0.012329033,-1.6200237e-06,-1.6262114e-06
2,0.051282052,-0.04156852,0.019216456,0.027229814,-1.6964399e-06,-1.7018739e-06
3,0.07692308,-0.06776393,0.031325907,0.04438813,2.1457672e-06,2.1351934e-06
4,0.102564104,-0.09803715,0.04532029,0.064217135,2.79989e-06,2.7887127e-06
5,0.12820514,-0.1329996,0.061482627,0.08711998,-3.3959382e-06,-3.4149866e-06
6,0.15384616,-0.17304154,0.0799931,0.113349125,-3.979758e-06,-4.0006594e-06
7,0.17948718,-0.21876217,0.10112883,0.14329764,3.8819235e-07,3.618684e-07
8,0.20512821,-0.27117607,0.12535864,0.17762971,-3.356202e-06,-3.3652889e-06
9,0.23076923,-0.33167407,0.1533261,0.21726005,-7.073086e-06,-7.0599517e-06
10,0.25641027,-0.40184858,0.18576822,0.26323104,-8.347709e-06,-8.355273e-06
11,0.2820513,-0.48342618,0.22348052,0.31667182,-1.577842e-05,-1.579189e-05
12,0.30769232,-0.57812893,0.26726002,0.3787058,-2.6626465e-05,-2.664003e-05
13,0.33333334,-0.68726647,0.31771237,0.45019495,-3.0859923e-05,-3.0859825e-05
14,0.35897437,-0.8120833,0.37541255,0.5319549,-2.74701e-05,-2.746466e-05
15,0.3846154,-0.95500946,0.44148573,0.6255871,-6.9722155e-06,-6.986049e-06
16,0.41025642,-1.119744,0.5176448,0.7335076,-3.2452437e-05,-3.2479154e-05
17,0.43589744,-1.3103998,0.60578203,0.85839427,-8.05427e-06,-8.088713e-06
18,0.46153846,-1.5316054,0.70803875,1.0032865,-1.2348861e-05,-1.2402916e-05
19,0.4871795,-1.7889254,0.82698613,1.1718354,-5.1923285e-05,-5.1966686e-05
20,0.5128205,-2.088372,0.96540964,1.3679678,-0.00014266896,-0.00014271354
21,0.5384615,-2.4356647,1.1259508,1.595447,-0.00013661986,-0.00013665775
22,0.56410253,-2.8359342,1.3109988,1.8576533,-0.00014201485,-0.00014204715
23,0.5897436,-3.29393,1.5227257,2.1576824,-0.00014540467,-0.00014543867
24,0.61538464,-3.8151023,1.7636461,2.4990602,-0.00022161915,-0.00022165873
25,0.64102566,-4.4078856,2.0376425,2.8873692,-0.00019824496,-0.00019827666
26,0.6666667,-5.0855536,2.3509114,3.3312466,-0.00017882913,-0.00017884323
27,0.6923077,-5.8646135,2.711059,3.8415985,-0.00020766555,-0.00020768082
28,0.71794873,-6.76046,3.1252422,4.4285364,-0.0004355876,-0.0004356203
29,0.74358976,-7.7890673,3.6006882,5.10232,-0.00036413845,-0.00036416022
30,0.7692308,-8.97437,4.1486235,5.878716,-0.00016220404,-0.0001622142
31,0.7948718,-10.346794,4.783101,6.777816,-6.1469145e-05,-6.149527e-05
32,0.82051283,-11.937327,5.5184298,7.81979,-5.1583946e-05,-5.1593757e-05
33,0.84615386,-13.7821,6.371116,9.028296,-3.408769e-05,-3.408973e-05
34,0.8717949,-15.933757,7.3658004,10.437821,-4.049137e-05,-4.0489063e-05
35,0.8974359,-18.456348,8.53209,12.0905075,-0.0006780348,-0.0006780403
36,0.9230769,-21.39143,9.889044,14.013456,0.00010826351,0.000108256005
37,0.94871795,-24.740084,11.437073,16.207188,0.00016884628,0.00016884072
38,0.974359,-28.524263,13.186693,18.686644,1.6585458e-05,1.6571299e-05
39,1.0,-32.899326,15.209218,21.552746,0.00036125313,0.00036124996
