index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,0.011479553,0.005383552,-0.01803713,0.055901967,0.055901967
2,0.051282052,0.030957915,0.0126273595,-0.035394408,0.112320244,0.11232025
3,0.07692308,0.04089256,0.011807547,-0.064895675,0.18901603,0.18901603
4,0.102564104,0.051261693,0.0056270673,-0.10017023,0.2580879,0.2580879
5,0.12820514,0.07185792,0.01628673,-0.13619766,0.3200002,0.32000017
6,0.15384616,0.10273734,0.039787482,-0.16775453,0.36928272,0.36928266
7,0.17948718,0.13780911,0.06403917,-0.20629996,0.40313286,0.4031328
8,0.20512821,0.18572474,0.078248076,-0.24968307,0.43819457,0.4381945
9,0.23076923,0.23554698,0.082613714,-0.3072976,0.4780312,0.47803113
10,0.25641027,0.29173437,0.06739605,-0.37402186,0.5204407,0.5204406
11,0.2820513,0.352972,0.0329844,-0.4493288,0.55864,0.5586399
12,0.30769232,0.40971422,-0.009670373,-0.5454444,0.5708248,0.5708247
13,0.33333334,0.4625184,-0.04149278,-0.66918063,0.5800714,0.5800713
14,0.35897437,0.5268051,-0.06371463,-0.8124745,0.59497875,0.59497863
15,0.3846154,0.5823884,-0.094913125,-0.9826774,0.6130665,0.6130664
16,0.41025642,0.6497131,-0.096706375,-1.1804019,0.6290829,0.6290828
17,0.43589744,0.76892674,-0.07399865,-1.3911295,0.6426567,0.64265656
18,0.46153846,0.88870376,-0.03242619,-1.6417688,0.6692236,0.6692235
19,0.4871795,1.0147511,0.015404087,-1.9403155,0.7062989,0.70629877
20,0.5128205,1.1770995,0.105876565,-2.2736578,0.73648435,0.7364842
21,0.5384615,1.3624729,0.25259817,-2.6492512,0.7208221,0.720822
22,0.56410253,1.5439938,0.52378553,-3.039965,0.76277864,0.7627785
23,0.5897436,1.728101,0.8139088,-3.5149367,0.859315,0.85931486
24,0.61538464,1.8764479,1.1437048,-4.0733495,0.9416533,0.9416532
25,0.64102566,1.949725,1.5051649,-4.7369823,1.0558784,1.0558783
26,0.6666667,2.0757515,1.8526994,-5.521471,1.1775931,1.177593
27,0.6923077,2.1958058,2.1629167,-6.4625974,1.3279732,1.3279731
28,0.71794873,2.230892,2.5765743,-7.5339856,1.4541466,1.4541465
29,0.74358976,2.2492778,3.0302439,-8.77401,1.5336665,1.5336664
30,0.7692308,2.2464263,3.4977574,-10.222838,1.671171,1.6711708
31,0.7948718,2.3452845,3.8773775,-11.940141,1.8116853,1.8116853
32,0.82051283,2.6650953,4.158199,-13.937767,2.0138917,2.0138917
33,0.84615386,3.0887341,4.5384665,-16.237452,2.2607915,2.2607915
34,0.8717949,3.472374,5.2200227,-18.887688,2.5933948,2.5933948
35,0.8974359,4.014282,5.9706144,-21.993717,2.800591,2.800591
36,0.9230769,4.927048,7.0651255,-25.481949,2.7899053,2.7899053
37,0.94871795,6.1429553,8.769984,-29.230879,2.7538583,2.7538583
38,0.974359,7.156232,11.513584,-33.102783,2.9885383,2.9885385
39,1.0,8.464009,15.309037,-37.030178,3.1018639,3.101864
