index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,-0.006484042,0.017445812,0.015255913,0.06886669,0.06886668
2,0.051282052,-0.016322657,0.037560645,0.03384954,0.13373484,0.13373482
3,0.07692308,-0.02686572,0.059726313,0.056548715,0.19990209,0.19990207
4,0.102564104,-0.04286325,0.08579145,0.08029412,0.2490839,0.24908388
5,0.12820514,-0.06197711,0.11671692,0.106499285,0.2953697,0.29536968
6,0.15384616,-0.08619961,0.15278873,0.13387217,0.3370884,0.3370884
7,0.17948718,-0.11513383,0.19416417,0.16369686,0.37587786,0.37587783
8,0.20512821,-0.15479302,0.24107319,0.19103384,0.39809915,0.39809912
9,0.23076923,-0.20098083,0.29673147,0.21943267,0.41505992,0.4150599
10,0.25641027,-0.25673172,0.3602396,0.2508376,0.4303456,0.43034557
11,0.2820513,-0.32395643,0.43390957,0.2832007,0.43568206,0.43568206
12,0.30769232,-0.40102938,0.52049273,0.32046235,0.42858186,0.42858183
13,0.33333334,-0.49201286,0.61859846,0.36272886,0.41891316,0.41891313
14,0.35897437,-0.60059106,0.7242453,0.41576275,0.40034586,0.40034583
15,0.3846154,-0.72264594,0.8435902,0.4838266,0.38421056,0.38421053
16,0.41025642,-0.8703849,0.98042274,0.5495102,0.35849348,0.35849348
17,0.43589744,-1.0489662,1.1320516,0.6218681,0.32553002,0.32553005
18,0.46153846,-1.250421,1.3154678,0.7036864,0.297354,0.29735404
19,0.4871795,-1.5009832,1.510988,0.7960567,0.28430387,0.28430387
20,0.5128205,-1.8063883,1.7276824,0.8854367,0.25593004,0.25593004
21,0.5384615,-2.1772988,1.9642919,0.9620358,0.25190398,0.25190395
22,0.56410253,-2.6160653,2.2161686,1.0557712,0.2553536,0.2553536
23,0.5897436,-3.1194675,2.502572,1.1620071,0.25845283,0.25845286
24,0.61538464,-3.6898327,2.8207872,1.3107849,0.2608373,0.26083732
25,0.64102566,-4.3456197,3.1491332,1.5146528,0.25314227,0.2531423
26,0.6666667,-5.1375275,3.412466,1.7573793,0.2589734,0.2589734
27,0.6923077,-6.0997915,3.572114,1.9782844,0.2547945,0.2547945
28,0.71794873,-7.201577,3.6603892,2.2939434,0.22593437,0.22593439
29,0.74358976,-8.416506,3.3486545,2.6867301,-0.09605481,-0.09605479
30,0.7692308,-9.701593,2.7960358,3.2834415,-0.3142463,-0.31424627
31,0.7948718,-11.039264,2.0318923,4.12384,-0.48660618,-0.48660612
32,0.82051283,-12.224072,0.8350135,5.2707133,-0.43723017,-0.4372301
33,0.84615386,-13.21453,-0.88922167,6.5494604,-0.5796672,-0.57966715
34,0.8717949,-14.78027,-2.9258096,7.5461016,-0.97397524,-0.9739752
35,0.8974359,-16.512724,-5.1931505,9.059019,-1.280525,-1.280525
36,0.9230769,-18.490444,-8.034229,10.547138,-1.2631714,-1.2631714
37,0.94871795,-20.886911,-10.979871,12.5576935,-1.2143235,-1.2143235
38,0.974359,-23.150295,-14.199721,15.393358,-1.0971799,-1.0971799
39,1.0,-24.17302,-18.320168,18.96515,-0.58893704,-0.58893704
