index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,0.006588596,-0.011717622,-0.020004282,0.005052353,0.0050523556
2,0.051282052,0.016305625,-0.026442122,-0.04315798,0.005668044,0.0056680436
3,0.07692308,0.028476754,-0.04552689,-0.067918316,0.005198662,0.0051986487
4,0.102564104,0.04281797,-0.06755693,-0.09640622,0.0040280577,0.0040280414
5,0.12820514,0.058887903,-0.09216012,-0.13018179,0.0024027457,0.0024027042
6,0.15384616,0.07706866,-0.12077448,-0.16866621,0.00040850881,0.00040845945
7,0.17948718,0.09726949,-0.15160339,-0.21415506,-0.0015238003,-0.0015238423
8,0.20512821,0.11991948,-0.18576828,-0.26715416,0.0031379582,0.0031379198
9,0.23076923,0.1506297,-0.22686781,-0.32490477,0.0098780785,0.009878038
10,0.25641027,0.15493524,-0.26902562,-0.40359932,0.0849372,0.084937155
11,0.2820513,0.16115725,-0.31668007,-0.49590477,0.18040085,0.18040082
12,0.30769232,0.16143288,-0.37222075,-0.60278594,0.2761847,0.27618468
13,0.33333334,0.15478772,-0.44121614,-0.72333413,0.39294514,0.3929451
14,0.35897437,0.16570683,-0.53484666,-0.8506526,0.5045875,0.5045875
15,0.3846154,0.21091464,-0.64817256,-0.98535097,0.5769675,0.5769674
16,0.41025642,0.28238812,-0.7521541,-1.1542101,0.635702,0.63570195
17,0.43589744,0.35702753,-0.8672892,-1.3559115,0.7180902,0.7180901
18,0.46153846,0.4543465,-0.9770455,-1.5982417,0.7837724,0.78377235
19,0.4871795,0.61197186,-1.1457328,-1.832419,0.82962465,0.8296246
20,0.5128205,0.7429757,-1.3935025,-2.0942755,0.77407944,0.7740794
21,0.5384615,0.9007756,-1.6229887,-2.441599,0.700602,0.70060194
22,0.56410253,1.0502098,-1.9549786,-2.799384,0.5603706,0.56037056
23,0.5897436,1.1233169,-2.4577088,-3.0889478,0.34699923,0.34699917
24,0.61538464,1.1771437,-3.0602841,-3.3713489,0.15041906,0.150419
25,0.64102566,1.3167634,-3.7712336,-3.5967758,-0.08065018,-0.08065024
26,0.6666667,1.6523446,-4.5600686,-3.744614,-0.31960022,-0.31960028
27,0.6923077,2.0644393,-5.4681215,-3.7422001,-0.5701702,-0.5701703
28,0.71794873,2.5379643,-6.4982367,-3.5467834,-0.7357062,-0.73570627
29,0.74358976,3.0003479,-7.7171354,-3.3293707,-0.88503814,-0.8850382
30,0.7692308,3.528575,-9.145805,-3.335525,-0.8327146,-0.8327147
31,0.7948718,4.1907077,-10.78,-3.382972,-0.69333786,-0.6933379
32,0.82051283,5.152386,-12.583849,-3.4195204,-0.510767,-0.51076704
33,0.84615386,6.489069,-14.539277,-3.506559,-0.17386442,-0.17386448
34,0.8717949,7.887987,-16.923742,-3.557112,0.2232252,0.22322515
35,0.8974359,9.7895565,-19.50652,-3.9901733,0.5536456,0.5536456
36,0.9230769,12.330704,-22.26365,-4.2927914,1.060005,1.060005
37,0.94871795,15.704989,-24.86007,-3.7924213,1.6868374,1.6868374
38,0.974359,19.366367,-27.764277,-2.495163,2.5042348,2.5042348
39,1.0,24.208996,-29.066082,-0.45887446,3.3574686,3.3574686
