index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,0.00011408241,0.014524922,0.018771408,0.107635535,0.10763555
2,0.051282052,0.0020125848,0.028443359,0.04388763,0.21648338,0.21648341
3,0.07692308,-0.02246931,0.031616367,0.064078264,0.27352795,0.27352798
4,0.102564104,-0.050146073,0.033959396,0.09112712,0.33038592,0.33038595
5,0.12820514,-0.083403915,0.037786793,0.120801546,0.4178966,0.41789663
6,0.15384616,-0.12275909,0.04648991,0.15171656,0.51977724,0.51977724
7,0.17948718,-0.17522308,0.06633321,0.16524407,0.5866311,0.5866311
8,0.20512821,-0.23439321,0.091608725,0.18163005,0.6550673,0.6550673
9,0.23076923,-0.30135667,0.12815897,0.1934067,0.7070863,0.7070863
10,0.25641027,-0.3817782,0.1554658,0.2213842,0.7915796,0.7915796
11,0.2820513,-0.47442836,0.19217542,0.25165716,0.8743888,0.8743888
12,0.30769232,-0.5893805,0.21954249,0.28002682,0.924077,0.924077
13,0.33333334,-0.7205011,0.2521583,0.3169714,0.9662252,0.9662252
14,0.35897437,-0.8700389,0.28827423,0.36154094,1.0087771,1.0087771
15,0.3846154,-1.0426897,0.33121693,0.40630236,1.0384212,1.0384212
16,0.41025642,-1.2513242,0.3585698,0.42643815,1.045756,1.045756
17,0.43589744,-1.4941137,0.38368738,0.42236647,1.057451,1.057451
18,0.46153846,-1.7706202,0.40337443,0.36003992,1.0515102,1.0515102
19,0.4871795,-2.0867062,0.38941675,0.263309,1.0678372,1.0678372
20,0.5128205,-2.4523106,0.36084116,0.1461491,1.1079022,1.1079022
21,0.5384615,-2.8717868,0.3126871,0.0014808029,1.1746864,1.1746864
22,0.56410253,-3.3584309,0.24767801,-0.15302448,1.2690201,1.2690201
23,0.5897436,-3.9060373,0.16669384,-0.3533557,1.3384926,1.3384926
24,0.61538464,-4.5053654,0.046572536,-0.62724376,1.4191868,1.4191868
25,0.64102566,-5.140045,-0.13972493,-1.0032156,1.5275987,1.5275987
26,0.6666667,-5.8341713,-0.39106554,-1.4664357,1.6678566,1.6678566
27,0.6923077,-6.628894,-0.72915775,-1.9748633,1.8211267,1.8211267
28,0.71794873,-7.5619736,-1.1751592,-2.4827003,1.9773479,1.9773479
29,0.74358976,-8.558547,-1.845082,-3.0359254,2.136328,2.136328
30,0.7692308,-9.707893,-2.67156,-3.6003253,2.314145,2.314145
31,0.7948718,-11.160026,-3.5760317,-4.022935,2.5311239,2.5311239
32,0.82051283,-12.863099,-4.615887,-4.4670253,2.7265089,2.7265089
33,0.84615386,-14.956289,-5.7132797,-4.6560636,3.0525563,3.0525563
34,0.8717949,-17.466356,-6.8624897,-4.839069,3.3777418,3.3777418
35,0.8974359,-20.551271,-7.828754,-4.654788,3.7220008,3.7220008
36,0.9230769,-24.255861,-8.539065,-4.5636225,4.0591044,4.0591044
37,0.94871795,-28.48193,-9.1169815,-4.984672,4.3097105,4.3097105
38,0.974359,-32.99577,-10.161899,-6.3435917,4.258817,4.258817
39,1.0,-37.41031,-11.570451,-9.24106,3.91093,3.91093
