index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,-0.017449988,0.005957183,0.0151900025,0.06349692,0.063496895
2,0.051282052,-0.037891746,0.01266348,0.0343949,0.1287092,0.12870917
3,0.07692308,-0.059529454,0.01520408,0.059727013,0.17039618,0.17039615
4,0.102564104,-0.08419227,0.018217396,0.089309275,0.21366835,0.21366832
5,0.12820514,-0.112053975,0.021023788,0.124000505,0.25842708,0.25842708
6,0.15384616,-0.14306696,0.019032206,0.16457495,0.29736048,0.2973605
7,0.17948718,-0.1855487,0.006850658,0.20184436,0.35118836,0.3511884
8,0.20512821,-0.23786317,-0.008644832,0.24060342,0.4079626,0.40796262
9,0.23076923,-0.30173767,-0.022588797,0.28156066,0.470016,0.47001603
10,0.25641027,-0.3757913,-0.03005923,0.3315797,0.53816384,0.5381639
11,0.2820513,-0.4593566,-0.04037285,0.3931178,0.6055066,0.6055066
12,0.30769232,-0.5553795,-0.058944054,0.46441925,0.66141903,0.66141903
13,0.33333334,-0.6609931,-0.07747543,0.5539112,0.708902,0.708902
14,0.35897437,-0.7757487,-0.10922527,0.6596679,0.7550553,0.7550553
15,0.3846154,-0.89395344,-0.16667475,0.78700393,0.79406387,0.79406387
16,0.41025642,-1.0217017,-0.23733836,0.9393929,0.826342,0.826342
17,0.43589744,-1.1627634,-0.31810212,1.1217777,0.84813577,0.8481357
18,0.46153846,-1.3015839,-0.44186938,1.3356631,0.87573886,0.8757388
19,0.4871795,-1.4418977,-0.5797124,1.6003563,0.91517615,0.91517603
20,0.5128205,-1.5904416,-0.7212394,1.9250833,0.9526639,0.95266384
21,0.5384615,-1.7750369,-0.88796306,2.2950373,0.9916529,0.99165285
22,0.56410253,-1.9961948,-1.0680374,2.7228127,1.0345258,1.0345258
23,0.5897436,-2.2942882,-1.276863,3.1850278,1.0749301,1.0749301
24,0.61538464,-2.5698645,-1.5672677,3.7209215,1.1129619,1.112962
25,0.64102566,-2.8380039,-1.9400908,4.3289046,1.1472521,1.1472522
26,0.6666667,-3.1735973,-2.3233867,5.034619,1.1782453,1.1782454
27,0.6923077,-3.5140293,-2.81751,5.835618,1.1953069,1.195307
28,0.71794873,-3.8913648,-3.4567263,6.7154884,1.206839,1.2068391
29,0.74358976,-4.398294,-4.138595,7.7288113,1.217041,1.2170413
30,0.7692308,-5.0479302,-4.946931,8.844507,1.2209262,1.2209264
31,0.7948718,-5.865351,-5.849919,10.120895,1.2140124,1.2140126
32,0.82051283,-6.868207,-6.8413167,11.600074,1.1956589,1.1956592
33,0.84615386,-8.745502,-7.372026,12.837952,1.1795644,1.1795647
34,0.8717949,-10.945063,-7.407163,14.507142,1.1531827,1.1531831
35,0.8974359,-11.302139,-6.892979,15.976368,1.134332,1.1343323
36,0.9230769,-7.8423343,-5.497346,16.451508,1.1338638,1.1338642
37,0.94871795,-3.8957942,-3.9128475,16.971254,1.1355282,1.1355286
38,0.974359,-2.492035,-4.957856,18.420586,1.1652441,1.1652445
39,1.0,-1.2644728,-6.153039,20.204527,1.2120683,1.2120687
