index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,0.023049753,0.006618457,-0.003089412,0.010105497,0.010105475
2,0.051282052,0.05096355,0.014078908,-0.0074643735,0.022135194,0.022135187
3,0.07692308,0.08334136,0.022041362,-0.012044984,0.035795115,0.03579513
4,0.102564104,0.120379105,0.032419052,-0.017842744,0.051108234,0.051108237
5,0.12820514,0.16286811,0.045114588,-0.02506903,0.068734005,0.06873401
6,0.15384616,0.21181445,0.05960068,-0.0315037,0.08773212,0.087732114
7,0.17948718,0.26820922,0.075102,-0.037210755,0.108918056,0.10891807
8,0.20512821,0.33373037,0.089391954,-0.04353851,0.1328562,0.13285622
9,0.23076923,0.40852338,0.10618705,-0.056491658,0.16067089,0.1606709
10,0.25641027,0.49533918,0.1261967,-0.07049618,0.19162467,0.1916247
11,0.2820513,0.5966028,0.14738667,-0.087376796,0.22733249,0.22733255
12,0.30769232,0.7132567,0.17134489,-0.1117338,0.26964372,0.26964378
13,0.33333334,0.846659,0.19273669,-0.14842156,0.31725875,0.31725878
14,0.35897437,1.0020394,0.20528758,-0.18589558,0.37116352,0.37116355
15,0.3846154,1.1817987,0.20900248,-0.22288597,0.43002948,0.4300295
16,0.41025642,1.3899528,0.22086257,-0.2590501,0.5023235,0.50232357
17,0.43589744,1.6265185,0.23506612,-0.31998295,0.5954027,0.5954028
18,0.46153846,1.9041777,0.24683118,-0.37671334,0.72307384,0.7230739
19,0.4871795,2.232162,0.25027394,-0.4098221,0.89348865,0.89348876
20,0.5128205,2.6033375,0.18474254,-0.4742403,1.1136073,1.1136074
21,0.5384615,2.9786677,0.08421684,-0.68951756,1.3255714,1.3255715
22,0.56410253,3.417563,-0.06318755,-0.9113746,1.5612717,1.5612719
23,0.5897436,3.9328537,-0.246396,-1.1230807,1.799237,1.7992373
24,0.61538464,4.4361424,-0.37063563,-1.5401154,2.0043817,2.004382
25,0.64102566,4.8730845,-0.39789227,-2.1600146,2.1582541,2.1582544
26,0.6666667,5.3097277,-0.44700405,-2.9115517,2.3364475,2.3364477
27,0.6923077,5.7842126,-0.56062853,-3.7858636,2.4556623,2.4556625
28,0.71794873,6.2354264,-0.69511956,-4.8359976,2.5421193,2.5421195
29,0.74358976,6.7232704,-0.9330919,-6.0412517,2.6231081,2.6231084
30,0.7692308,7.166545,-1.001828,-7.4942307,2.6909041,2.6909044
31,0.7948718,7.939517,-1.1651415,-9.068847,2.7443483,2.7443485
32,0.82051283,8.918614,-1.3689618,-10.8516245,2.749459,2.7494593
33,0.84615386,10.029498,-1.539579,-12.936362,2.7029269,2.702927
34,0.8717949,11.209349,-1.4966177,-15.431249,2.649994,2.6499941
35,0.8974359,12.547443,-1.429531,-18.374842,2.481704,2.4817042
36,0.9230769,13.865843,-0.92089915,-21.855606,2.2371297,2.23713
37,0.94871795,14.528323,0.26196277,-25.87247,1.9122188,1.912219
38,0.974359,14.193122,1.7378827,-30.487621,1.8717787,1.871779
39,1.0,14.111755,3.0419796,-35.909554,1.7991356,1.7991357
