index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,0.012267501,-0.017711619,0.009953216,0.14647605,0.14647605
2,0.051282052,0.028629359,-0.03809644,0.021797163,0.32741994,0.32741994
3,0.07692308,0.040729597,-0.058348652,0.042225376,0.53126293,0.53126293
4,0.102564104,0.03518335,-0.084234685,0.069568485,0.7625197,0.7625197
5,0.12820514,0.025960155,-0.11770426,0.09658818,1.0075858,1.0075858
6,0.15384616,0.015434316,-0.1549574,0.12872261,1.1960895,1.1960896
7,0.17948718,0.0070248405,-0.20393158,0.15886159,1.308463,1.3084631
8,0.20512821,0.023808595,-0.25495416,0.19852212,1.4509194,1.4509195
9,0.23076923,0.038106233,-0.31289768,0.24764688,1.5868822,1.5868824
10,0.25641027,0.05746157,-0.38188893,0.3015242,1.7101997,1.7101998
11,0.2820513,0.0851603,-0.4663196,0.35670617,1.8282216,1.8282217
12,0.30769232,0.120141,-0.558291,0.42773014,1.9491467,1.9491469
13,0.33333334,0.15637168,-0.6700967,0.50366133,2.056948,2.056948
14,0.35897437,0.20268807,-0.8020327,0.58151066,2.165583,2.165583
15,0.3846154,0.24581924,-0.95527303,0.6725585,2.2590191,2.2590191
16,0.41025642,0.29631138,-1.1315324,0.777776,2.351866,2.351866
17,0.43589744,0.34468237,-1.3339822,0.90590125,2.4293537,2.4293537
18,0.46153846,0.3899303,-1.5926827,1.0118688,2.4742742,2.4742742
19,0.4871795,0.43872046,-1.9066148,1.1022757,2.5049136,2.5049136
20,0.5128205,0.49536306,-2.2806592,1.1672626,2.5637581,2.5637581
21,0.5384615,0.53067076,-2.7225072,1.2174714,2.6240797,2.6240797
22,0.56410253,0.53571177,-3.233262,1.2784892,2.6788306,2.6788306
23,0.5897436,0.55208874,-3.8204265,1.3218424,2.7285316,2.7285316
24,0.61538464,0.6096334,-4.4875636,1.3539236,2.7821758,2.7821758
25,0.64102566,0.6757008,-5.2470374,1.380448,2.8116884,2.8116884
26,0.6666667,0.72177565,-6.1155457,1.4435474,2.8381903,2.8381903
27,0.6923077,0.7669361,-7.1170664,1.4564725,2.8646004,2.8646004
28,0.71794873,0.88837796,-8.258343,1.5548762,2.8853705,2.8853705
29,0.74358976,0.9903953,-9.572737,1.669875,2.9033546,2.9033546
30,0.7692308,1.1646506,-11.087406,1.6998917,2.9130032,2.9130032
31,0.7948718,1.3047065,-12.84476,1.6050245,2.9091322,2.9091322
32,0.82051283,1.399358,-14.877844,1.3966339,2.8987188,2.8987188
33,0.84615386,1.5382841,-17.244099,1.3701224,2.8823435,2.8823435
34,0.8717949,2.142212,-19.9281,1.4691119,2.885955,2.885955
35,0.8974359,2.8295557,-23.07307,1.2000092,2.90724,2.90724
36,0.9230769,2.8081036,-26.706553,0.74539393,2.9145002,2.9145002
37,0.94871795,2.21998,-30.795017,0.24577627,2.9233756,2.9233756
38,0.974359,1.5553418,-35.415646,-0.3187606,2.9119818,2.9119818
39,1.0,0.7871252,-40.75756,-0.9714482,2.9086182,2.9086182
