index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,-0.0005745531,0.012309449,-0.020755973,1.5405508e-06,1.5540526e-06
2,0.051282052,-0.0012685682,0.027186114,-0.04584063,3.667978e-06,3.694378e-06
3,0.07692308,-0.0020677696,0.044318043,-0.07472823,4.6399923e-06,4.6593473e-06
4,0.102564104,-0.0029919571,0.06411694,-0.108112946,7.066971e-06,7.074055e-06
5,0.12820514,-0.004059561,0.086983554,-0.14667019,1.1911759e-05,1.1940282e-05
6,0.15384616,-0.005282052,0.11317209,-0.1908289,2.8286224e-05,2.8300314e-05
7,0.17948718,-0.006677348,0.14307468,-0.2412501,2.8604116e-05,2.8616338e-05
8,0.20512821,-0.008276924,0.17735478,-0.2990523,4.5217e-05,4.5225606e-05
9,0.23076923,-0.010123692,0.21692273,-0.36577135,6.185739e-05,6.186482e-05
10,0.25641027,-0.012266124,0.26282027,-0.44316328,6.911693e-05,6.911993e-05
11,0.2820513,-0.014756676,0.3161757,-0.53313047,7.284299e-05,7.282366e-05
12,0.30769232,-0.017648246,0.3781144,-0.6375703,8.258147e-05,8.2581384e-05
13,0.33333334,-0.020980123,0.44949368,-0.7579293,8.642979e-05,8.642972e-05
14,0.35897437,-0.024790931,0.5311282,-0.8955797,0.000114743525,0.00011473847
15,0.3846154,-0.029155282,0.6246093,-1.0532063,0.00012832116,0.00012831249
16,0.41025642,-0.03418641,0.7323529,-1.2348878,0.00014239091,0.00014238486
17,0.43589744,-0.040006973,0.8570485,-1.4451468,0.00014851644,0.0001484782
18,0.46153846,-0.04676043,1.001722,-1.6890934,0.0001933911,0.0001933517
19,0.4871795,-0.054612257,1.1700145,-1.9728665,0.00020263746,0.0002025828
20,0.5128205,-0.06374655,1.3658571,-2.303093,0.00030011387,0.00030007158
21,0.5384615,-0.07434767,1.5929929,-2.686087,0.00030029422,0.000300244
22,0.56410253,-0.08656083,1.8547871,-3.1275198,0.00026739552,0.00026735163
23,0.5897436,-0.10053512,2.1543367,-3.6326153,0.000315654,0.0003156156
24,0.61538464,-0.1164401,2.4951916,-4.2073636,0.0003685493,0.00036850112
25,0.64102566,-0.13453253,2.8828793,-4.861086,0.00043259526,0.0004325572
26,0.6666667,-0.15520157,3.3260844,-5.6084104,0.0006671808,0.00066713896
27,0.6923077,-0.1789641,3.835618,-6.467574,0.0006654049,0.0006653551
28,0.71794873,-0.20628971,4.421562,-7.455579,0.0008416818,0.00084162
29,0.74358976,-0.23767138,5.0942717,-8.589908,0.0010615954,0.0010615533
30,0.7692308,-0.27385223,5.8694787,-9.897025,0.0012028095,0.0012027556
31,0.7948718,-0.3157516,6.767088,-11.410572,0.0014224449,0.0014223831
32,0.82051283,-0.36430934,7.807349,-13.164646,0.001639357,0.0016392859
33,0.84615386,-0.4205991,9.013843,-15.199031,0.0017329332,0.0017328716
34,0.8717949,-0.48627892,10.421063,-17.571869,0.0017826497,0.001782607
35,0.8974359,-0.5632748,12.070944,-20.353874,0.0018041288,0.0018040929
36,0.9230769,-0.6528594,13.990559,-23.590796,0.002871064,0.0028710114
37,0.94871795,-0.75508803,16.180647,-27.283648,0.00291839,0.0029183435
38,0.974359,-0.87061936,18.655682,-31.457048,0.0036809351,0.003680891
39,1.0,-1.0041971,21.517042,-36.28174,0.0037002286,0.003700199
