index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,-0.009298132,-0.019338455,-0.010471285,0.0054421853,0.005442189
2,0.051282052,-0.02522612,-0.038804084,-0.024681445,-0.0054167323,-0.005416735
3,0.07692308,-0.04066965,-0.062439695,-0.04245595,0.025588604,0.025588606
4,0.102564104,-0.05980191,-0.088752136,-0.063293174,0.05998517,0.059985157
5,0.12820514,-0.08441321,-0.119927116,-0.083889626,0.10853892,0.10853891
6,0.15384616,-0.107377075,-0.1500835,-0.118123755,0.12822998,0.12822998
7,0.17948718,-0.15560272,-0.17455016,-0.14023362,0.18177237,0.18177237
8,0.20512821,-0.20459169,-0.2062478,-0.17248282,0.31514773,0.31514773
9,0.23076923,-0.24281378,-0.24979167,-0.22393622,0.35962844,0.35962844
10,0.25641027,-0.27829066,-0.29400027,-0.29369935,0.3840694,0.3840694
11,0.2820513,-0.3109299,-0.35159025,-0.37468043,0.4106723,0.41067234
12,0.30769232,-0.34432697,-0.41825265,-0.4707057,0.4285701,0.4285701
13,0.33333334,-0.3829142,-0.495998,-0.580913,0.4456721,0.4456721
14,0.35897437,-0.42382517,-0.57873785,-0.7122712,0.46699423,0.46699423
15,0.3846154,-0.47424155,-0.67533004,-0.86038035,0.49074736,0.49074733
16,0.41025642,-0.5390162,-0.79140145,-1.025323,0.5000007,0.50000066
17,0.43589744,-0.6130662,-0.9238212,-1.2178282,0.5132242,0.5132241
18,0.46153846,-0.7077738,-1.0676612,-1.4443883,0.541001,0.54100096
19,0.4871795,-0.8243182,-1.242465,-1.7003373,0.5776013,0.57760125
20,0.5128205,-0.9450886,-1.4492846,-2.0019672,0.6157382,0.61573815
21,0.5384615,-1.0770012,-1.70162,-2.3464391,0.6697458,0.66974574
22,0.56410253,-1.2137064,-2.0547247,-2.6945045,0.70874935,0.7087493
23,0.5897436,-1.3978059,-2.4818392,-3.0559263,0.7444055,0.74440545
24,0.61538464,-1.67544,-2.9403126,-3.4580233,0.78777444,0.7877744
25,0.64102566,-2.0005105,-3.4793618,-3.8879752,0.83570904,0.835709
26,0.6666667,-2.354927,-4.146143,-4.3230453,0.8845725,0.88457245
27,0.6923077,-2.7333107,-4.929488,-4.818122,0.94280124,0.9428012
28,0.71794873,-3.1943798,-5.877395,-5.2818875,0.99097735,0.9909773
29,0.74358976,-3.7437053,-6.9405446,-5.840604,1.0147451,1.0147451
30,0.7692308,-4.445686,-8.114862,-6.5084357,1.0330364,1.0330365
31,0.7948718,-5.3319044,-9.466984,-7.209801,1.0599715,1.0599716
32,0.82051283,-6.486401,-10.961939,-7.98271,1.0779011,1.0779012
33,0.84615386,-6.8080926,-13.074411,-8.94553,1.0819482,1.0819483
34,0.8717949,-7.7557645,-15.369122,-10.129104,1.0836104,1.0836105
35,0.8974359,-9.623415,-17.754566,-11.226473,1.0842186,1.0842186
36,0.9230769,-12.036081,-20.422709,-12.345094,1.0851302,1.0851302
37,0.94871795,-14.788591,-23.466667,-13.621285,1.0859647,1.0859647
38,0.974359,-17.899254,-26.90667,-15.063524,1.0868098,1.0868098
39,1.0,-21.495361,-30.883495,-16.730837,1.087559,1.087559
