index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,-0.008654449,0.022489054,0.0018905476,0.0034949046,0.0034948946
2,0.051282052,-0.019281486,0.049542982,0.0048200227,0.0074175876,0.0074175713
3,0.07692308,-0.03159653,0.08061176,0.008696472,0.012089465,0.012089451
4,0.102564104,-0.045815736,0.11596136,0.016439766,0.01699342,0.016993413
5,0.12820514,-0.0629863,0.15631856,0.026162777,0.02225513,0.022255134
6,0.15384616,-0.08187755,0.2026633,0.038077094,0.029748855,0.029748864
7,0.17948718,-0.10239902,0.25502402,0.0548845,0.038958106,0.03895811
8,0.20512821,-0.12659271,0.31350592,0.07789568,0.048778873,0.04877888
9,0.23076923,-0.15335447,0.3820479,0.10293023,0.06097172,0.060971722
10,0.25641027,-0.17935586,0.46318564,0.13238911,0.07503524,0.07503523
11,0.2820513,-0.21105427,0.55699617,0.16676053,0.09047168,0.090471685
12,0.30769232,-0.25072882,0.6635488,0.2100896,0.105502024,0.10550204
13,0.33333334,-0.2997501,0.78422415,0.26203898,0.11943527,0.11943527
14,0.35897437,-0.3560408,0.92343575,0.31858912,0.1337513,0.13375132
15,0.3846154,-0.41978416,1.0823395,0.38519174,0.15354387,0.15354389
16,0.41025642,-0.48809642,1.264296,0.46918976,0.17794664,0.17794667
17,0.43589744,-0.55938685,1.4780405,0.5653954,0.20971844,0.20971847
18,0.46153846,-0.64259994,1.7249935,0.6790214,0.25266927,0.2526693
19,0.4871795,-0.7551895,2.0069466,0.80897343,0.3132391,0.31323913
20,0.5128205,-0.9032391,2.3293703,0.9572793,0.40156695,0.40156698
21,0.5384615,-1.0900153,2.6940334,1.133756,0.50112706,0.50112706
22,0.56410253,-1.3115138,3.1164193,1.3253376,0.60521436,0.6052143
23,0.5897436,-1.5190879,3.5879934,1.6087565,0.729059,0.7290589
24,0.61538464,-1.6321274,4.1235723,1.9820609,0.8590108,0.8590107
25,0.64102566,-1.5678562,4.6926637,2.4787595,1.0404817,1.0404816
26,0.6666667,-1.5734873,5.227087,3.1596453,1.3100797,1.3100796
27,0.6923077,-1.549979,5.7708907,3.998084,1.6173015,1.6173013
28,0.71794873,-1.6087681,6.424019,4.9253197,1.9286084,1.9286083
29,0.74358976,-1.7588041,7.0094447,6.095819,2.2877972,2.2877972
30,0.7692308,-2.3034735,7.5667634,7.3944664,2.4681118,2.4681118
31,0.7948718,-2.870857,8.4754095,8.792391,2.6983273,2.6983273
32,0.82051283,-3.5858943,9.357805,10.489665,2.8234742,2.8234742
33,0.84615386,-4.490014,10.225733,12.490929,3.0420232,3.0420232
34,0.8717949,-5.543082,10.461042,15.028312,3.2622387,3.2622387
35,0.8974359,-6.7002354,10.506451,18.040632,3.4048638,3.4048638
36,0.9230769,-8.528589,10.076029,21.198948,3.2555773,3.2555773
37,0.94871795,-11.728113,9.258977,23.917032,2.969378,2.969378
38,0.974359,-13.703889,7.3623776,27.879435,2.1956186,2.1956184
39,1.0,-14.829936,5.7324433,33.053356,2.163082,2.1630816
