index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,-0.01154918,0.01882296,-0.009002015,0.133867,0.13386701
2,0.051282052,-0.024686558,0.042508103,-0.018993223,0.26617393,0.2661739
3,0.07692308,-0.04437173,0.06802533,-0.026879493,0.4062338,0.40623376
4,0.102564104,-0.0704093,0.09501916,-0.035529006,0.5608939,0.56089383
5,0.12820514,-0.10163361,0.12517406,-0.04505281,0.73940974,0.7394097
6,0.15384616,-0.1374392,0.15828131,-0.05785561,0.9634893,0.9634893
7,0.17948718,-0.18517056,0.17358273,-0.07994671,1.1392226,1.1392226
8,0.20512821,-0.25139302,0.17291258,-0.088049576,1.2373834,1.2373832
9,0.23076923,-0.32851747,0.16997486,-0.09051803,1.3543847,1.3543845
10,0.25641027,-0.4176325,0.16128676,-0.09103771,1.5309982,1.5309981
11,0.2820513,-0.52095175,0.16078775,-0.08381557,1.7124572,1.7124571
12,0.30769232,-0.63586783,0.17153469,-0.04831891,1.861133,1.8611329
13,0.33333334,-0.7732519,0.17878206,-0.025426324,1.9841269,1.9841268
14,0.35897437,-0.9305639,0.19671418,-0.0055273715,2.0835185,2.0835183
15,0.3846154,-1.1075653,0.24289836,-0.00020569656,2.1237462,2.123746
16,0.41025642,-1.3005376,0.32661805,-0.0009800007,2.180078,2.1800778
17,0.43589744,-1.5090982,0.4539919,-0.0038274599,2.2690158,2.2690156
18,0.46153846,-1.7477252,0.6068826,-0.0139969215,2.3359053,2.335905
19,0.4871795,-2.0262785,0.77481925,-0.07170379,2.3730705,2.3730702
20,0.5128205,-2.3561726,0.92221427,-0.20098113,2.3864927,2.3864925
21,0.5384615,-2.7380133,1.0961003,-0.3503706,2.3273695,2.3273692
22,0.56410253,-3.1197984,1.3982327,-0.50840914,2.222456,2.2224557
23,0.5897436,-3.4554806,1.8441362,-0.6924888,2.137827,2.1378267
24,0.61538464,-3.7959666,2.368211,-0.9317562,2.05519,2.0551898
25,0.64102566,-4.0845275,3.016675,-1.2023926,1.9204471,1.9204469
26,0.6666667,-4.2900143,3.8048182,-1.4999499,1.7690303,1.7690301
27,0.6923077,-4.3506947,4.686084,-1.9636819,1.5247089,1.5247086
28,0.71794873,-4.305734,5.7182302,-2.4651399,1.2392211,1.2392209
29,0.74358976,-4.2146735,6.9511685,-2.9097538,0.64806294,0.6480628
30,0.7692308,-3.9077487,7.8046227,-3.876143,-0.4788264,-0.47882652
31,0.7948718,-4.154828,7.90013,-5.4415,-1.8742055,-1.8742056
32,0.82051283,-4.260577,8.249319,-7.4260263,-2.333569,-2.333569
33,0.84615386,-4.753273,7.475029,-9.578433,-2.6929572,-2.6929572
34,0.8717949,-4.9876456,6.6416745,-12.158025,-3.0224435,-3.0224435
35,0.8974359,-4.8448825,5.9108953,-15.309489,-3.0228322,-3.0228322
36,0.9230769,-4.2942305,5.4781265,-19.008749,-3.0407724,-3.0407727
37,0.94871795,-3.460415,5.0920115,-23.20681,-3.0662167,-3.066217
38,0.974359,-2.5335455,4.2349415,-27.896547,-3.0750751,-3.0750754
39,1.0,-2.6708412,2.8484597,-33.325222,-3.0886018,-3.088602
