index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,0.0047471197,-0.021058548,-0.01075217,0.0021342314,0.0021342493
2,0.051282052,0.0130261425,-0.045983024,-0.023427345,0.0054361206,0.005436127
3,0.07692308,0.023667246,-0.07441706,-0.037787143,0.0090276245,0.009027628
4,0.102564104,0.036216483,-0.10749827,-0.05374586,0.012826812,0.012826795
5,0.12820514,0.04876624,-0.14686301,-0.07112546,0.017074652,0.017074635
6,0.15384616,0.06402067,-0.19202968,-0.09018056,0.021199236,0.02119922
7,0.17948718,0.082370415,-0.24300303,-0.11252109,0.025768796,0.02576881
8,0.20512821,0.10212076,-0.29963738,-0.14278768,0.03270296,0.032702982
9,0.23076923,0.12816507,-0.3601093,-0.18353403,0.041270304,0.041270312
10,0.25641027,0.15509325,-0.43539122,-0.22457755,0.054128494,0.054128505
11,0.2820513,0.18669191,-0.5251503,-0.26788414,0.072205976,0.07220599
12,0.30769232,0.22735849,-0.6268919,-0.32009706,0.09171739,0.09171739
13,0.33333334,0.2847276,-0.7376743,-0.38323537,0.12152442,0.12152442
14,0.35897437,0.34876135,-0.8613379,-0.4620872,0.15848249,0.15848249
15,0.3846154,0.4142937,-1.0054982,-0.5536387,0.20260093,0.20260093
16,0.41025642,0.47971797,-1.1627123,-0.6783942,0.25498468,0.25498468
17,0.43589744,0.5437418,-1.3580333,-0.80936855,0.3240071,0.3240071
18,0.46153846,0.58639854,-1.6039912,-0.9429853,0.4097048,0.40970477
19,0.4871795,0.6563704,-1.8966572,-1.0757947,0.53011984,0.5301198
20,0.5128205,0.7590889,-2.2547262,-1.1619151,0.6593406,0.65934056
21,0.5384615,0.98992246,-2.6295033,-1.1920683,0.78228027,0.7822802
22,0.56410253,1.4032167,-2.9088836,-1.1309721,0.80188197,0.8018819
23,0.5897436,1.9570795,-3.1005282,-1.1172332,0.8424618,0.84246176
24,0.61538464,2.590035,-3.2504165,-0.98145837,0.9159428,0.9159427
25,0.64102566,3.3408933,-3.2018576,-0.89881945,0.94093513,0.9409351
26,0.6666667,4.187426,-3.0102131,-0.8659303,0.93014956,0.9301495
27,0.6923077,5.121806,-2.6647532,-0.8542837,0.958236,0.9582359
28,0.71794873,6.153354,-2.1752412,-0.9483387,0.8976105,0.8976104
29,0.74358976,7.374816,-1.8143045,-1.268431,0.92502046,0.9250204
30,0.7692308,8.830261,-1.7303543,-1.6229722,1.4287281,1.428728
31,0.7948718,10.3096075,-1.4809595,-2.5337105,1.8465698,1.8465697
32,0.82051283,11.631746,-1.5555925,-4.0835752,1.9517974,1.9517972
33,0.84615386,12.780454,-1.9711914,-6.108062,2.0538945,2.0538943
34,0.8717949,13.988432,-2.9620852,-8.380587,1.9746504,1.9746501
35,0.8974359,15.802258,-4.4559,-10.598683,1.8482975,1.8482972
36,0.9230769,18.350487,-5.7049327,-13.075805,2.233446,2.2334456
37,0.94871795,21.004477,-6.5381694,-16.346254,2.8320131,2.832013
38,0.974359,23.77538,-5.778137,-20.210646,3.4578047,3.4578044
39,1.0,26.123474,-4.8045754,-25.147738,3.8476367,3.8476362
