index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,-0.01634216,-0.012540865,0.010915744,0.103730254,0.10373022
2,0.051282052,-0.03880853,-0.023892641,0.022384137,0.23489732,0.23489733
3,0.07692308,-0.069976784,-0.032521628,0.024905292,0.35255125,0.35255128
4,0.102564104,-0.10468516,-0.046600316,0.022914518,0.49980387,0.49980396
5,0.12820514,-0.14153418,-0.06804129,0.021052517,0.71161675,0.7116168
6,0.15384616,-0.18311632,-0.09534649,0.021283232,0.89305246,0.8930525
7,0.17948718,-0.2288676,-0.12720957,0.009479657,1.0688251,1.0688252
8,0.20512821,-0.27289766,-0.1726316,-0.0072830543,1.2624322,1.2624323
9,0.23076923,-0.3245521,-0.22384402,-0.028490067,1.4516158,1.4516158
10,0.25641027,-0.39203066,-0.28040722,-0.040536974,1.5931756,1.5931756
11,0.2820513,-0.46525532,-0.35252607,-0.049472008,1.7543621,1.7543621
12,0.30769232,-0.56531554,-0.41576147,-0.06575444,1.9049711,1.9049711
13,0.33333334,-0.6853397,-0.48215193,-0.08405341,2.0420353,2.0420353
14,0.35897437,-0.80460656,-0.5848605,-0.0707397,2.1831307,2.1831307
15,0.3846154,-0.94765687,-0.6928416,-0.048551932,2.2971265,2.2971265
16,0.41025642,-1.0804825,-0.8274173,0.03878732,2.4000332,2.4000332
17,0.43589744,-1.2108829,-0.9863925,0.16837764,2.4761186,2.4761186
18,0.46153846,-1.3177754,-1.1857507,0.33762926,2.519249,2.519249
19,0.4871795,-1.4162409,-1.4302256,0.53460765,2.5386772,2.5386772
20,0.5128205,-1.4593722,-1.7378304,0.75634056,2.555199,2.555199
21,0.5384615,-1.4878237,-2.0718634,1.0472976,2.605445,2.605445
22,0.56410253,-1.4942814,-2.4849613,1.3504876,2.646169,2.646169
23,0.5897436,-1.4595271,-2.9961796,1.6361583,2.712302,2.712302
24,0.61538464,-1.3514762,-3.5723052,1.9572095,2.8419917,2.8419917
25,0.64102566,-1.2397697,-4.2245703,2.3322277,3.027389,3.027389
26,0.6666667,-1.1260116,-4.9297385,2.8273957,3.1391687,3.1391687
27,0.6923077,-0.9427165,-5.6654153,3.4776108,3.1944644,3.1944644
28,0.71794873,-0.61482155,-6.4593744,4.242721,3.302771,3.302771
29,0.74358976,-0.10653931,-7.311384,5.1152744,3.52352,3.52352
30,0.7692308,0.4566896,-8.428746,5.98265,3.7181568,3.7181568
31,0.7948718,1.1176283,-9.789407,6.8893833,3.93241,3.93241
32,0.82051283,1.8803623,-11.391775,7.9041915,4.184954,4.184954
33,0.84615386,2.668572,-13.338612,9.002124,4.465851,4.465851
34,0.8717949,3.285478,-15.791432,10.11092,4.8799014,4.8799014
35,0.8974359,3.8766131,-18.800728,11.16206,5.1653786,5.1653786
36,0.9230769,4.266266,-22.278034,12.569296,5.507838,5.507838
37,0.94871795,4.907832,-26.3187,13.884371,5.9344506,5.9344506
38,0.974359,5.1606474,-31.060272,14.866942,6.2604995,6.2604995
39,1.0,4.9129467,-36.58043,15.722894,6.9774666,6.9774666
