index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,-0.0039307578,0.0004182098,-0.02384985,1.555834e-06,1.5504568e-06
2,0.051282052,-0.008681435,0.0009236536,-0.052675642,4.248741e-07,4.2375473e-07
3,0.07692308,-0.014153238,0.0015057854,-0.0858745,8.081779e-06,8.068044e-06
4,0.102564104,-0.020477058,0.0021786836,-0.12424436,1.1783381e-05,1.1763239e-05
5,0.12820514,-0.027781013,0.0029557776,-0.16856119,1.4607725e-05,1.4558319e-05
6,0.15384616,-0.03614638,0.0038458249,-0.21931738,2.1784734e-05,2.1728512e-05
7,0.17948718,-0.0456981,0.004862145,-0.2772723,2.625661e-05,2.6195336e-05
8,0.20512821,-0.0566481,0.006027306,-0.34371144,3.0328065e-05,3.025442e-05
9,0.23076923,-0.06928727,0.0073720478,-0.42039993,2.7574024e-05,2.7504779e-05
10,0.25641027,-0.083948165,0.008931913,-0.50935656,2.4615187e-05,2.4554874e-05
11,0.2820513,-0.100991346,0.01074524,-0.6127682,2.407416e-05,2.4032368e-05
12,0.30769232,-0.12077671,0.012850208,-0.732816,3.28284e-05,3.278743e-05
13,0.33333334,-0.14357777,0.015276063,-0.8711627,4.0237715e-05,4.02139e-05
14,0.35897437,-0.16965595,0.018050818,-1.0293859,5.8507303e-05,5.8472124e-05
15,0.3846154,-0.19951715,0.021227973,-1.2105715,7.1470546e-05,7.144042e-05
16,0.41025642,-0.2339363,0.02489025,-1.4194053,8.9905196e-05,8.988718e-05
17,0.43589744,-0.27377164,0.029129209,-1.661089,0.000120856814,0.00012082615
18,0.46153846,-0.31998828,0.034046285,-1.941494,0.000115101146,0.00011505844
19,0.4871795,-0.3737479,0.039767005,-2.2676766,0.000121987774,0.00012193554
20,0.5128205,-0.4363075,0.04642397,-2.6472533,0.00011143318,0.00011137716
21,0.5384615,-0.5088655,0.05414329,-3.0874798,0.00016715894,0.00016712568
22,0.56410253,-0.59249014,0.063040674,-3.5948744,0.00020153096,0.00020148706
23,0.5897436,-0.6881741,0.07322224,-4.1754365,0.00023105825,0.00023099963
24,0.61538464,-0.7970616,0.084811814,-4.8360443,0.00026380413,0.0002637575
25,0.64102566,-0.9208981,0.09798896,-5.5874104,0.00029481688,0.0002947533
26,0.6666667,-1.0624608,0.11305074,-6.4463463,0.00035203123,0.00035196182
27,0.6923077,-1.225208,0.13036625,-7.4338055,0.00048395921,0.00048388843
28,0.71794873,-1.4123623,0.15027772,-8.569321,0.0004769503,0.00047688725
29,0.74358976,-1.6272228,0.1731374,-9.872971,0.00046060947,0.00046055578
30,0.7692308,-1.8748087,0.19948184,-11.37518,0.00052708545,0.00052703574
31,0.7948718,-2.161477,0.22998574,-13.114579,0.00050732424,0.00050727406
32,0.82051283,-2.4937007,0.26533777,-15.130355,0.0007185478,0.00071848935
33,0.84615386,-2.8790069,0.30633178,-17.468208,0.0011985883,0.0011985344
34,0.8717949,-3.3284264,0.35417363,-20.194948,0.0012136209,0.0012135588
35,0.8974359,-3.8553896,0.41026628,-23.39181,0.0017516094,0.0017515528
36,0.9230769,-4.4685254,0.47552654,-27.11131,0.0019880014,0.0019879236
37,0.94871795,-5.16798,0.549977,-31.354647,0.0021943497,0.0021942654
38,0.974359,-5.9584618,0.63412505,-36.149986,0.0025308286,0.002530733
39,1.0,-6.872468,0.7314496,-41.693527,0.0031025289,0.003102437
