index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,-0.012599731,0.00857053,-0.018798929,0.005453241,0.0054532317
2,0.051282052,-0.027724352,0.01891853,-0.041602872,0.012077277,0.012077266
3,0.07692308,-0.044905394,0.031029958,-0.06795231,0.01967191,0.019671869
4,0.102564104,-0.06456803,0.045077503,-0.098523594,0.028380346,0.028380277
5,0.12820514,-0.08711038,0.061549753,-0.13383842,0.03809781,0.038097728
6,0.15384616,-0.112724416,0.08071147,-0.174278,0.049076416,0.049076337
7,0.17948718,-0.14160828,0.103362635,-0.22031435,0.061424267,0.061424203
8,0.20512821,-0.17397702,0.13097423,-0.27270624,0.075906105,0.075906046
9,0.23076923,-0.21069366,0.16408089,-0.332928,0.09208654,0.09208648
10,0.25641027,-0.25526112,0.20318629,-0.401141,0.110223904,0.11022386
11,0.2820513,-0.3071237,0.2482839,-0.48062113,0.13096023,0.13096017
12,0.30769232,-0.3635553,0.30133927,-0.5748671,0.15300384,0.1530038
13,0.33333334,-0.42640606,0.36321238,-0.6843669,0.17706767,0.17706762
14,0.35897437,-0.49906662,0.43689144,-0.80744314,0.20479771,0.2047977
15,0.3846154,-0.5741309,0.52207386,-0.9523758,0.23634619,0.23634617
16,0.41025642,-0.64923716,0.61929184,-1.1254095,0.27109182,0.2710918
17,0.43589744,-0.7270165,0.7304862,-1.3301651,0.3085703,0.30857027
18,0.46153846,-0.8096149,0.85935813,-1.5705866,0.34481734,0.34481728
19,0.4871795,-0.9074252,1.0136645,-1.8472544,0.38736668,0.38736662
20,0.5128205,-1.0220906,1.1932924,-2.1688714,0.43882498,0.43882492
21,0.5384615,-1.1590747,1.4123552,-2.534148,0.49850017,0.4985001
22,0.56410253,-1.3032346,1.6707574,-2.9564316,0.56110567,0.5611056
23,0.5897436,-1.4255999,1.9644144,-3.45354,0.62629306,0.626293
24,0.61538464,-1.5569967,2.3134332,-4.011929,0.68823344,0.6882334
25,0.64102566,-1.7177708,2.7256584,-4.6346865,0.748854,0.7488539
26,0.6666667,-1.8925477,3.150844,-5.3770146,0.8225499,0.8225498
27,0.6923077,-2.097665,3.671614,-6.2102304,0.9217422,0.9217421
28,0.71794873,-2.306691,4.307663,-7.1502023,1.0260262,1.0260261
29,0.74358976,-2.635249,5.0278373,-8.212133,1.1418128,1.1418127
30,0.7692308,-2.9688838,5.9137087,-9.409135,1.246794,1.2467939
31,0.7948718,-3.349732,6.932186,-10.801107,1.3316524,1.3316523
32,0.82051283,-3.9286027,8.057239,-12.409116,1.4359453,1.4359452
33,0.84615386,-4.830663,9.357969,-14.178339,1.4909294,1.4909294
34,0.8717949,-5.910311,10.847347,-16.245575,1.611182,1.611182
35,0.8974359,-7.1164184,12.52458,-18.748915,1.7157599,1.7157599
36,0.9230769,-8.579268,14.515312,-21.600834,1.8600708,1.860071
37,0.94871795,-10.389613,17.036396,-24.581387,2.0312917,2.0312917
38,0.974359,-12.665583,20.061779,-27.614624,2.1775963,2.1775963
39,1.0,-15.616076,23.86647,-30.473263,2.6000757,2.6000757
