index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,0.020416245,0.010042842,-0.008144376,0.07744267,0.07744267
2,0.051282052,0.044816498,0.022448875,-0.018427381,0.1739918,0.17399177
3,0.07692308,0.07306645,0.036431964,-0.030303434,0.27967313,0.2796731
4,0.102564104,0.10617882,0.051431987,-0.04422301,0.38767454,0.38767448
5,0.12820514,0.14496022,0.06744489,-0.060441792,0.5118591,0.51185906
6,0.15384616,0.19004369,0.090113655,-0.06985835,0.61936265,0.6193626
7,0.17948718,0.2442027,0.11226536,-0.07545924,0.7429151,0.742915
8,0.20512821,0.30745742,0.13574445,-0.07651167,0.87044495,0.87044483
9,0.23076923,0.3810497,0.1610483,-0.074455805,0.9988013,0.99880123
10,0.25641027,0.46623945,0.19111344,-0.07399212,1.1336908,1.1336908
11,0.2820513,0.5646798,0.22622316,-0.06384559,1.269973,1.2699729
12,0.30769232,0.6795121,0.26369372,-0.047822222,1.4224149,1.4224148
13,0.33333334,0.8134693,0.30065113,-0.027526213,1.6212106,1.6212105
14,0.35897437,0.95080954,0.34051925,0.043378934,1.7229241,1.722924
15,0.3846154,1.0889697,0.39030936,0.15399078,1.7810909,1.7810907
16,0.41025642,1.2378551,0.42866692,0.29985082,1.8292687,1.8292686
17,0.43589744,1.3962991,0.44801337,0.48605835,1.8052535,1.8052534
18,0.46153846,1.5516121,0.45993337,0.7236962,1.7731549,1.7731547
19,0.4871795,1.682085,0.4548864,1.02718,1.7845817,1.7845815
20,0.5128205,1.7836485,0.4641349,1.3969442,1.8482087,1.8482085
21,0.5384615,1.8548641,0.5415799,1.8313853,1.853607,1.8536069
22,0.56410253,1.9147087,0.65665877,2.3297522,1.8282797,1.8282796
23,0.5897436,1.921941,0.77306783,2.9072874,1.7843434,1.7843432
24,0.61538464,1.9445019,0.88948125,3.5676677,1.720308,1.7203078
25,0.64102566,1.910812,1.0748688,4.3072205,1.6089646,1.6089644
26,0.6666667,1.7715154,1.3205671,5.1316733,1.4047652,1.4047651
27,0.6923077,1.522646,1.6710811,6.0354824,1.0636945,1.0636944
28,0.71794873,1.1431842,2.1806593,6.997148,0.8521056,0.8521055
29,0.74358976,0.7027708,2.7652943,8.099942,0.64218736,0.6421872
30,0.7692308,0.24314266,3.4512815,9.380385,0.48059988,0.4805997
31,0.7948718,-0.22971085,4.5148945,10.704623,0.48029456,0.48029438
32,0.82051283,-0.9398173,5.842411,12.088174,0.4485537,0.4485535
33,0.84615386,-1.5418024,7.6805105,13.447714,0.41326746,0.41326725
34,0.8717949,-2.3019445,9.968149,14.787363,0.6134726,0.61347234
35,0.8974359,-3.0507202,12.707274,16.35435,0.7139052,0.713905
36,0.9230769,-3.8148239,15.929202,18.165234,0.7435673,0.74356705
37,0.94871795,-4.8131385,19.703743,19.979156,0.75571233,0.7557121
38,0.974359,-5.946171,24.160332,21.524118,0.75737745,0.7573772
39,1.0,-5.8961387,29.440645,23.284996,0.75246555,0.7524653
