index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,-0.008527793,-0.020983055,-0.008433881,0.009547023,0.009547014
2,0.051282052,-0.018471275,-0.04646922,-0.018667765,0.021355662,0.021355651
3,0.07692308,-0.029412732,-0.075368434,-0.031905957,0.03585764,0.035857636
4,0.102564104,-0.04251925,-0.1071384,-0.050118238,0.050521914,0.050521895
5,0.12820514,-0.057269588,-0.14429067,-0.07067054,0.065945745,0.065945715
6,0.15384616,-0.07431571,-0.18629658,-0.0950256,0.083047695,0.08304767
7,0.17948718,-0.09846686,-0.23182523,-0.12330565,0.09998491,0.0999849
8,0.20512821,-0.1274825,-0.28407392,-0.15448777,0.11716877,0.117168754
9,0.23076923,-0.16178568,-0.34449977,-0.18955442,0.1353711,0.13537109
10,0.25641027,-0.19923067,-0.41655678,-0.22896075,0.15598544,0.15598546
11,0.2820513,-0.24360631,-0.498523,-0.27718833,0.17955238,0.17955242
12,0.30769232,-0.2914074,-0.59200126,-0.3390199,0.21006134,0.21006142
13,0.33333334,-0.34241268,-0.70504063,-0.4048416,0.24249221,0.24249227
14,0.35897437,-0.4073556,-0.8335437,-0.47614396,0.2703837,0.27038378
15,0.3846154,-0.47892725,-0.9835551,-0.5552286,0.30192113,0.3019212
16,0.41025642,-0.5590506,-1.1544862,-0.65169686,0.32790706,0.32790715
17,0.43589744,-0.64202094,-1.3470391,-0.77943623,0.35310885,0.35310894
18,0.46153846,-0.7419637,-1.5611513,-0.9387114,0.37602618,0.37602624
19,0.4871795,-0.8606739,-1.8157691,-1.1147788,0.39938328,0.3993833
20,0.5128205,-1.0231012,-2.1107507,-1.3032718,0.4232331,0.42323312
21,0.5384615,-1.2024025,-2.4535723,-1.5279841,0.44827634,0.44827637
22,0.56410253,-1.3982698,-2.8583343,-1.7809695,0.47234035,0.47234038
23,0.5897436,-1.5996816,-3.3368132,-2.061436,0.49996302,0.49996305
24,0.61538464,-1.8288125,-3.8618627,-2.4122367,0.53199023,0.5319903
25,0.64102566,-2.0887644,-4.454942,-2.8167913,0.5655898,0.56558985
26,0.6666667,-2.3457284,-5.1266,-3.3111596,0.5965063,0.59650636
27,0.6923077,-2.6563563,-5.9024925,-3.8669312,0.6144942,0.6144943
28,0.71794873,-2.9681296,-6.7940955,-4.529382,0.6326187,0.6326189
29,0.74358976,-3.314229,-7.8363366,-5.26863,0.6539264,0.65392655
30,0.7692308,-3.4493902,-9.07437,-6.148655,0.6811111,0.6811112
31,0.7948718,-3.4507313,-10.562283,-7.0996904,0.71144795,0.7114481
32,0.82051283,-3.2829435,-12.307644,-8.154387,0.7505405,0.7505406
33,0.84615386,-2.909854,-14.398418,-9.205034,0.8306516,0.8306517
34,0.8717949,-3.159879,-16.74656,-10.612061,1.004963,1.0049633
35,0.8974359,-4.043541,-19.309736,-11.630283,1.3336112,1.3336115
36,0.9230769,-5.519908,-22.16843,-13.102846,1.6913793,1.6913795
37,0.94871795,-7.1369348,-25.244003,-13.562034,3.0579112,3.0579114
38,0.974359,-9.434147,-27.58429,-12.042868,5.839506,5.839506
39,1.0,-12.318901,-28.657167,-16.47657,6.7426353,6.742635
