index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,-0.020781653,-0.008685788,0.008759364,-2.9680057e-06,-2.9734688e-06
2,0.051282052,-0.04589854,-0.019183436,0.019345831,-5.5661567e-06,-5.576698e-06
3,0.07692308,-0.07482504,-0.03127323,0.031537704,-8.885678e-06,-8.9025525e-06
4,0.102564104,-0.108256064,-0.045245796,0.04562847,-1.5674494e-05,-1.5699019e-05
5,0.12820514,-0.14686796,-0.06138365,0.061902955,-2.1595224e-05,-2.1640399e-05
6,0.15384616,-0.19109012,-0.07986626,0.08054149,-2.9227675e-05,-2.9267521e-05
7,0.17948718,-0.24158472,-0.100970015,0.101822056,-3.1700503e-05,-3.1745014e-05
8,0.20512821,-0.2994705,-0.12516332,0.12621969,-3.5591616e-05,-3.5633995e-05
9,0.23076923,-0.3662855,-0.15308902,0.15438212,-3.6753143e-05,-3.679704e-05
10,0.25641027,-0.44378865,-0.18548205,0.18705046,-4.40188e-05,-4.404576e-05
11,0.2820513,-0.5338867,-0.22313844,0.22502466,-5.6982048e-05,-5.7017438e-05
12,0.30769232,-0.6384779,-0.26685292,0.26910993,-5.944265e-05,-5.9479524e-05
13,0.33333334,-0.7590149,-0.3172299,0.31990808,-6.208665e-05,-6.2099105e-05
14,0.35897437,-0.8968678,-0.37484497,0.37800834,-7.176094e-05,-7.177629e-05
15,0.3846154,-1.0547273,-0.4408213,0.4445384,-7.5016265e-05,-7.503031e-05
16,0.41025642,-1.2366716,-0.5168663,0.5212296,-8.902794e-05,-8.904697e-05
17,0.43589744,-1.44724,-0.60487276,0.6099766,-9.2530856e-05,-9.2559356e-05
18,0.46153846,-1.6915445,-0.70697874,0.71294314,-0.000117253025,-0.000117268035
19,0.4871795,-1.9757285,-0.8257558,0.8327294,-0.00017229104,-0.00017230563
20,0.5128205,-2.306434,-0.9639753,0.97212094,-0.00021411816,-0.00021412026
21,0.5384615,-2.6899812,-1.1242808,1.1337861,-0.00026243765,-0.00026243084
22,0.56410253,-3.1320515,-1.3090447,1.3201137,-0.00032548103,-0.00032547492
23,0.5897436,-3.6378706,-1.5204518,1.533316,-0.00040652824,-0.00040653005
24,0.61538464,-4.2134323,-1.7610104,1.7759211,-0.00045854322,-0.00045854313
25,0.64102566,-4.868071,-2.0346205,2.0518577,-0.0005881726,-0.00058815256
26,0.6666667,-5.616452,-2.3473997,2.3672671,-0.00059659977,-0.0005965897
27,0.6923077,-6.476816,-2.7069855,2.7298815,-0.0006752351,-0.00067522377
28,0.71794873,-7.4661713,-3.1204932,3.146905,-0.00072684966,-0.00072685344
29,0.74358976,-8.602053,-3.5952253,3.6256278,-0.0007640552,-0.00076405454
30,0.7692308,-9.910935,-4.1422744,4.177306,-0.0009002686,-0.0009002659
31,0.7948718,-11.426493,-4.7757044,4.816097,-0.00093247654,-0.0009324752
32,0.82051283,-13.182875,-5.5097904,5.5563884,-0.0010767534,-0.0010767456
33,0.84615386,-15.21994,-6.3611627,6.414896,-0.0014534058,-0.001453396
34,0.8717949,-17.59582,-7.3541756,7.416353,-0.0018431561,-0.0018431311
35,0.8974359,-20.3814,-8.518398,8.590385,-0.0021065292,-0.002106506
36,0.9230769,-23.622433,-9.872939,9.956337,-0.0024557116,-0.0024556855
37,0.94871795,-27.319906,-11.418308,11.514736,-0.0028217789,-0.0028217412
38,0.974359,-31.498453,-13.164704,13.275843,-0.0034805476,-0.0034805022
39,1.0,-36.32899,-15.183628,15.311867,-0.004397255,-0.004397208
