index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,-0.011254403,0.015221598,0.014674594,0.10107029,0.1010703
2,0.051282052,-0.02595012,0.033297144,0.031809844,0.21820411,0.21820413
3,0.07692308,-0.047030468,0.05214817,0.049491614,0.3261662,0.3261662
4,0.102564104,-0.07438047,0.07240847,0.067545325,0.4240569,0.42405686
5,0.12820514,-0.09860359,0.09337781,0.09782463,0.74678946,0.7467894
6,0.15384616,-0.13000013,0.11873363,0.12831856,1.0635595,1.0635594
7,0.17948718,-0.17529479,0.13174057,0.15708111,1.3331656,1.3331656
8,0.20512821,-0.23875138,0.11788881,0.1696752,1.4503164,1.4503164
9,0.23076923,-0.31573883,0.11289224,0.16527532,1.4467788,1.4467788
10,0.25641027,-0.399,0.10619808,0.13312736,1.4345226,1.4345226
11,0.2820513,-0.49542946,0.10154664,0.09278292,1.417768,1.417768
12,0.30769232,-0.5761002,0.052085686,0.03096899,1.5484699,1.5484699
13,0.33333334,-0.6448196,0.029025158,-0.087161705,1.7518247,1.7518247
14,0.35897437,-0.668837,-0.042690292,-0.22774963,2.1221774,2.1221774
15,0.3846154,-0.7340008,-0.083778605,-0.38692677,2.3714738,2.3714738
16,0.41025642,-0.90824354,-0.07491879,-0.50612056,2.3791037,2.3791037
17,0.43589744,-1.1161158,-0.057658438,-0.6343494,2.3719978,2.3719978
18,0.46153846,-1.3628321,-0.0478364,-0.7743614,2.352704,2.352704
19,0.4871795,-1.6736579,-0.028030546,-0.88334215,2.3155873,2.3155873
20,0.5128205,-2.047659,-0.008679805,-0.9701019,2.2751608,2.2751608
21,0.5384615,-2.4880471,0.015158072,-1.0357937,2.20318,2.20318
22,0.56410253,-2.9983373,0.014206616,-1.0980164,2.1015573,2.1015573
23,0.5897436,-3.5798306,0.012198776,-1.1850128,1.977583,1.977583
24,0.61538464,-4.2469215,0.025550475,-1.2287642,1.8666506,1.8666506
25,0.64102566,-5.0065975,0.0175859,-1.1985129,1.771127,1.771127
26,0.6666667,-5.8728085,-0.038984433,-1.158788,1.6913897,1.6913897
27,0.6923077,-6.8670793,-0.13239646,-1.1230102,1.6761619,1.6761619
28,0.71794873,-7.983049,-0.3617631,-0.9783418,1.8596298,1.8596298
29,0.74358976,-9.279034,-0.5612217,-0.948842,2.0692396,2.0692396
30,0.7692308,-10.741725,-0.90492046,-1.1712086,2.2619953,2.2619953
31,0.7948718,-12.383169,-1.3384966,-1.602944,2.45969,2.45969
32,0.82051283,-14.089051,-1.6223061,-2.6777577,2.6893363,2.6893363
33,0.84615386,-16.252968,-1.9721601,-3.5544114,3.293413,3.293413
34,0.8717949,-18.818348,-2.4645145,-4.4370203,4.1538787,4.1538787
35,0.8974359,-21.260958,-3.5644372,-6.144315,4.4700427,4.4700427
36,0.9230769,-24.270493,-5.124673,-7.693542,4.2201056,4.2201056
37,0.94871795,-28.463636,-5.8484545,-8.320459,4.522043,4.522043
38,0.974359,-32.811398,-7.1542263,-10.002239,4.2210703,4.2210703
39,1.0,-37.60339,-8.660223,-12.521287,3.5809855,3.5809855
