index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,-0.017715639,-0.013385188,0.009487418,0.08882659,0.08882658
2,0.051282052,-0.038780034,-0.02957717,0.021551713,0.19225295,0.19225293
3,0.07692308,-0.06314883,-0.04659514,0.037164524,0.31002215,0.31002212
4,0.102564104,-0.091433994,-0.063831285,0.05742667,0.44570386,0.4457038
5,0.12820514,-0.12804766,-0.0795163,0.07784408,0.6088497,0.60884964
6,0.15384616,-0.17103477,-0.09552593,0.10088849,0.7642867,0.76428664
7,0.17948718,-0.22556402,-0.10351661,0.12007278,0.95384604,0.953846
8,0.20512821,-0.2890049,-0.11314803,0.13997944,1.1528205,1.1528203
9,0.23076923,-0.36346394,-0.11845111,0.15937555,1.3629928,1.3629926
10,0.25641027,-0.44934535,-0.1127374,0.18406178,1.6676654,1.6676652
11,0.2820513,-0.5469893,-0.10428277,0.22033732,2.060314,2.0603137
12,0.30769232,-0.6623826,-0.09078588,0.25495067,2.5145514,2.5145512
13,0.33333334,-0.7902524,-0.066856444,0.30121848,3.019608,3.019608
14,0.35897437,-0.9316341,-0.03707706,0.36857936,3.5076528,3.507653
15,0.3846154,-1.0343887,-0.06798602,0.51430476,3.7315814,3.7315817
16,0.41025642,-1.1755987,-0.07015815,0.6687295,3.9649217,3.964922
17,0.43589744,-1.3570459,-0.07091523,0.8309463,4.2885866,4.288587
18,0.46153846,-1.5443689,-0.13504349,1.0346698,4.411834,4.4118342
19,0.4871795,-1.7507775,-0.24252063,1.2688816,4.535837,4.5358377
20,0.5128205,-1.9450969,-0.22295427,1.5969076,4.620622,4.6206226
21,0.5384615,-2.1239424,-0.13542835,1.9964234,4.6930695,4.69307
22,0.56410253,-2.336435,-0.028736606,2.4530165,4.7545238,4.754524
23,0.5897436,-2.6270201,0.056719236,2.9568644,4.7929797,4.79298
24,0.61538464,-2.9696925,0.103398174,3.5307658,4.8335295,4.83353
25,0.64102566,-3.4189153,0.16427726,4.1433706,4.879669,4.8796697
26,0.6666667,-3.8510473,0.24380861,4.8927884,4.9171643,4.917165
27,0.6923077,-4.224696,0.41390353,5.8062954,4.951471,4.9514713
28,0.71794873,-4.6618867,0.6508318,6.8455906,4.984911,4.9849114
29,0.74358976,-5.154775,0.96230173,8.032987,5.012613,5.0126133
30,0.7692308,-5.7353907,1.5766492,9.293072,5.0508795,5.05088
31,0.7948718,-6.3551054,2.3979318,10.72689,5.08521,5.0852103
32,0.82051283,-7.1118135,3.290709,12.395503,5.1186786,5.118679
33,0.84615386,-7.7042866,4.0585103,14.555929,5.1365075,5.136508
34,0.8717949,-8.091939,5.506018,16.801762,5.1401253,5.1401258
35,0.8974359,-8.935867,8.283472,18.102388,5.1500773,5.150078
36,0.9230769,-10.4979105,11.516001,19.26649,5.148804,5.1488047
37,0.94871795,-14.029446,10.477362,21.46221,5.148334,5.1483345
38,0.974359,-18.02057,9.30358,23.943682,5.146682,5.1466823
39,1.0,-22.634632,7.946566,26.812424,5.1453624,5.145363
