index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,0.009731189,-0.010147379,0.0193444,0.014173557,0.014173569
2,0.051282052,0.021258775,-0.02255147,0.042815212,0.028682927,0.02868294
3,0.07692308,0.035634615,-0.036859095,0.06926747,0.042544518,0.04254453
4,0.102564104,0.054853644,-0.05296365,0.09853816,0.054393344,0.05439335
5,0.12820514,0.08167176,-0.07135938,0.12903185,0.06899874,0.068998754
6,0.15384616,0.11067742,-0.09516028,0.16364715,0.073137924,0.07313795
7,0.17948718,0.14436585,-0.12241402,0.20280202,0.0741228,0.07412282
8,0.20512821,0.18466309,-0.15310155,0.24656165,0.07322258,0.07322256
9,0.23076923,0.23260815,-0.18783371,0.2962417,0.07230016,0.07230014
10,0.25641027,0.28676692,-0.22805148,0.35533082,0.06849616,0.06849617
11,0.2820513,0.3501888,-0.26893997,0.4272332,0.061671697,0.06167171
12,0.30769232,0.42927176,-0.3084681,0.5099593,0.048761938,0.04876194
13,0.33333334,0.5140386,-0.3532681,0.61151713,0.031657934,0.031657945
14,0.35897437,0.6092444,-0.39344382,0.73323864,0.0074733794,0.007473374
15,0.3846154,0.7234889,-0.41451806,0.8744005,-0.030744758,-0.030744756
16,0.41025642,0.86183155,-0.4224426,1.033226,-0.08886626,-0.08886627
17,0.43589744,1.0305697,-0.4078574,1.2064536,-0.16930148,-0.16930145
18,0.46153846,1.2536327,-0.35249907,1.3706738,-0.268987,-0.26898694
19,0.4871795,1.5086061,-0.32260555,1.5758268,-0.33970913,-0.33970907
20,0.5128205,1.7958224,-0.33877832,1.8284297,-0.37211615,-0.37211606
21,0.5384615,2.1299982,-0.37494242,2.1192021,-0.42234954,-0.42234945
22,0.56410253,2.4812887,-0.49079305,2.4681556,-0.46264422,-0.46264416
23,0.5897436,2.7596989,-0.6865554,2.942657,-0.52719307,-0.52719307
24,0.61538464,2.9612215,-0.9750394,3.5073578,-0.71011704,-0.71011704
25,0.64102566,3.1147106,-1.3765824,4.130501,-0.9315346,-0.9315346
26,0.6666667,3.3627236,-1.952275,4.72452,-1.2302866,-1.2302866
27,0.6923077,3.630409,-2.715897,5.2981453,-1.5059707,-1.5059707
28,0.71794873,3.6732304,-3.6862805,5.906539,-1.8575716,-1.8575716
29,0.74358976,3.586569,-4.8567877,6.505081,-2.1281204,-2.1281204
30,0.7692308,3.3520186,-6.241895,7.0803,-2.3413546,-2.3413544
31,0.7948718,2.9813282,-7.867789,7.641714,-2.5807698,-2.5807695
32,0.82051283,2.3590558,-9.745969,8.128526,-2.8401992,-2.840199
33,0.84615386,1.3834105,-11.843904,8.60885,-3.224028,-3.2240279
34,0.8717949,0.45932746,-14.428024,8.87009,-3.6282096,-3.6282096
35,0.8974359,-0.69251776,-17.345531,9.667689,-4.0105543,-4.0105543
36,0.9230769,-2.0375257,-20.564333,11.017317,-4.29749,-4.29749
37,0.94871795,-4.054031,-23.837767,12.913875,-4.56009,-4.56009
38,0.974359,-6.8100634,-26.940027,15.401258,-5.3077717,-5.3077717
39,1.0,-10.550474,-30.094648,17.936586,-6.134995,-6.134995
