index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,-0.003199316,-0.011760519,0.02078547,0.009484789,0.009484792
2,0.051282052,-0.007201263,-0.025714263,0.046032302,0.020652656,0.020652663
3,0.07692308,-0.012060171,-0.041955292,0.07496953,0.033268146,0.033268146
4,0.102564104,-0.018507453,-0.060949653,0.10812801,0.047210135,0.04721015
5,0.12820514,-0.02708184,-0.08309929,0.14602324,0.06282985,0.06282987
6,0.15384616,-0.03851012,-0.10416488,0.19133653,0.08245116,0.08245118
7,0.17948718,-0.051918525,-0.12997158,0.24215204,0.102892965,0.10289298
8,0.20512821,-0.06866871,-0.15928793,0.30015552,0.12492054,0.12492055
9,0.23076923,-0.09231676,-0.18999411,0.36723176,0.14633977,0.14633979
10,0.25641027,-0.11805208,-0.22390144,0.4464448,0.17137222,0.17137225
11,0.2820513,-0.1501812,-0.26289764,0.537932,0.19452955,0.19452958
12,0.30769232,-0.19205225,-0.30614913,0.64331007,0.22101247,0.22101253
13,0.33333334,-0.2434389,-0.35537332,0.76363164,0.22074752,0.22074759
14,0.35897437,-0.3017075,-0.41786262,0.89882386,0.21950817,0.21950823
15,0.3846154,-0.36235976,-0.49048686,1.0556056,0.21811263,0.21811269
16,0.41025642,-0.43179,-0.5770098,1.2351615,0.21852233,0.21852237
17,0.43589744,-0.50225306,-0.6874414,1.4412977,0.24967965,0.24967968
18,0.46153846,-0.568961,-0.8184705,1.683567,0.2862876,0.28628764
19,0.4871795,-0.636832,-0.97267294,1.9670401,0.28953525,0.28953528
20,0.5128205,-0.69191015,-1.1707262,2.290767,0.33014768,0.3301477
21,0.5384615,-0.7265992,-1.4384471,2.6450455,0.34566814,0.34566817
22,0.56410253,-0.7698066,-1.7534562,3.0481243,0.36133283,0.36133286
23,0.5897436,-0.77779907,-2.142033,3.488456,0.37765372,0.37765375
24,0.61538464,-0.75444674,-2.5872972,3.9863887,0.3911367,0.39113674
25,0.64102566,-0.7129835,-3.1065087,4.5402107,0.40702927,0.4070293
26,0.6666667,-0.6489235,-3.7056952,5.166685,0.42158222,0.42158225
27,0.6923077,-0.5738575,-4.4183335,5.863958,0.43564567,0.4356457
28,0.71794873,-0.56144214,-5.2322006,6.67648,0.4441695,0.44416952
29,0.74358976,-0.64915174,-6.1601152,7.6118927,0.46053982,0.46053985
30,0.7692308,-0.7636442,-7.298888,8.61273,0.4757367,0.4757367
31,0.7948718,-0.83496886,-8.76053,9.594441,0.4881815,0.4881815
32,0.82051283,-0.7199934,-10.618897,10.389224,0.49457353,0.4945735
33,0.84615386,0.57202095,-12.489773,10.68288,0.49390334,0.4939033
34,0.8717949,2.3257134,-14.553234,11.182525,0.49439275,0.4943927
35,0.8974359,4.387108,-16.960732,11.844712,0.49498042,0.49498037
36,0.9230769,6.7855377,-19.761871,12.615167,0.49573845,0.4957384
37,0.94871795,9.521795,-22.957567,13.494153,0.49734408,0.49734402
38,0.974359,12.614096,-26.56904,14.487511,0.49845725,0.49845722
39,1.0,16.188942,-30.744127,15.635862,0.49982944,0.4998294
