index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,-0.019726563,0.012641063,0.004513437,0.11061121,0.11061121
2,0.051282052,-0.039125986,0.03347875,0.0093961805,0.23505092,0.23505092
3,0.07692308,-0.037597634,0.06540927,0.0038821092,0.39959228,0.39959225
4,0.102564104,-0.033496145,0.100462005,-0.011227894,0.5405114,0.54051137
5,0.12820514,-0.017492935,0.118168674,-0.04745255,0.72999865,0.7299986
6,0.15384616,0.007835548,0.13352464,-0.08798418,0.9230393,0.92303926
7,0.17948718,0.039784644,0.15439968,-0.13221768,1.1200432,1.1200432
8,0.20512821,0.06659211,0.15382576,-0.19144961,1.3202558,1.3202558
9,0.23076923,0.0689933,0.13346122,-0.2626714,1.6147677,1.6147677
10,0.25641027,0.033667494,0.14917088,-0.34196094,1.8533623,1.8533623
11,0.2820513,-0.024583023,0.17284803,-0.42456368,2.0524795,2.0524795
12,0.30769232,-0.1076756,0.18609333,-0.51103866,2.3013778,2.3013778
13,0.33333334,-0.22456703,0.21605937,-0.5712806,2.590942,2.590942
14,0.35897437,-0.37216783,0.27042398,-0.5994622,2.7639499,2.7639499
15,0.3846154,-0.54209256,0.3281117,-0.63736093,2.9623597,2.9623597
16,0.41025642,-0.7357649,0.40122575,-0.67892015,3.20888,3.20888
17,0.43589744,-0.9621062,0.48744446,-0.7069304,3.4886887,3.4886887
18,0.46153846,-1.2267141,0.5903432,-0.7023654,3.7535138,3.7535138
19,0.4871795,-1.5388615,0.6967251,-0.675971,3.989368,3.989368
20,0.5128205,-1.9065692,0.79675794,-0.6257537,4.256974,4.256974
21,0.5384615,-2.3208091,0.94655997,-0.55934125,4.576001,4.576001
22,0.56410253,-2.7860856,1.162951,-0.5889761,4.8906326,4.8906326
23,0.5897436,-3.325526,1.3974168,-0.61411923,5.1724777,5.1724777
24,0.61538464,-3.9651437,1.5956893,-0.6115984,5.4524746,5.4524746
25,0.64102566,-4.682288,1.847959,-0.5735917,5.7948465,5.7948465
26,0.6666667,-5.4819736,2.192546,-0.59494215,6.11499,6.11499
27,0.6923077,-6.387495,2.601154,-0.71866924,6.388299,6.388299
28,0.71794873,-7.4068174,3.1339405,-0.78813195,6.652645,6.652645
29,0.74358976,-8.664934,3.493052,-0.9768895,6.9125066,6.9125066
30,0.7692308,-10.067709,3.8175871,-1.4790373,7.1202364,7.1202364
31,0.7948718,-11.647469,4.2231526,-2.1548288,7.26475,7.26475
32,0.82051283,-13.37335,4.8524494,-3.0567505,7.3789353,7.3789353
33,0.84615386,-15.318289,5.635944,-4.1708846,7.4773374,7.4773374
34,0.8717949,-17.630215,6.6556764,-5.294689,7.4702916,7.4702916
35,0.8974359,-20.180288,8.181063,-6.591112,7.181276,7.181276
36,0.9230769,-23.427246,9.885965,-7.4258833,6.532785,6.532785
37,0.94871795,-27.029123,12.185547,-7.8310175,6.186559,6.186559
38,0.974359,-30.99008,14.862703,-8.66148,6.1781764,6.1781764
39,1.0,-35.590584,17.763407,-10.064512,6.183562,6.183562
