index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,0.00089202804,0.011749437,0.021128237,-2.1090875e-07,-2.1211208e-07
2,0.051282052,0.001970237,0.025951851,0.04666747,-1.2715658e-06,-1.2700834e-06
3,0.07692308,0.0032122312,0.042311415,0.07608574,-1.6016838e-06,-1.598088e-06
4,0.102564104,0.004647836,0.061221313,0.11009006,8.344648e-07,8.562398e-07
5,0.12820514,0.0063063586,0.083063185,0.1493679,-2.365847e-06,-2.355248e-06
6,0.15384616,0.008205732,0.10808034,0.19435444,-2.4850563e-06,-2.4628048e-06
7,0.17948718,0.010374473,0.1366461,0.24572226,-6.125524e-06,-6.0903876e-06
8,0.20512821,0.012860675,0.16939393,0.30461043,-6.944706e-06,-6.913053e-06
9,0.23076923,0.015730403,0.20719393,0.37258348,-6.770477e-06,-6.7359383e-06
10,0.25641027,0.01906067,0.25103933,0.45143205,-6.6084745e-06,-6.563706e-06
11,0.2820513,0.022930305,0.30201203,0.5430927,-1.4678026e-05,-1.46449975e-05
12,0.30769232,0.02742366,0.36118445,0.6495008,-2.0962494e-05,-2.092776e-05
13,0.33333334,0.03260119,0.42937797,0.77212965,-2.3462831e-05,-2.3431474e-05
14,0.35897437,0.038523324,0.50736886,0.9123789,-2.8350412e-05,-2.8315477e-05
15,0.3846154,0.045303974,0.5966797,1.072982,-3.0557312e-05,-3.0521966e-05
16,0.41025642,0.05311929,0.6996197,1.258092,-3.8290633e-05,-3.8227186e-05
17,0.43589744,0.062163703,0.8187521,1.4723196,-4.753088e-05,-4.747212e-05
18,0.46153846,0.07265732,0.95697016,1.7208686,-4.075429e-05,-4.0710645e-05
19,0.4871795,0.08486377,1.1177523,2.0099921,-3.8052214e-05,-3.800323e-05
20,0.5128205,0.09906792,1.3048521,2.346441,-1.6169695e-05,-1.6111138e-05
21,0.5384615,0.115542166,1.5218453,2.7366445,-9.460353e-06,-9.402208e-06
22,0.56410253,0.13453053,1.7719402,3.186377,-1.3834417e-05,-1.37786465e-05
23,0.5897436,0.15625519,2.058095,3.7009501,-6.116362e-06,-6.0496604e-06
24,0.61538464,0.18097508,2.3836958,4.286456,3.3959277e-06,3.4555078e-06
25,0.64102566,0.20909023,2.754019,4.9523797,2.0852445e-05,2.0919073e-05
26,0.6666667,0.24123007,3.1773438,5.713617,-6.0827388e-06,-6.0159946e-06
27,0.6923077,0.27817744,3.6639948,6.58873,-8.4730294e-05,-8.4660955e-05
28,0.71794873,0.32066202,4.2235928,7.5950193,-0.00011639106,-0.00011632331
29,0.74358976,0.3694334,4.866026,8.750265,-9.650145e-05,-9.6433476e-05
30,0.7692308,0.4256282,5.606278,10.081417,-0.00012977306,-0.00012970735
31,0.7948718,0.49069813,6.4633837,11.622686,-0.0001368431,-0.00013676785
32,0.82051283,0.5661013,7.45664,13.408787,-9.19929e-05,-9.1928145e-05
33,0.84615386,0.6535518,8.608559,15.480194,-0.00016234166,-0.00016225054
34,0.8717949,0.75554943,9.952049,17.89609,-0.00012091796,-0.00012082855
35,0.8974359,0.87512887,11.527122,20.728432,-0.000109580855,-0.00010949442
36,0.9230769,1.0142385,13.359623,24.023703,-0.00011403439,-0.00011395662
37,0.94871795,1.172945,15.45011,27.782885,-0.0001749381,-0.00017488404
38,0.974359,1.352291,17.81242,32.030865,-0.00024381967,-0.00024376824
39,1.0,1.5596194,20.543201,36.941456,-0.00041654473,-0.00041650535
