index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,0.006552707,-0.020351233,-0.011257979,0.01965908,0.019659067
2,0.051282052,0.014512006,-0.044863824,-0.024993237,0.042788327,0.04278833
3,0.07692308,0.023812694,-0.07329355,-0.04037161,0.06878633,0.06878633
4,0.102564104,0.034959253,-0.105828285,-0.058484297,0.097788624,0.09778862
5,0.12820514,0.048843887,-0.14287023,-0.079722255,0.12946528,0.12946528
6,0.15384616,0.06541029,-0.18520415,-0.10374899,0.16289932,0.16289932
7,0.17948718,0.08562957,-0.23214807,-0.13264084,0.19362646,0.19362643
8,0.20512821,0.10782398,-0.28596398,-0.16642737,0.22895382,0.22895378
9,0.23076923,0.13438685,-0.34855822,-0.20402981,0.2660892,0.26608914
10,0.25641027,0.16515653,-0.42167062,-0.24679217,0.30353826,0.3035382
11,0.2820513,0.20678279,-0.5058424,-0.2933228,0.3300218,0.33002177
12,0.30769232,0.25288138,-0.6000959,-0.35488537,0.35624358,0.35624355
13,0.33333334,0.30515078,-0.7077383,-0.42791638,0.3859866,0.38598654
14,0.35897437,0.35955572,-0.83156174,-0.51373774,0.41769204,0.417692
15,0.3846154,0.40663588,-0.982612,-0.6064614,0.4532128,0.45321274
16,0.41025642,0.45028827,-1.1576302,-0.7168826,0.49810687,0.4981068
17,0.43589744,0.4970059,-1.3502988,-0.8605344,0.5480989,0.54809886
18,0.46153846,0.5463604,-1.5790291,-1.0215564,0.60221183,0.6022118
19,0.4871795,0.61059976,-1.8497516,-1.1997147,0.6464131,0.646413
20,0.5128205,0.69757307,-2.1707218,-1.3916669,0.6660119,0.66601187
21,0.5384615,0.8707483,-2.4904404,-1.6494468,0.6421505,0.6421505
22,0.56410253,1.0841736,-2.826746,-1.9729098,0.5995757,0.59957564
23,0.5897436,1.3349403,-3.1493921,-2.3950715,0.55640966,0.5564096
24,0.61538464,1.6698519,-3.4225075,-2.8987818,0.4977859,0.4977858
25,0.64102566,2.205512,-3.5807195,-3.4043126,0.39580747,0.3958074
26,0.6666667,2.8341916,-3.8122454,-3.9487946,0.4324461,0.432446
27,0.6923077,3.606293,-3.8485115,-4.575724,0.43954176,0.43954167
28,0.71794873,4.4693217,-3.8129437,-5.334021,0.46718037,0.46718028
29,0.74358976,5.5156145,-3.6277254,-6.117051,0.48601675,0.48601666
30,0.7692308,6.770918,-3.335375,-6.9198136,0.4879382,0.48793808
31,0.7948718,8.296088,-2.8229795,-7.634755,0.4830758,0.48307565
32,0.82051283,10.032146,-1.9400004,-8.217234,0.4739328,0.47393265
33,0.84615386,11.886103,-0.5303961,-8.613761,0.52996486,0.52996475
34,0.8717949,13.845559,1.3287722,-9.159157,0.6960484,0.69604826
35,0.8974359,16.38493,3.2709036,-9.677836,1.0932419,1.0932417
36,0.9230769,19.297527,5.5249395,-10.429604,1.6381259,1.6381257
37,0.94871795,23.048054,7.3437133,-9.631541,2.809887,2.8098867
38,0.974359,27.464275,8.594463,-8.087169,4.688461,4.6884604
39,1.0,30.843256,9.137855,-4.4597616,6.237323,6.2373223
