index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,0.00084794255,-0.020377606,-0.012927787,0.037423827,0.03742382
2,0.051282052,0.0026491561,-0.045128554,-0.028272832,0.082694784,0.082694784
3,0.07692308,0.005545569,-0.073398076,-0.046208136,0.13355298,0.13355298
4,0.102564104,0.010384857,-0.10571642,-0.06718796,0.18756455,0.18756455
5,0.12820514,0.016532859,-0.14242943,-0.0922242,0.24746026,0.24746028
6,0.15384616,0.024180168,-0.18407309,-0.12132916,0.3126604,0.3126604
7,0.17948718,0.033483006,-0.2293851,-0.15722619,0.39338616,0.39338616
8,0.20512821,0.049725108,-0.2752577,-0.20359674,0.4766996,0.4766996
9,0.23076923,0.07044397,-0.32809824,-0.25655407,0.5664538,0.5664538
10,0.25641027,0.101402625,-0.39060235,-0.3135189,0.6547298,0.65472984
11,0.2820513,0.14208964,-0.46111098,-0.37935448,0.75563455,0.7556346
12,0.30769232,0.19479766,-0.53783035,-0.4575107,0.87395054,0.8739506
13,0.33333334,0.2634045,-0.62283987,-0.5451448,0.99154395,0.99154395
14,0.35897437,0.3579133,-0.7193253,-0.6309249,1.0921173,1.0921173
15,0.3846154,0.48151857,-0.81960964,-0.7222594,1.1733592,1.1733592
16,0.41025642,0.6198624,-0.94001013,-0.827672,1.2149652,1.2149652
17,0.43589744,0.78407246,-1.0689458,-0.9554887,1.2354833,1.2354833
18,0.46153846,0.9614708,-1.2007346,-1.1330792,1.2346103,1.2346103
19,0.4871795,1.1748012,-1.3193493,-1.3557941,1.2202864,1.2202864
20,0.5128205,1.4242201,-1.4451197,-1.6204937,1.213316,1.213316
21,0.5384615,1.7030628,-1.5646057,-1.9479299,1.2023368,1.2023368
22,0.56410253,2.0115557,-1.677092,-2.3441486,1.195682,1.195682
23,0.5897436,2.3652716,-1.8003191,-2.7986054,1.182972,1.182972
24,0.61538464,2.7863874,-1.9421368,-3.3001494,1.1553622,1.1553622
25,0.64102566,3.2736795,-2.1139507,-3.8604639,1.1176063,1.1176063
26,0.6666667,3.823954,-2.3104553,-4.5064564,1.085241,1.085241
27,0.6923077,4.453093,-2.5307517,-5.253697,1.0736324,1.0736324
28,0.71794873,5.1917562,-2.8003929,-6.0944147,1.0379493,1.0379493
29,0.74358976,6.0876985,-3.2141056,-6.973238,0.98715055,0.98715055
30,0.7692308,7.2357235,-3.6248639,-7.8827624,0.8885747,0.8885747
31,0.7948718,8.593584,-3.9322722,-8.965005,0.8317343,0.8317343
32,0.82051283,10.172186,-4.3328304,-10.19885,0.86028945,0.86028945
33,0.84615386,11.827575,-4.8574915,-11.810434,0.90460527,0.9046053
34,0.8717949,13.634871,-5.8427815,-13.653943,1.0689428,1.0689428
35,0.8974359,15.739532,-7.440734,-15.530427,1.235894,1.235894
36,0.9230769,18.025204,-9.173897,-17.969429,1.2027653,1.2027653
37,0.94871795,21.043995,-10.714855,-20.613455,1.2363889,1.2363889
38,0.974359,24.504028,-12.655499,-23.417038,1.2044042,1.2044042
39,1.0,28.501835,-15.493563,-26.14159,0.9936486,0.9936486
