index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,-0.0070261704,-0.010383854,-0.020690268,0.007949267,0.0079492675
2,0.051282052,-0.015509819,-0.02288488,-0.045730233,0.017169196,0.017169202
3,0.07692308,-0.026139714,-0.03724224,-0.074291386,0.027628668,0.027628671
4,0.102564104,-0.03849159,-0.053840507,-0.10728118,0.038950425,0.038950425
5,0.12820514,-0.052201215,-0.07350455,-0.14534277,0.05227581,0.052275807
6,0.15384616,-0.06892656,-0.09616867,-0.18847921,0.06515897,0.065159
7,0.17948718,-0.09033949,-0.120396,-0.23762295,0.07394198,0.073942006
8,0.20512821,-0.11449899,-0.14795624,-0.29424012,0.08476039,0.08476041
9,0.23076923,-0.14187047,-0.17978388,-0.35977972,0.09680265,0.09680266
10,0.25641027,-0.17040092,-0.21993586,-0.43545887,0.10720054,0.10720055
11,0.2820513,-0.20782578,-0.2623571,-0.52379376,0.12924573,0.12924573
12,0.30769232,-0.25544313,-0.32006803,-0.6199346,0.14566155,0.14566155
13,0.33333334,-0.31261152,-0.38962063,-0.72764444,0.16493347,0.16493347
14,0.35897437,-0.37847817,-0.46848208,-0.85099137,0.18378724,0.18378724
15,0.3846154,-0.45052156,-0.559418,-0.99357766,0.21394433,0.21394433
16,0.41025642,-0.53645575,-0.6669187,-1.1546261,0.26846707,0.2684671
17,0.43589744,-0.6507832,-0.8005371,-1.3250917,0.32520708,0.3252071
18,0.46153846,-0.7906344,-0.9527328,-1.5196407,0.39577234,0.39577237
19,0.4871795,-0.9627625,-1.1480203,-1.7227108,0.48704177,0.48704183
20,0.5128205,-1.2169596,-1.3528159,-1.9257472,0.6141645,0.6141646
21,0.5384615,-1.5009987,-1.5819411,-2.1823423,0.7297224,0.7297225
22,0.56410253,-1.8420639,-1.8423123,-2.4655166,0.81898093,0.81898105
23,0.5897436,-2.2387092,-2.1719143,-2.7431965,0.8660154,0.8660155
24,0.61538464,-2.640122,-2.6575792,-2.9659069,0.86992764,0.86992776
25,0.64102566,-3.146421,-3.1975303,-3.1384807,0.8825475,0.8825476
26,0.6666667,-3.8346016,-3.7213657,-3.1836116,0.8576017,0.8576018
27,0.6923077,-4.4763803,-4.4544644,-3.015226,0.73654974,0.73654985
28,0.71794873,-5.1993074,-5.2526937,-2.6082244,0.5636128,0.56361294
29,0.74358976,-6.110519,-6.0972333,-2.1617258,0.3538709,0.35387102
30,0.7692308,-7.0580072,-6.9722576,-1.374831,-0.0964911,-0.09649104
31,0.7948718,-8.044507,-7.9544783,-0.29811633,-0.39565575,-0.3956557
32,0.82051283,-9.356381,-8.912456,0.92101955,-0.8547263,-0.85472625
33,0.84615386,-10.689274,-10.059304,2.497008,-1.2666421,-1.2666421
34,0.8717949,-11.776632,-11.550001,4.5309706,-1.3712786,-1.3712786
35,0.8974359,-13.574218,-12.515862,7.044177,-1.1734,-1.1734
36,0.9230769,-15.132659,-13.814731,10.214009,-1.1979538,-1.1979537
37,0.94871795,-16.84491,-14.579302,14.081337,-1.2134362,-1.2134361
38,0.974359,-18.189434,-15.54122,18.654335,-1.2132285,-1.2132283
39,1.0,-19.28471,-16.399858,24.096998,-1.2137939,-1.2137938
