index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,-0.014044488,-0.0053207036,0.018957132,0.008439055,0.008439041
2,0.051282052,-0.030913237,-0.011684668,0.0419681,0.018082004,0.018081967
3,0.07692308,-0.050271034,-0.019240545,0.06845543,0.028473899,0.028473876
4,0.102564104,-0.07192765,-0.02860811,0.09941287,0.037818667,0.037818648
5,0.12820514,-0.09731755,-0.03905934,0.1350187,0.04810816,0.04810814
6,0.15384616,-0.1271368,-0.05182372,0.17501456,0.05811102,0.058110993
7,0.17948718,-0.16134073,-0.067946926,0.22004154,0.070575625,0.0705756
8,0.20512821,-0.20007682,-0.08679604,0.27188393,0.08568808,0.08568804
9,0.23076923,-0.24219657,-0.10917309,0.33337402,0.09955376,0.09955371
10,0.25641027,-0.2912034,-0.13576952,0.40437615,0.11302612,0.113026075
11,0.2820513,-0.34720543,-0.17096165,0.4858445,0.12824279,0.12824273
12,0.30769232,-0.41214702,-0.21525475,0.5789327,0.13797328,0.13797323
13,0.33333334,-0.48663542,-0.26668555,0.6862781,0.13802859,0.13802858
14,0.35897437,-0.5646937,-0.3199786,0.8158809,0.14239147,0.14239146
15,0.3846154,-0.6369183,-0.3874659,0.9706692,0.15779883,0.15779883
16,0.41025642,-0.71623665,-0.47663897,1.1457406,0.1848668,0.18486679
17,0.43589744,-0.8085985,-0.57166654,1.3520991,0.21641435,0.21641433
18,0.46153846,-0.923105,-0.67835057,1.5897777,0.24660404,0.24660403
19,0.4871795,-1.0637039,-0.78510034,1.8697566,0.2779489,0.27794886
20,0.5128205,-1.2406114,-0.89205307,2.194938,0.3161121,0.31611207
21,0.5384615,-1.4579641,-1.0182885,2.5643847,0.3518762,0.35187617
22,0.56410253,-1.7129734,-1.1862779,2.9792063,0.39673632,0.3967363
23,0.5897436,-2.0106926,-1.3696742,3.4535928,0.4529658,0.45296577
24,0.61538464,-2.34756,-1.5664427,3.9991567,0.5140779,0.5140779
25,0.64102566,-2.712379,-1.8059106,4.6249123,0.58491963,0.58491963
26,0.6666667,-3.1350834,-2.0823627,5.3348837,0.66090244,0.66090244
27,0.6923077,-3.7069821,-2.3950903,6.0968046,0.71756846,0.7175684
28,0.71794873,-4.376171,-2.763611,6.960599,0.74276483,0.7427648
29,0.74358976,-5.190881,-3.170216,7.9206696,0.7516898,0.7516898
30,0.7692308,-6.197009,-3.6491737,8.962299,0.8028081,0.80280817
31,0.7948718,-7.3831515,-4.1948338,10.150739,0.9328633,0.9328633
32,0.82051283,-8.788916,-4.9209766,11.447189,1.0871716,1.0871716
33,0.84615386,-10.620905,-5.74004,12.711591,1.3339797,1.3339797
34,0.8717949,-12.865212,-6.583912,14.088105,1.7324908,1.7324908
35,0.8974359,-15.769094,-7.2699304,15.31882,2.3224196,2.3224196
36,0.9230769,-19.322912,-8.337276,15.952825,2.9001827,2.9001827
37,0.94871795,-23.069557,-8.75681,17.871283,4.142522,4.142522
38,0.974359,-25.39191,-10.640762,21.38518,4.4164,4.4164
39,1.0,-27.613258,-13.526769,25.604885,4.2012835,4.2012835
