index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,-0.018577198,0.010146178,-0.011576869,0.03860362,0.0386036
2,0.051282052,-0.0414945,0.022371454,-0.024843812,0.082251854,0.08225183
3,0.07692308,-0.06788084,0.037255853,-0.039381534,0.12551787,0.12551785
4,0.102564104,-0.100553334,0.0531578,-0.053025857,0.15369119,0.15369114
5,0.12820514,-0.136778,0.07364318,-0.06979496,0.18168096,0.18168092
6,0.15384616,-0.17715332,0.09842155,-0.08978681,0.20972912,0.2097291
7,0.17948718,-0.22257452,0.12670554,-0.11394067,0.23794594,0.23794591
8,0.20512821,-0.27512163,0.15899539,-0.14087175,0.25871274,0.2587127
9,0.23076923,-0.3317295,0.20118216,-0.17316997,0.27314052,0.2731405
10,0.25641027,-0.39795604,0.2513974,-0.20791292,0.28805554,0.28805554
11,0.2820513,-0.47391364,0.31026456,-0.2497164,0.3061416,0.3061416
12,0.30769232,-0.5635092,0.3779424,-0.29657176,0.32541147,0.3254115
13,0.33333334,-0.66545457,0.45651412,-0.3521113,0.3375799,0.33757994
14,0.35897437,-0.78191084,0.5443929,-0.41830608,0.35620612,0.35620615
15,0.3846154,-0.9154351,0.6396265,-0.50085354,0.3836432,0.38364324
16,0.41025642,-1.0717263,0.7483357,-0.5932741,0.41589722,0.41589725
17,0.43589744,-1.2533373,0.87181884,-0.7016989,0.44775075,0.44775078
18,0.46153846,-1.4620742,1.0366381,-0.80164224,0.48298085,0.48298088
19,0.4871795,-1.7093978,1.2198037,-0.92241263,0.5217217,0.5217218
20,0.5128205,-1.9988991,1.4507982,-1.0241723,0.57179123,0.5717913
21,0.5384615,-2.356409,1.6995549,-1.118733,0.6144551,0.6144552
22,0.56410253,-2.8112087,1.9177761,-1.2175126,0.65095884,0.650959
23,0.5897436,-3.3398073,2.1637104,-1.2959056,0.68217963,0.6821798
24,0.61538464,-3.9510498,2.43423,-1.3316826,0.714987,0.71498716
25,0.64102566,-4.6504593,2.728176,-1.3223882,0.7501833,0.75018346
26,0.6666667,-5.460915,2.9929378,-1.1449786,0.7893056,0.7893058
27,0.6923077,-6.3519225,3.3188615,-0.82814074,0.82513195,0.82513213
28,0.71794873,-7.323104,3.7641473,-0.39896527,0.8530986,0.85309875
29,0.74358976,-8.451301,4.27733,0.059061497,0.8611683,0.8611685
30,0.7692308,-9.701891,4.9571567,0.6022228,0.85858494,0.8585852
31,0.7948718,-11.06219,5.8047347,1.3397123,0.85356253,0.8535628
32,0.82051283,-12.541364,6.853409,2.2825513,0.86250705,0.8625073
33,0.84615386,-13.956887,8.124908,3.6953812,0.9042235,0.90422374
34,0.8717949,-15.311195,9.907569,5.3055854,0.9216592,0.9216594
35,0.8974359,-16.729855,11.873376,7.456568,0.94371367,0.9437139
36,0.9230769,-17.545689,13.969076,9.332272,0.9551444,0.95514464
37,0.94871795,-17.086771,15.647622,8.809499,0.9558076,0.95580786
38,0.974359,-13.774635,15.845309,5.2727413,0.9557599,0.9557601
39,1.0,-12.815034,18.255457,4.520238,0.95793515,0.9579354
